rank	username	minecraft:picked_up/minecraft:chiseled_bookshelf
1	Lez_	150
2	oscminus	111
3	Gzrdy	64
4	TheWickedBird	55
5	QuiCreans	51
6	pixelviolin	29
7	MrShojo	15
8	Merv__	12
9	Enderxz3	9
10	pintsizedrogue	8
10	Kowcio_	8
12	Tersea_	7
12	fragrantmonke444	7
12	KamFurnace	7
15	Zee_zey	6
16	MattieHD	5
17	Secret_Canary	4
17	Pumpkin_P_Patch	4
19	crashomon	3
19	Manaateee	3
21	Napoleonpancake	2
21	bl1ss0	2
21	StarCookiees_	2
21	Steelynan	2
21	skitzxo	2
26	ECstardust	1
26	Mattesco	1
26	Eczbek	1
26	FormulaNewt3627	1
26	Jimb0nat0r	1
