rank	username	minecraft:picked_up/minecraft:music_disc_creator_music_box
1	Spaghettatron	15
2	k_ce	12
3	thewindmillman	9
4	oscminus	6
5	MyMawgDonaldsGon	3
5	Yamdalorian	3
7	TheSecondLord	2
7	Secret_Canary	2
7	pixelviolin	2
10	Mr_Byzantine	1
10	CLG_Kata	1
10	rarrq	1
10	Megarboh	1
10	Soplight	1
10	Steelynan	1
