rank	username	minecraft:picked_up/minecraft:warped_fence_gate
1	thewindmillman	17919
2	Snowflowe	588
3	EcksD	219
4	joethahobo	123
5	Lutres_	110
6	Di_infiri	75
7	noam464	65
8	Huwulling	64
9	Apollo_993	53
10	kekhon	24
10	set67	24
12	pintsizedrogue	12
12	12Magner05	12
14	Arceus1975	11
15	PlasticOtari	9
16	PigDab	8
16	Kowcio_	8
18	EngagedGrub41	7
19	rarrq	6
20	Eraxa	5
21	Spacewardharpy7	3
22	diamondgolem35	2
22	IgnoredBee	2
22	TheSecondLord	2
22	Jackattack53	2
22	Rebytre	2
22	YungMaki	2
22	00000000-0000-0000-0009-01ff0c3e5e4f	2
29	teslawolf38	1
29	ShedJr_	1
29	Hyp3rion_	1
29	Mattesco	1
29	FishyBoy3811	1
29	Manaateee	1
29	FreakGenius	1
29	Hermanni__	1
29	AdmiralSmoke	1
