rank	username	minecraft:picked_up/minecraft:light_gray_wool
1	noam464	87274
2	joethahobo	79206
3	thewindmillman	57948
4	EcksD	22416
5	Freak_Genius	13341
6	HellsSponge	7567
7	mwrty	2852
8	Swexti	1664
9	YungMaki	1558
10	oxfordschool	1489
11	xxPipperDipperxx	1477
12	kekhon	1130
13	Xalithia	987
14	ROY4LE	878
15	Blaiku	873
16	Inbefour	734
17	PeteO1995	722
18	Rumpletaezer	706
19	Smoke____	662
20	SvenskaAlvar	563
21	The11thDoctor	534
22	Lord_Jord	460
23	eitanzaki	414
24	starbits140	390
25	The_slideV3	388
26	Hyp3rion_	384
27	HAIRYCLOUD626	338
28	TechnoNinja64	329
29	Mahoose	280
30	Blackberry1310	272
31	Jiminie	241
32	SuperPooch06	238
33	Eraxa	236
34	Maenara	231
35	fffMike	222
36	Rebytre	216
37	RoskobiOne	205
38	TheShyPig	201
39	Sral7	198
40	DarlaMeow	190
41	500am	189
42	Xclax101	178
43	Ezekson	177
44	PhantomsGhost_	166
45	beeperbeeper5	164
46	thescout7	156
47	rarrq	155
48	ImpavidArcher	132
49	Groundler	129
50	JayToe	128
51	pintsizedrogue	124
52	lcvezra	123
53	Mr_Byzantine	120
54	Werbe	110
55	h2p_emrld	106
56	SteveCraftBlocks	105
57	Ozixar	101
58	loveseeker	100
59	NomadicRobin_	95
60	PlasticOtari	86
61	Natty	84
61	Moofyman	84
63	El_Jalapeno	82
64	Jokerman369	81
65	HollieDaNugget	77
65	SammiWolfGirl	77
67	yulgur1	70
67	Winston_Ingram	70
69	LilLizardWizard	67
69	K_a__a_n	67
71	Fuhrer_Teemo	64
72	heckface	58
73	Fullut	56
74	BreadBacon	54
75	Legendosh	52
76	Hermanni__	51
77	Njensen7	46
78	KingMatthew506	45
79	Merv__	44
79	_Karmaa	44
81	MinuteMira	42
82	Skylord_Luke	41
82	EveryonesUncle	41
84	fred870d	39
85	NameGenerat0r	38
86	set67	37
86	claivin	37
88	Zaridey	36
88	The_SlideV5	36
90	gabriels543	35
91	pixelviolin	34
92	Frozil12	33
93	Historical_Sand	32
93	nocturne78	32
93	Mookle96	32
93	Di_infiri	32
97	TheSecondLord	31
97	Scathra	31
99	picardred	30
99	eiC_	30
101	LilyNova	29
101	Bumpy419	29
103	Arceus1975	27
103	lordpipe	27
103	stahouo	27
103	Enderslayerxz3	27
107	Nycteus_	26
108	SpaceGrenadier	25
109	ProfessorBee	23
109	GingerNeutron	23
109	fkGrim	23
112	Steelynan	22
113	IdeallyGrey	21
114	Cortexia	20
114	Deerfoot	20
114	vandmanden	20
117	TheDiamondCG	19
117	Jackattack53	19
117	Leyna3	19
117	Ashton1242	19
117	Soplight	19
122	Kamflame10	18
122	CACTUSLAD	18
122	CoryJJ	18
125	Minc_	17
125	_Cloverbelle_	17
127	Lepthymo	16
127	RyuNeko932000	16
127	BlossomOwO	16
130	MrExplorer	15
130	sp00ky_ghost977	15
132	Prismyst	14
132	ImDisconnected_	14
132	Akoot_	14
132	Drawgirll	14
136	6king6colt6	13
136	CoffeeNoir	13
136	orxngejuice	13
136	DolphinLaugh	13
140	bigstankyy	12
140	Reamdin	12
140	marumochis	12
140	diggydog67	12
144	KarlKaek	11
144	Windo_licker	11
144	MonitorLizards	11
144	ewpunk	11
148	Menthas	10
148	EMC_	10
148	trixterrx	10
148	ooga47	10
148	AlexxO_o	10
148	Blu3beast	10
148	Nagasaki_Riku	10
148	anbbang	10
156	TheBiggestFeller	9
156	TooManyDuck	9
156	featherflyy	9
156	Prodiginus	9
156	_Dean_123	9
156	platinumzero	9
156	Winklepicker279	9
156	AJplaysMC_	9
156	ItsAki_	9
156	Onennon	9
156	proxivitoid	9
156	Spacewardharpy7	9
168	ewsophie	8
168	_Bruhtastic_	8
168	eviltunix	8
168	KeruNatsema	8
168	lizardfightclub	8
168	Barlycorn	8
168	Ze_BaronKrigler	8
168	djancak	8
176	BlancoFlaco	7
176	RebelAndroid	7
176	Ecplosive	7
176	BigMoneyH	7
176	CollinMH06	7
176	_Crimson_Legate	7
176	avalan64	7
176	07shiny	7
176	Deguns123	7
176	Rainaldus	7
186	Cowison	6
186	dabloons	6
186	firesgal3116	6
186	BilboBaggins23	6
186	theonlymagikarp	6
186	Useless_Relic	6
186	DeeDeeThonk	6
186	Russiancat1	6
186	censorsheep	6
186	LetsDoItLive	6
186	LordSpeed37	6
186	Spenduh	6
186	Nargotah	6
186	gaming4Naming	6
186	jnp_gaming	6
201	Matemaks2137	5
201	dudcreeper	5
201	bloodbiter	5
201	m_be9	5
201	Nach0Bear	5
201	Torza	5
201	Inchef	5
201	FetteMutter	5
201	MiningPie	5
201	MustardDrinker	5
201	Vetral1	5
201	Project_MKBRD	5
201	_naturell	5
201	ToastedGamingYT	5
201	wezzzi	5
201	sufjanlover	5
201	DemTechAlpha	5
201	GlitchMixed	5
201	StinkyDiplomat	5
201	QueenShuvi	5
201	fluddd	5
201	Typadopoulos	5
201	Toriankel	5
201	SkateboardR6	5
201	csendeslol	5
201	PortlyPete69	5
201	Erased_Identity	5
228	Froste131	4
228	fanofbands101	4
228	teslawolf38	4
228	RatatJuice	4
228	Hpdinosaur	4
228	jimintyy	4
228	T045RTY	4
228	youhjjhhhjj	4
228	No_u4	4
228	IWorkAtIkea	4
228	Stynxy	4
228	dopplexd	4
228	Dali1465	4
228	Tjhodskins19	4
228	Paintz	4
228	Marbz_	4
228	burbankbuilder28	4
228	SolicitedPuma101	4
228	Toowny	4
228	MyNameIsDakar	4
228	Fildyr	4
228	Airem_Core	4
228	ReyTheLegend	4
228	CalebDHawk	4
228	Miko_Fullbuster	4
228	potatocan	4
228	Quotary	4
228	RadarHz	4
228	smogfrog	4
228	FelixPSY375	4
228	OnlyOfficial	4
259	Groovy_MoonBird	3
259	Bandito_Roamer	3
259	Travasaur	3
259	abramgray	3
259	BigBootyHudge	3
259	Paleshield	3
259	titanlax	3
259	Frxnkz	3
259	Ravenbie	3
259	slkiey	3
259	crying_wolf_13	3
259	LavenderBi1ch	3
259	Matek_	3
259	mimbo1211	3
259	DAD_1996	3
259	TheWildMateo	3
259	cedric72	3
259	YahooScreen9000	3
259	RodSerlingCringe	3
259	natajimi	3
259	Lutres_Torane	3
259	Quincannon	3
259	Quaintster	3
259	Bloo2406	3
259	SingedBread	3
259	Vorlice	3
259	NotMeowMix	3
259	Dusk_95	3
259	AvaRosey	3
259	IAmTheWalrus910	3
259	legoclone09	3
259	underscore_2	3
259	Skippeh	3
259	Kateesaur	3
259	Sangre88	3
259	00000000-0000-0000-0009-01ff0c3e5e4f	3
295	Gary_	2
295	Krimys	2
295	Paint	2
295	squigglybones	2
295	Ailmast	2
295	DiscardedCE	2
