rank	username	minecraft:picked_up/minecraft:sandstone
1	joethahobo	253713
2	thewindmillman	114074
3	Hyp3rion_	101790
4	Spacewardharpy7	91954
5	Frozil20	82008
6	TheShyPig	74352
7	EMC_	55605
8	AdmiralSmoke	45420
9	YungMaki	37863
10	500am	36318
11	tuckerdoodle	36001
12	TheSecondLord	34045
13	El_Jalapeno	33835
14	Blackberry1310	30878
15	PigDab	26717
16	Steelynan	25512
17	Mahoose	23166
18	Merv__	22127
19	Hoid_the_Roamer	21898
20	Kim_Jong_eel	21730
21	Groovy_MoonBird	19476
22	Creativebuilder2	19256
23	FreakGenius	19183
24	NatalieTW	19027
25	beeperbeeper5	18543
26	_stets	17823
27	Legendosh	17477
28	shrimp_flips	16687
29	gcaisawesome	16652
30	lordpipe	16506
31	xzvu	15282
32	Di_infiri	15117
33	luseis	15019
34	RebelAndroid	14930
35	Deodorante	14929
36	eviltunix	14664
37	legal_tax_evader	14253
38	Soplight	14043
39	__tomato	13922
40	Jackattack53	13878
41	pintsizedrogue	13564
42	Skippeh	13402
43	Arceus1975	13302
44	AstreaTSS	13205
45	FreddyFart	13176
46	HellsSponge	12632
47	groofles	12506
48	xolstoi	12412
49	SteveCraftBlocks	12190
50	Blaiku	11832
51	Mr_Byzantine	11624
52	Fuad_R	11445
53	TheDankPlatypus	11288
54	Elastiq	10702
55	weabis	10629
56	Skylord_Luke	10300
57	victorLIE	10114
58	Euclidoris	9961
59	Ezekson	9605
60	LeonelSalamanca	9198
61	ZeroKraken	9035
62	Onennon	8995
63	SkateboardR6	8970
64	2Stout	8518
65	Queen_Jalapeno	8495
66	EcksD	8062
67	Zythose	7940
68	Wowful	7903
69	Segotep999	7817
70	_TCARREIRA_	7796
71	noam464	7532
72	_Karmaa	7467
73	TechnoNinja64	7348
74	Dogcorn69420	6798
75	Akoot_	6603
76	Kakolbus	6347
77	EveryonesUncle	6315
78	xXTheWolfmanXx	6279
79	SvenskaHugo	6126
80	Fullut	6123
81	Bumpy419	5809
82	PlasticOtari	5653
83	cedric72	5501
84	Sral7	5468
85	Enderxz3	5457
86	KarlKaek	5293
87	AuroraValkyrie	5261
88	ImpavidArcher	5161
89	TheMilkerOfCats	5057
90	Saucepeh	4970
91	walll	4850
92	NameGenerat0r	4830
93	PazinGaming	4768
94	eitanzaki	4194
95	King_Pancake1	4159
96	teslawolf38	4151
97	dongli	4091
98	Optiprimus	4063
99	Felenov	3963
100	CoffeeNoir	3549
101	TheDumbHuman	3528
102	audiocracked	3509
103	mwrty	3450
104	KingFaenor	3443
105	Chickenchaser2	3295
106	UCP_TheKingK	3209
107	ApophisNova	2994
107	MyNamaSheff	2994
109	diamondgolem35	2964
110	kekhon	2931
111	Lez_	2870
112	Meatlaugh	2733
113	ExtraDumb	2705
114	mihimihimihi	2702
115	Tyrannosplart	2630
116	stellarjay	2622
117	SwooshBoi	2594
118	himak1	2550
119	NotMeanttoChange	2509
120	thechoosenone69	2458
121	kalzor	2412
122	Maenara	2404
123	Hermanni__	2389
124	Smashic	2386
125	paranoid_plant	2371
126	Karetoko	2302
127	Blu3beast	2278
128	SpacesickPrism	2275
129	Manaateee	2269
130	PhantomsGhost_	2268
131	BodaciousCake	2188
132	Werbe	2179
133	SpaceGrenadier	2172
134	Xalithia	2166
135	MilleGrug	1999
136	jnp_gaming	1979
137	Ajax6	1921
138	Kyrum2169	1838
139	Inchef	1823
140	SexcMf	1822
141	ReyTheLegend	1702
142	SuperPooch06	1684
143	Kowcio_	1639
144	PegLegPete93	1615
145	John6970	1604
146	Xclax101	1587
147	MattieHD	1586
148	Da_Boss_Rani	1574
148	thgrocks	1574
150	Sheldor097	1558
151	WyngGoy	1550
152	Rumpletaezer	1534
153	Ssor69	1512
153	OreTheBear	1512
155	non089	1480
156	Powowowow	1476
157	Njensen7	1474
158	Hpdinosaur	1460
159	Studyhallsaver	1454
160	Inbefour	1451
161	_Bguette_	1450
162	Huwulling	1436
163	hanaryheatwave	1424
164	TheWildMateo	1380
165	peach0s	1358
166	SingedBread	1354
167	CrateOfBoxes	1340
168	RoskobiOne	1319
169	diggydog67	1315
170	12Magner05	1278
171	BlankityMcBlank	1275
172	stevewithclout	1222
173	Deathkob	1221
174	Racengan	1211
175	Historical_Sand	1206
176	erkada	1195
177	MustardDrinker	1153
178	excelsionprime	1146
179	Chromary	1139
180	ROY4LE	1121
181	Eraxa	1095
182	_3Stump_	1080
183	CACTUSLAD	1068
184	NomadicRobin_	1057
185	xDraggin	1033
186	mads388a	1032
187	Awyrlas	1025
188	TheMaster972	1018
189	CrazyPotater	985
190	MrMeisterProper	975
191	epiksk8erduck	963
192	JasmineGK	947
193	m_be9	941
194	Ailmast	937
195	OfficerAnvil	924
196	AlphaWolfPlaysMC	917
197	Parcc	886
198	Samificator	853
199	T045RTY	847
200	rarrq	837
201	ElectricDragon81	814
202	burbankbuilder28	812
203	IAmTheWalrus910	809
204	The_slideV3	808
205	Archsam	785
206	Winklepicker279	783
207	HoltGrim	779
208	Sabby65	777
209	drompje	776
210	Rich_Kat	773
211	MyNameIsJobo	761
212	Spenduh	760
213	r123moore	759
214	KingMatthew506	758
215	_Mythic____	739
216	Doom_melon	735
217	Jimb0nat0r	715
218	radioactv_jelly	714
219	ProfessorDiaper	706
220	potato292	702
221	FGamerJ	698
222	Lord_Jord	697
223	starbits140	677
224	oscminus	676
224	claivin	676
226	IamCL4SSY	651
227	MoistMicrowave	648
228	The_SlideV5	641
229	youhjjhhhjj	624
230	Alteriity	620
231	brrh	599
232	Wolf_Mauler_73	594
232	Diavri	594
234	4774	582
235	andy_rex	579
236	Gab4101	576
236	ConnorDanky_	576
238	Swexti	574
239	Froste131	566
239	UrbanPlanningEx	566
241	GLLogan2	564
242	mafiKiwi	556
243	Barlycorn	553
244	Huic_ostiarius	546
245	ActualPatbaf	542
246	SaucyDark	532
247	PortlyPete69	515
248	mennorovers	513
249	Lutres_	507
250	Nicserso	504
251	AJplaysMC_	499
252	G1ldor	494
253	wiqor	492
254	set67	486
255	jcool7	484
256	Dnulgreb	478
257	little_dUki	477
258	Cryptacity	474
259	h2p_emrld	470
260	yheece	469
261	soundad	462
262	heckface	458
263	Darkgon	451
264	MousePlays	441
265	Bandito_Roamer	429
266	QuacksonThe3rd	422
267	MightyWertu	405
268	lotarp	403
268	Zaridey	403
270	Snowflowe	401
271	hcb238	392
272	zmpeg	387
273	Hiryu27	382
274	jspwn	375
274	Krowuss	375
276	CueMix	368
277	Mewar	367
278	ratglock	357
279	Vizzoid	356
280	emrekn	347
281	lizardfightclub	346
282	_Dean_123	345
282	DarlaMeow	345
284	Jovaphobic	343
285	ProfessorBee	337
286	drunkeeez	335
287	LittleIan365	333
288	sp00ky_ghost977	318
289	MixerDixer	315
290	thescout7	305
291	striker90333	303
292	Kouridragon	300
293	XboxPanda	299
294	Kijiki	298
295	33sudo	297
295	JohnPrice	297
297	Alexanderjac	294
297	obzii	294
299	noodlepack	292
300	SaphLaseer	289
