rank	username	minecraft:picked_up/minecraft:emerald_ore
1	Hyp3rion_	194
2	joethahobo	178
3	thewindmillman	170
4	Fullut	164
5	TheSecondLord	160
6	YungMaki	137
7	Inbefour	128
8	pintsizedrogue	87
9	Miko_Fullbuster	85
10	EMC_	84
11	HellsSponge	83
12	Spacewardharpy7	72
12	Skippeh	72
14	beeperbeeper5	71
15	Historical_Sand	61
16	SingedBread	50
16	Segotep999	50
18	TheShyPig	48
19	claivin	46
20	eitanzaki	45
21	Rebytre	43
22	Werbe	39
23	PhantomsGhost_	36
24	Enderslayerxz3	34
25	oxfordschool	32
26	Flores991	30
26	Soap_Bender	30
28	Cowison	27
29	H72l9w	25
30	ivorico	24
30	TheThomas69	24
30	theonlymagikarp	24
30	pappaberg	24
34	SpaceGrenadier	23
34	Shogunite	23
34	RadarHz	23
37	_Yonk_	22
38	Hoid_the_Roamer	20
38	MakeHistory157	20
38	Quotary	20
41	ClemenPine	19
41	Blaiku	19
43	CoffeeNoir	18
43	ApophisNova	18
43	MyNamaSheff	18
46	KnightmareD	16
46	fluddd	16
46	MilleGrug	16
46	FishisTTV	16
50	ColeSnyder	15
50	Maenara	15
52	500am	14
52	benediktine1	14
54	Mahoose	13
54	MinttyFressh	13
54	Snowflowe	13
54	SlinkyPinky	13
54	Kowcio_	13
54	Smoke____	13
54	h2p_emrld	13
61	Merv__	12
61	FirsTimeGamingTV	12
61	chipklip	12
61	Blu3beast	12
61	TheOuterCore	12
61	PlasticOtari	12
67	Frozil12	11
67	TheALV	11
69	MSK__	10
69	jacxhadow	10
69	Hanselhoof	10
69	XboxPanda	10
69	Di_infiri	10
69	sp00ky_ghost977	10
69	Steelynan	10
76	Bandito_Roamer	9
76	gcaisawesome	9
76	r123moore	9
76	MangoTheFish	9
76	XeroByMyth	9
76	LexMakesHistory	9
76	pixelviolin	9
76	Eczbek	9
84	12Magner05	8
84	Winklepicker279	8
84	ogoa	8
84	Freak_Genius	8
84	07shiny	8
84	laron58	8
90	_stets	7
90	stahouo	7
90	kinas45y5	7
93	m_be9	6
93	fred870d	6
93	Legendosh	6
96	Kegradigm	5
96	Blackberry1310	5
96	Smashic	5
96	Arceus1975	5
96	andy_rex	5
96	Vetral1	5
96	masskedman	5
96	little_dUki	5
104	diamondgolem35	4
104	BlancoFlaco	4
104	Lukeee33	4
104	Natty	4
104	BlueZabu	4
104	Hiryu27	4
104	Kouridragon	4
104	Mattesco	4
104	PigDab	4
104	MAns_44	4
104	EfficientC52	4
104	Chaotic1s	4
104	Shin69	4
104	jcool7	4
104	Hermanni__	4
104	Physics_Breaker	4
120	Drlzyy	3
120	Healthing	3
120	rarrq	3
120	Euclidoris	3
120	_Dean_123	3
120	noam464	3
120	Corbsman	3
120	Roosje69	3
120	CruncyIsTaken	3
120	Dan_Scha	3
120	NomadicRobin_	3
120	DTwenty	3
120	anthonyracine	3
120	NameGenerat0r	3
120	Racengan	3
120	Typadopoulos	3
120	Smiguli_	3
120	IvarEXE	3
138	6king6colt6	2
138	ssleepless	2
138	kekhon	2
138	ProfessorBee	2
138	Megarboh	2
138	Kamflame10	2
138	Scathra	2
138	Kakolbus	2
138	MyNameIsJobo	2
138	Bumpy419	2
138	Lord_Jord	2
138	EveryonesUncle	2
138	Lutres_Torane	2
138	Fuad_R	2
138	Barlycorn	2
138	Dusk_95	2
138	ItsDeltaMC	2
138	kyouma777	2
138	_Tilariel_	2
138	bloomkieren	2
138	PortlyPete69	2
138	Njensen7	2
138	Nicserso	2
138	The_SlideV5	2
162	_Virify_	1
162	ProbablyNick	1
162	fanofbands101	1
162	JEWISHBadenBeele	1
162	Yatitay	1
162	livingdaydreams	1
162	ATrojansLegend	1
162	jiggywraps	1
162	bloodbiter	1
162	MrExplorer	1
162	redikul	1
162	set67	1
162	orxngejuice	1
162	M_Patata	1
162	SeverianTheLame	1
162	Marbz_	1
162	Chromary	1
162	killmeiamtraitor	1
162	Skylord_Luke	1
162	RobotMinion101	1
162	HolyVenom	1
162	HDfqade	1
162	stuy9	1
162	jambvds	1
162	monky_irl	1
162	MasterNueve	1
162	Ze_BaronKrigler	1
162	Omar_Alone	1
162	TheEnderman548	1
162	SvenskaHugo	1
162	brofrickcheaters	1
162	Ezekson	1
162	AltnumberF4	1
162	Oxygen16	1
162	WYFYoyo	1
