rank	username	minecraft:picked_up/minecraft:lapis_ore
1	Frozil12	28069
2	joethahobo	3247
3	gcaisawesome	1601
4	lordpipe	1545
5	PhantomsGhost_	1260
6	Werbe	1137
7	Spacewardharpy7	1014
8	Hyp3rion_	993
9	thewindmillman	954
10	Mahoose	858
11	EMC_	845
12	Ezekson	809
13	HellsSponge	735
14	Smoke____	649
15	Blaiku	595
16	Skippeh	564
17	oxfordschool	512
18	YungMaki	494
19	EveryonesUncle	474
20	TheSecondLord	466
21	TheShyPig	457
22	beeperbeeper5	408
23	Deathkob	396
24	Hoid_the_Roamer	375
25	EcksD	357
26	Snowflowe	356
27	xDzarkious	344
28	Steelynan	334
29	El_Jalapeno	332
30	Kakolbus	331
31	diamondgolem35	328
32	Enderslayerxz3	323
33	BobDeBouwer1337	319
34	PigDab	309
35	Cowison	302
36	claivin	301
37	set67	288
37	PlasticOtari	288
39	Freak_Genius	285
40	12Magner05	271
40	Miko_Fullbuster	271
42	ApophisNova	264
42	MyNamaSheff	264
44	Zythose	259
45	Steven1282598	252
46	RebelAndroid	240
47	NomadicRobin_	239
48	Hisiste	230
49	Di_infiri	220
50	HolyVenom	218
51	SingedBread	210
52	Barlycorn	200
53	TheThomas69	191
54	Maenara	183
55	SpaceGrenadier	175
55	KG1999	175
57	Segotep999	172
58	livingdaydreams	165
59	Scathra	162
59	BumbleBeever	162
61	ClemenPine	158
62	NoChumpChange	156
63	pintsizedrogue	150
64	Historical_Sand	147
65	Arceus1975	140
66	CoffeeNoir	139
66	Eczbek	139
68	Fullut	137
68	EfficientC52	137
70	MangoTheFish	134
71	eitanzaki	132
72	rarrq	130
73	Mewar	128
73	Soap_Bender	128
75	Drlzyy	124
76	nataliecool	122
77	T045RTY	121
78	ImpavidArcher	118
79	TooManyDuck	114
80	jcool7	111
81	kekhon	110
82	Lutres_Torane	109
83	Soplight	106
84	SeverianTheLame	105
85	FirsTimeGamingTV	103
85	noam464	103
85	MyNameIsJobo	103
88	M_Patata	101
89	m_be9	99
89	Vetral1	99
89	Akoot_	99
89	MasterNueve	99
93	MSK__	97
93	mwrty	97
95	Winklepicker279	96
96	NotTrixi	91
96	KnightmareD	91
98	500am	89
99	TheSeismicDuck	87
100	Blu3beast	86
101	Ryker	85
101	Kouridragon	85
103	Afinnity	82
104	ssleepless	80
104	H72l9w	80
104	Bumpy419	80
107	BodaciousCake	79
108	MakeHistory157	78
109	Lord_Jord	77
109	Groundler	77
111	Marbz_	76
112	gaziter10	75
112	Sky_light_KING	75
114	fred870d	72
115	Smiguli_	71
115	ItsJunoIGuess	71
117	CrateOfBoxes	70
117	Fuhrer_Teemo	70
119	Blackberry1310	69
119	seramalen	69
119	Vorlice	69
122	xXTheWolfmanXx	68
123	SammiWolfGirl	67
123	obzii	67
125	Menthas	66
125	DTwenty	66
127	TheTrueClipse	63
127	PlzNoBM	63
129	egglapras	62
130	Euclidoris	61
131	ProfessorBee	60
131	Hermanni__	60
133	audiocracked	59
134	anbbang	58
135	ivorico	57
135	Corbsman	57
137	WyngGoy	55
137	TheOuterCore	55
139	Shogunite	54
140	MinttyFressh	53
140	Nagasaki_Riku	53
142	ROY4LE	52
143	ogoa	51
143	fkGrim	51
143	Jij0	51
146	_Virify_	50
147	MilleGrug	49
148	Franco093	48
148	radioactv_jelly	48
150	Inchef	47
150	KartivGal	47
152	Rocco_Lane	46
152	07shiny	46
154	Jackattack53	45
154	BronkerBrum	45
156	MightyWertu	44
156	jnp_gaming	44
158	fanofbands101	43
158	Omar_Alone	43
158	Quotary	43
161	ediballbearings	42
161	MissCeleste7	42
163	beeleg	41
163	hcb238	41
165	Iagoku	40
165	MrExplorer	40
165	Nyxiom_	40
168	BlancoFlaco	39
168	SaucyDark	39
168	Megarboh	39
171	XboxPanda	38
171	Eraxa	38
171	Oxygen16	38
174	Healthing	37
174	Yatitay	37
174	laron58	37
174	little_dUki	37
178	bloodbiter	36
178	501g	36
180	boog4loo	35
181	Chromary	34
182	Kegradigm	33
182	ColeSnyder	33
182	Hpdinosaur	33
182	jushykins	33
182	SellyZ	33
182	DarlaMeow	33
182	IvarEXE	33
182	Dogcorn69420	33
182	Kubeusz2010	33
191	_czarny	32
191	pixelviolin	32
193	Jovaphobic	31
193	Flores991	31
193	Inbefour	31
193	LexMakesHistory	31
197	soundad	30
197	Hanselhoof	30
197	andy_rex	30
197	OverallConcept	30
197	Cocoamallows	30
197	Zoeyfortnite	30
203	ProbablyNick	29
203	Ssor69	29
203	Smashic	29
203	r123moore	29
203	SpookyDraggin	29
208	Windo_licker	28
208	Hiryu27	28
208	Erased_Identity	28
208	kinas45y5	28
212	IWorkAtIkea	27
212	Rasmanden	27
212	drumine	27
212	OG_Songsee	27
216	MOSS000	26
216	Zedducius	26
216	Kamflame10	26
216	Rebytre	26
216	33sudo	26
216	SexcMf	26
222	Roosje69	25
222	Jiminie	25
222	KingMatthew506	25
222	_AAZAR	25
222	JayToe	25
222	diggydog67	25
228	Ailmast	24
228	G1ldor	24
228	Bobby808	24
228	Shiirazuku	24
232	_Tilariel_	23
232	K_a__a_n	23
232	TechnoNinja64	23
232	FishisTTV	23
236	Lukeee33	22
236	shyshyannne	22
236	thescout7	22
236	IforgotCS_Source	22
236	dartwaffle	22
236	Powowowow	22
242	hm947	21
242	EcksDofficial	21
244	JohnnyFyes	20
244	benediktine1	20
244	BlossomOwO	20
244	SlinkyPinky	20
244	SvenskaHugo	20
244	Sheldor097	20
250	Bandito_Roamer	19
250	Swexti	19
250	eviltunix	19
250	RefluxRatio	19
250	XeroByMyth	19
250	masskedman	19
256	ShedJr_	18
256	eiC_	18
256	NameGenerat0r	18
256	CookTheChef3	18
256	cog	18
256	TheEnderman548	18
256	Kowcio_	18
256	vandmanden	18
264	peachfuzz1267	17
264	Dedalus36	17
264	AngalexikCZ	17
264	selectrix	17
264	fw3xywashere	17
264	NotMeowMix	17
264	Teebone15	17
271	YungJakobo	16
271	Rumpletaezer	16
271	pappaberg	16
271	SUN_DREAM	16
271	Chaotic1s	16
271	_Yonk_	16
271	CalebDHawk	16
278	abramgray	15
278	Nach0Bear	15
278	himak1	15
278	MyNameIsDakar	15
278	Cyntrical	15
283	xyct	14
283	titanlax	14
283	Leyna3	14
283	lillips	14
283	PortlyPete69	14
283	Legendosh	14
289	AuroraValkyrie	13
289	SDMNAEK	13
289	lOlmantschi	13
289	lizardfightclub	13
289	Karbl	13
289	fluddd	13
289	erkada	13
296	Merv__	12
296	gilesmcriles	12
296	Cryptacity	12
296	Noah_Bez	12
296	Kynigito	12
