rank	username	minecraft:picked_up/minecraft:polished_blackstone_brick_slab
1	mwrty	10853
2	Freak_Genius	2852
3	noam464	2527
4	12Magner05	1703
5	Winklepicker279	1487
6	himak1	984
7	MSK__	633
8	Eczbek	616
9	beeperbeeper5	604
10	EveryonesUncle	554
11	eitanzaki	527
12	SkateboardR6	471
13	burbankbuilder28	463
14	HolyVenom	461
15	rarrq	435
16	Blaiku	357
17	pintsizedrogue	343
18	ImpavidArcher	263
19	Legendosh	233
20	YungJakobo	220
21	Spacewardharpy7	196
22	kekhon	192
23	gcaisawesome	187
23	Jackattack53	187
25	PlasticOtari	186
26	Lord_Jord	161
27	MyNameIsDakar	156
28	Eraxa	154
29	nataliecool	143
30	YungMaki	142
31	Akoot_	132
32	Racengan	114
33	Enderslayerxz3	101
34	Blackberry1310	84
35	set67	81
36	joethahobo	80
37	6king6colt6	79
38	soundad	78
39	Ezekson	76
40	Decaying_Lotus	75
41	CliffEmAll	68
42	Awyrlas	65
43	r123moore	63
44	egglapras	61
45	TheSecondLord	58
46	Snowflowe	57
47	lillips	56
48	Nesquiczek	48
48	Rebytre	48
50	500am	44
51	DanTheBuilderino	34
52	Fullut	32
53	Meme25327	25
54	PigDab	24
54	gustarbite	24
56	Cowison	23
56	Mattesco	23
58	KarlKaek	21
59	Shogunite	20
60	Smoke____	19
61	Deathkob	18
62	thewindmillman	17
62	Werbe	17
64	Yatitay	15
64	TheShyPig	15
66	lordpipe	14
66	Steelynan	14
68	breadbowlgamer	13
68	ApophisNova	13
68	sp00ky_ghost977	13
68	djancak	13
68	MyNamaSheff	13
73	oxfordschool	12
74	jacxhadow	11
74	Nycteus_	11
76	Mahoose	9
77	Eon_57	8
77	GlitchyPlate810	8
79	Hpdinosaur	7
79	Di_infiri	7
79	Zythose	7
79	_Boipl_	7
79	Frozil12	7
84	RebelAndroid	6
84	BobDeBouwer1337	6
84	Master_Kol	6
87	ShedJr_	5
87	GlitchMixed	5
87	TheTommyGun63	5
87	Kubeusz2010	5
91	Hyp3rion_	4
91	Dusk_95	4
91	Optiprimus	4
94	Solar_Power	3
94	Jiminie	3
94	HellsSponge	3
94	Awesomely_SYD	3
94	MineMaster0012	3
94	PortlyPete69	3
94	Hermanni__	3
101	hm947	2
101	Historical_Sand	2
101	fw3xywashere	2
101	KG1999	2
101	tsitrawhy	2
101	Winston_Ingram	2
101	trexgb	2
108	teslawolf38	1
108	_Razar	1
108	Upstro10	1
108	PegLegPete93	1
108	xxPipperDipperxx	1
108	MEMES4_LIFE	1
108	M_Patata	1
108	MrQuanQuan	1
108	KnightmareD	1
108	Fuad_R	1
108	LazySupport00	1
108	monky_irl	1
108	MasterNueve	1
108	Razzgriz	1
108	sadvavilloso	1
108	Segotep999	1
108	__tomato	1
108	CalebDHawk	1
108	Kferno	1
