rank	username	minecraft:picked_up/minecraft:acacia_log
1	AdmiralSmoke	23483
2	beeperbeeper5	22309
3	joethahobo	8615
4	thewindmillman	7486
5	Spacewardharpy7	7403
6	Blackberry1310	4998
7	eiC_	4528
8	ApophisNova	4334
8	MyNamaSheff	4334
10	luseis	3723
11	Franco093	3688
12	gcaisawesome	3530
13	Jonafrog99	3478
14	Enderxz3	3133
15	Meatlaugh	2757
16	Mahoose	2610
17	KarlKaek	2524
18	Werbe	2466
19	TheShyPig	2428
20	YungMaki	2305
21	Di_infiri	2270
22	Steelynan	2068
23	Groovy_MoonBird	1959
24	noam464	1958
25	Winklepicker279	1943
26	KingMatthew506	1886
27	r123moore	1804
28	hanaryheatwave	1793
29	MyNameIsJobo	1719
30	xolstoi	1552
31	xzvu	1545
32	Mr_Byzantine	1403
33	kekhon	1371
34	Zedducius	1361
35	lordpipe	1357
36	eitanzaki	1316
37	Snowflowe	1294
38	Bandito_Roamer	1161
39	jushykins	1148
40	El_Jalapeno	1060
41	ImpavidArcher	1058
42	Soul_Atreus	994
43	Manaateee	914
44	TheSeismicDuck	902
45	mariominejedi	872
46	mawileite	834
47	Huwulling	788
48	Apollo_993	787
49	Zaridey	785
50	Onennon	782
51	EveryonesUncle	751
52	Hoid_the_Roamer	746
52	Jimb0nat0r	746
54	ProfessorBee	742
55	HellsSponge	739
56	RebelAndroid	732
57	pintsizedrogue	725
58	k_ce	720
59	corvidpartyfor6	697
60	EcksD	670
61	m_be9	667
62	Merv__	665
63	FreakGenius	663
64	fkGrim	657
65	Powowowow	655
66	BlancoFlaco	634
67	Zythose	627
68	youhjjhhhjj	620
69	Legendosh	615
70	TheSecondLord	601
71	MilleGrug	581
71	tartanboy	581
73	Mowelan	552
74	Kamflame10	551
74	starbits140	551
76	mihimihimihi	544
77	smogfrog	542
78	Frozil20	540
79	fffMike	490
80	thgrocks	485
81	kalzor	482
82	Lutres_	480
83	Kim_Jong_eel	468
83	Ezekson	468
85	Megarboh	456
86	Luigipunch989	439
87	legal_tax_evader	436
88	12Magner05	435
89	Nicserso	422
90	ratglock	419
90	excelsionprime	419
92	Doom_melon	413
93	Blaiku	411
94	PlasticOtari	410
95	SuperPooch06	408
96	ROY4LE	400
97	himak1	397
98	ReflexCode	395
99	sp00ky_ghost977	392
100	2Stout	383
101	Moofyman	381
102	AnnieBathory	367
103	DemTechAlpha	365
104	EMC_	363
104	Elastiq	363
106	JESS_THE_RERE	355
107	TechnoNinja64	349
108	PortlyPete69	345
109	Hyp3rion_	340
110	Mattesco	325
111	Hiryu27	323
112	stellarjay	320
113	xXTheWolfmanXx	312
114	TastyPorkchop	308
115	peach0s	305
116	Skippeh	300
117	Fractured_	299
118	RatatJuice	297
119	dudcreeper	292
120	Jackattack53	291
121	Malorn_Aetherius	290
122	DarlaMeow	286
123	Soplight	284
124	jewbacaman	268
124	xX_Stalin69_Xx	268
126	laron58	263
127	Lez_	259
127	ProfessorDiaper	259
129	MoistMicrowave	255
