rank	username	minecraft:picked_up/minecraft:slime_ball
278	Kferno	64
278	cichy096	64
287	SpaceGrenadier	63
287	Aangezet	63
289	ZaneABrain	62
289	Tiberonus	62
289	SPUDonSTEROIDS	62
289	Darkgon	62
289	es0th	62
294	Franco093	61
294	TwinTowerV2	61
296	powercas_gamer	60
296	F_Uhre	60
298	Kegradigm	59
298	Dan_Scha	59
298	Luigipunch989	59
