rank	username	minecraft:picked_up/minecraft:spruce_chest_boat
1	H0UNDFRMH3LL	6
2	Mahoose	3
2	Boipl	3
4	pintsizedrogue	2
4	joethahobo	2
4	PlasticOtari	2
7	guiltybastard	1
7	Fuad_R	1
7	pixelviolin	1
7	Legendosh	1
