rank	username	minecraft:picked_up/minecraft:oak_fence
1	pintsizedrogue	10847
2	joethahobo	4509
3	El_Jalapeno	4493
4	HellsSponge	3083
5	TheShyPig	2961
6	FreakGenius	2300
7	Zythose	1367
8	thescout7	1263
9	beeperbeeper5	1138
10	Mr_Byzantine	1071
11	ThatMan_Dave	990
12	Di_infiri	956
13	Kakolbus	908
14	noam464	898
15	U_Mos_	864
16	Yamdalorian	829
17	Enderxz3	761
18	EMC_	748
19	gcaisawesome	710
20	Steelynan	652
21	AspenLightVT	614
22	xxPipperDipperxx	590
23	12Magner05	556
24	YungMaki	532
25	ApophisNova	498
25	MyNamaSheff	498
27	_Dean_123	496
28	miramyu	467
29	Bumpy419	453
30	Deathkob	441
31	Ezekson	436
32	Kowcio_	424
33	wobn	416
34	Kubelz	415
35	2Stout	409
36	Snowflowe	403
37	Lez_	396
38	NatalieTW	392
39	KarlKaek	375
40	Jimb0nat0r	374
41	tsitrawhy	373
42	Merv__	365
43	PlasticOtari	360
44	rarrq	355
45	MyNameIsJobo	351
46	Rumpletaezer	350
47	Xclax101	349
47	FormulaNewt3627	349
49	TheThomas69	339
50	wwwwinnebagoooo	336
51	Ssor69	334
52	PigDab	333
53	_Karmaa	317
54	Prodiginus	314
54	corpsecity	314
56	jnp_gaming	312
57	Hyp3rion_	300
58	Frozil20	292
59	Wooptey	290
60	Mahoose	277
60	diggydog67	277
62	Onennon	275
63	Crowman1	274
64	crying_wolf_13	272
65	fffMike	270
66	gamerlord1324	269
67	T045RTY	259
68	TheDankPlatypus	258
69	non089	251
70	Flores991	248
71	LeauVox4921	245
72	Napoleonpancake	242
73	AvaRosey	236
73	WyngGoy	236
75	lordpipe	223
76	soundad	219
76	Dakar_	219
78	royal_2	218
79	GingerNeutron	216
80	AlphaWolfPlaysMC	214
80	Quotary	214
82	CharlieButt	212
83	Huwulling	210
84	The11thDoctor	209
85	SpacesickPrism	208
86	titanlax	206
87	Legendosh	205
88	Spacewardharpy7	204
89	eitanzaki	202
90	Ryker	200
91	Lord_Jord	199
92	ROY4LE	198
93	301851	197
94	Kateesaur	194
95	SteveCraftBlocks	190
96	The_slideV3	189
97	shineh10	188
97	Burge_r	188
99	CoffeeNoir	182
99	kekhon	182
99	EveryonesUncle	182
99	MightyWertu	182
99	TechnoNinja64	182
104	Krowuss	176
105	Euclidoris	174
106	Mikael_Kuningas	173
106	TheSandwhich_	173
108	AuroraSkies	168
109	slkiey	167
110	Blackberry1310	164
111	Lord_Zacler	162
111	Powowowow	162
113	q_wq	161
114	bloodbiter	160
115	sp00ky_ghost977	157
116	NoChumpChange	156
117	Windo_licker	155
117	fkGrim	155
117	EngagedGrub41	155
120	philandr	154
120	Luigipunch989	154
122	little_dUki	153
123	Barlycorn	152
124	PegLegPete93	143
125	Creativebuilder2	142
126	calamariclam_I	141
127	nitram49b	139
128	_vlex	136
128	GooseWithin	136
128	ConnorDanky_	136
131	Secret_Canary	134
132	Akoot_	133
132	Groundler	133
134	Smashic	132
134	luseis	132
136	PhantomsGhost_	131
136	abdomera	131
136	excelsionprime	131
136	Skylord_Luke	131
136	Logain42	131
141	mobunni	130
142	Malorn_Aetherius	129
143	I_Am_Mushkin	127
143	Druid95	127
145	Soplight	126
146	500am	122
146	PaperCanvas	122
148	Rasmanden	121
148	FiguraDei	121
150	jacxhadow	120
151	TheSecondLord	112
151	OfficerAnvil	112
153	DrGrant	110
153	skitzxo	110
155	iElijahi	109
155	TableTim	109
155	SSytex_X	109
158	MAns_44	108
158	QuesoCrusaderIII	108
160	Skippeh	107
161	burbankbuilder28	106
162	_3Stump_	105
163	Fullut	104
164	picardred	102
164	mihimihimihi	102
166	lizardfightclub	101
167	ThePoliteG	99
167	hcb238	99
169	Comma__	98
170	Mattesco	97
171	eiC_	96
171	Arceus1975	96
173	Alteriity	94
173	Azmodan_246	94
175	j5ylim	93
175	Natty	93
175	BobDeBouwer1337	93
178	Cocoamallows	90
178	hermmm_	90
180	OreTheBear	89
180	theofiel	89
180	ProfessorDiaper	89
183	lorpus	88
183	oscminus	88
