rank	username	minecraft:picked_up/minecraft:enchanted_book
1	noam464	583
2	thewindmillman	493
3	Hyp3rion_	471
4	eitanzaki	423
5	fw3xywashere	315
6	Freak_Genius	298
7	kekhon	254
8	joethahobo	245
9	PlasticOtari	236
10	loveseeker	229
11	fffMike	214
12	Blaiku	208
13	Akoot_	199
14	Werbe	195
15	pintsizedrogue	194
16	Di_infiri	193
17	TheSecondLord	191
18	Blu3beast	173
19	HellsSponge	157
20	Dedalus36	147
21	FishyBoy3811	131
21	EcksD	131
23	Skylord_Luke	126
24	Racengan	124
24	TechnoNinja64	124
26	YungMaki	120
27	Mahoose	114
28	Ezekson	112
29	CruncyIsTaken	108
30	groofles	107
31	Smoke____	103
32	El_Jalapeno	102
33	TheShyPig	98
34	Inbefour	96
34	BumbleBeever	96
34	Njensen7	96
37	Bumpy419	93
38	SaucyDark	85
38	Myszoaz	85
40	Historical_Sand	84
41	Airem_Core	83
42	claivin	82
42	Spacewardharpy7	82
42	BreadBacon	82
45	chipklip	80
46	mwrty	79
47	mariominejedi	77
48	_Virify_	76
49	Blackberry1310	75
49	MyNameIsJobo	75
51	The_SlideV5	71
52	rarrq	70
53	LordSpeed37	68
54	VentiHilton	67
55	ApophisNova	62
55	MyNamaSheff	62
57	PigDab	61
58	oxfordschool	60
59	Fullut	58
59	thescout7	58
61	gcaisawesome	57
61	Sky_light_KING	57
61	stahouo	57
64	ROY4LE	54
64	Hoid_the_Roamer	54
64	Ender_Souls	54
67	jcool7	53
68	Cocoamallows	52
69	6king6colt6	51
69	Jackattack53	51
71	Soplight	50
72	wezzzi	47
73	CliffEmAll	46
74	Quaintster	45
75	beeperbeeper5	44
75	Hisiste	44
75	Legendosh	44
78	ayamefag	43
78	Enderslayerxz3	43
80	Drlzyy	42
80	Kyrum2169	42
82	KartivGal	41
82	_TCARREIRA_	41
82	jnp_gaming	41
85	Kowcio_	40
86	slkiey	39
86	sp00ky_ghost977	39
88	Merv__	38
88	teslawolf38	38
88	Segotep999	38
91	InfernalMound	37
91	WET_WET_WET	37
91	vandmanden	37
91	Zoeyfortnite	37
91	EcksDofficial	37
96	censorsheep	36
97	Groovy_MoonBird	35
97	Z3braYTIL	35
97	Skippeh	35
97	sumwun19	35
101	MattieHD	34
101	Eraxa	34
103	himak1	33
103	Zythose	33
103	aec9	33
106	Steelynan	32
107	ImpavidArcher	31
107	ratglock	31
107	ProfessorBee	31
107	__tomato	31
111	JayToe	30
112	Jiminie	29
112	fluddd	29
114	AuroraValkyrie	28
114	Euclidoris	28
114	benediktine1	28
114	gabriels543	28
114	RodSerlingCringe	28
114	adiccting01	28
120	audiocracked	27
121	Deodorante	26
121	_Bguette_	26
121	WyngGoy	26
124	ShedJr_	25
124	Rumpletaezer	25
126	Harotio	24
126	TheTrueClipse	24
126	HesDemonPants	24
129	Bandito_Roamer	23
129	Hiryu27	23
129	masskedman	23
129	ProbsNotNova	23
133	PhantomsGhost_	22
133	Kkanot	22
133	SlayerCrypto	22
133	NomadicRobin_	22
133	Meeerkat	22
138	youhjjhhhjj	21
138	Xalithia	21
138	geekbird	21
141	Jovaphobic	20
141	peach0s	20
141	Dali1465	20
141	SokaOtaku	20
145	EMC_	19
145	numbra	19
145	KarlKaek	19
145	livingdaydreams	19
145	fred870d	19
145	KlausVonStiglitz	19
145	Fuad_R	19
152	pZygh0st	18
152	XboxPanda	18
152	Snowflowe	18
152	RyuNeko932000	18
152	LilyNova	18
152	EveryonesUncle	18
152	NameGenerat0r	18
152	Miko_Fullbuster	18
160	abramgray	17
160	Isaac70096	17
160	KomputerDude	17
160	NotMeanttoChange	17
160	intropass	17
160	eiC_	17
160	Marbz_	17
160	Onennon	17
160	TeenMomTom	17
160	Lord_Jord	17
160	TheRealHi	17
171	Incinere	16
171	Comma__	16
171	_Nuf	16
171	sammidk	16
171	NYJ	16
171	Travka100	16
171	SkateboardR6	16
171	MovingFish7	16
179	seanitoo	15
179	Froste131	15
179	set67	15
179	emrekn	15
179	M_Patata	15
179	RobotMinion101	15
179	PuFY	15
179	iHuntWeeaboos	15
179	Groundler	15
179	ItsDeltaMC	15
179	SammiWolfGirl	15
179	Nicserso	15
179	diggydog67	15
192	bigstankyy	14
192	gaziter10	14
192	Tjhodskins19	14
192	jewbacaman	14
192	Maenara	14
192	Nycteus_	14
192	MightyWertu	14
192	KG1999	14
192	little_dUki	14
201	JEWISHBadenBeele	13
201	ssleepless	13
201	_Razar	13
201	12Magner05	13
201	Flapjacker687	13
201	hcb238	13
201	Avermu	13
