rank	username	minecraft:picked_up/minecraft:prismarine_bricks
1	noam464	32469
2	Ezekson	26218
3	HellsSponge	17565
4	EcksD	14595
5	Snowflowe	14226
6	Freak_Genius	10612
7	Bumpy419	9743
8	pintsizedrogue	9473
9	lizardfightclub	9047
10	PhantomsGhost_	9021
11	Smoke____	8650
12	joethahobo	8461
13	Frozil12	8319
14	Spacewardharpy7	8049
15	SpookyDraggin	7610
16	TheShyPig	6913
17	MightyWertu	5011
18	Zythose	4994
19	diamondgolem35	4569
20	Hiryu27	4237
21	Legendosh	4137
22	Enderslayerxz3	4086
23	ImpavidArcher	3436
24	Di_infiri	3285
25	Blaiku	3246
26	eitanzaki	3151
27	Kakolbus	3095
28	jcool7	2751
29	Vorlice	2669
30	TechnoNinja64	2582
31	Blu3beast	2538
32	Comma__	2224
33	Maenara	2174
34	Hisiste	1848
35	YungMaki	1746
36	chipklip	1738
37	Notta	1556
38	Paintz	1526
39	Mahoose	1226
40	Vellu21	1207
41	lillips	1158
42	NameGenerat0r	1147
43	gcaisawesome	1099
44	Jackattack53	1092
45	Groundler	1084
46	_naturell	1082
47	I_Am_Mushkin	1066
48	PigDab	1020
49	eiC_	969
50	Powowowow	965
51	DarlaMeow	849
52	elicobnoah	819
53	sebastiensaborio	813
54	Zaridey	787
55	diggydog67	782
56	beeperbeeper5	747
57	djancak	741
58	Merv__	722
59	Skippeh	686
60	Incinere	648
61	stahouo	635
62	voiding_	622
63	Barlycorn	596
64	Fullut	579
65	SammiWolfGirl	510
66	The_slideV3	491
67	livingdaydreams	480
68	vandmanden	478
69	thescout7	460
70	12Magner05	458
71	Arceus1975	436
72	ooga47	415
73	Iagoku	410
74	Blackberry1310	407
75	hm947	406
76	loveseeker	391
77	seramalen	384
78	Mr_Byzantine	378
79	M_Patata	375
79	MasterNueve	375
81	thewindmillman	369
82	stavgod	350
83	claivin	324
84	Omar_Alone	317
85	ROY4LE	306
86	Eraxa	250
87	PortlyPete69	229
88	TheSecondLord	225
89	EcksDofficial	218
90	ApophisNova	217
90	MyNamaSheff	217
92	Racengan	215
93	Sky_light_KING	214
94	MilleGrug	203
95	Lord_Jord	188
96	TheTrueClipse	185
97	Rumpletaezer	178
98	Zoeyfortnite	171
99	MAns_44	166
100	LittleBug562	157
101	AuroraValkyrie	151
102	oxfordschool	147
103	kekhon	142
104	NomadicRobin_	136
105	ayamefag	132
106	_Dean_123	129
107	slendersipl	128
108	Onennon	122
109	MeetTheWollo	116
110	Awyrlas	114
111	KarlKaek	112
111	Sral7	112
113	John6970	110
114	Inbefour	104
115	ssleepless	103
116	Jovaphobic	101
117	obzii	98
118	monky_irl	97
119	himak1	95
120	fred870d	90
120	masskedman	90
122	ZoharGoldMine	87
123	TheSeismicDuck	84
124	MattieHD	83
125	Jiminie	81
126	Fildyr	77
127	UrbanPlanner1978	75
128	BumbleBeever	70
129	WyngGoy	69
130	ExtraDumb	67
130	SingedBread	67
132	Xclax101	65
133	Z3braYTIL	64
133	XxCookiequeenxX	64
135	teslawolf38	63
135	NotMeanttoChange	63
137	MinttyFressh	62
138	intropass	60
139	mawileite	56
140	Bandito_Roamer	49
141	Chromary	47
141	LetsDoItLive	47
143	The_SlideV5	45
144	SokaOtaku	43
145	TheDankPlatypus	42
146	XboxPanda	40
146	gabriels543	40
148	bigstankyy	38
148	CliffEmAll	38
150	RebelAndroid	36
151	titanlax	33
151	KingMatthew506	33
153	Winklepicker279	31
154	Guillemet	30
