rank	username	minecraft:picked_up/minecraft:tall_grass
1	kekhon	5
2	Anne_Primrose	4
2	H72l9w	4
4	Akoot_	3
4	YungMaki	3
6	fxiryglitch	2
7	joethahobo	1
7	beeperbeeper5	1
7	Blackberry1310	1
7	KingMatthew506	1
