rank	username	minecraft:picked_up/minecraft:ominous_bottle
1	thewindmillman	470
2	pixelviolin	41
3	CLG_Kata	21
3	Steelynan	21
5	oscminus	17
6	MyMawgDonaldsGon	16
6	00000000-0000-0000-0009-01fe065167f0	16
8	k_ce	14
8	Secret_Canary	14
10	TheKingK_	11
11	MattieHD	8
11	lpinfinity	8
13	beeperbeeper5	6
13	_Mythic____	6
15	cutelilreno	5
15	Yamdalorian	5
17	Mr_Byzantine	4
18	net_flex	3
18	Buuck_	3
18	Spaghettatron	3
21	Merv__	2
21	squeezal	2
21	DisgruntledKoala	2
21	GildedRemnant	2
21	EcksD	2
26	rarrq	1
26	Winklepicker279	1
26	Skwillyum13	1
26	Paul_Katan	1
26	Pumpkin_P_Patch	1
26	Soplight	1
26	Enderxz3	1
