rank	username	minecraft:picked_up/minecraft:snowball
1	thewindmillman	52756
2	Smoke____	36621
3	Mahoose	29055
4	Ezekson	21993
5	Groundler	16124
6	OtariCharlie	14753
7	SSytex_X	13799
8	kekhon	12242
9	xxPipperDipperxx	10525
10	Drawgirll	10457
11	El_Jalapeno	7429
12	Akoot_	7397
13	Cowison	7161
14	EcksDofficial	6963
15	Thaumatarge	6958
16	Merv__	6598
17	Awyrlas	6562
18	ROY4LE	5944
19	Spacewardharpy7	5664
20	diamondgolem35	5311
21	rarrq	4955
22	Toriankel	4918
23	SuperPooch06	4671
24	mwrty	4520
25	PigDab	4452
26	alderban107	4351
27	Di_infiri	4246
28	Blu3beast	4098
29	_Boipl_	3886
30	TheShyPig	3840
31	Deathkob	3657
32	WyngGoy	3639
33	PhantomsGhost_	3540
34	m_be9	3384
35	Eraxa	3357
36	eitanzaki	3239
37	Arceus1975	2942
38	ooga47	2928
39	Tobinator_007	2774
40	Fullut	2705
41	Historical_Sand	2661
42	M_Patata	2412
43	Skylord_Luke	2391
44	Razzgriz	2377
45	Jiminie	2332
46	12Magner05	2327
47	Sral7	2275
48	jacxhadow	2192
49	lillips	2171
50	__tomato	1998
51	beeperbeeper5	1988
52	RedcatVII	1965
53	noam464	1866
54	JESS_THE_RERE	1864
55	MasterNueve	1862
56	teslawolf38	1811
57	Blackberry1310	1788
58	EcksD	1783
59	SteveCraftBlocks	1777
60	YungMaki	1640
61	Inchef	1565
62	Dusk_95	1542
63	SingedBread	1514
64	_Dean_123	1494
65	Legendosh	1430
66	ApophisNova	1416
66	MyNamaSheff	1416
68	Natty	1403
69	Hermanni__	1322
70	lizardfightclub	1320
71	stuy9	1306
72	Frozil12	1302
73	purpolepickle	1297
74	500am	1290
75	bigstankyy	1229
76	ImpavidArcher	1193
76	censorsheep	1193
78	rotten_mango	1190
79	set67	1124
80	slkiey	1091
81	Skippeh	1086
82	HellsSponge	1055
83	joethahobo	1023
84	_stets	1010
85	jcool7	1009
86	Motsaro	981
87	tramizu	976
87	claivin	976
89	FelixPSY375	967
90	_Razar	960
91	burbankbuilder28	948
92	TechnoNinja64	943
93	wezzzi	921
93	Spenduh	921
95	Groovy_MoonBird	907
96	thescout7	904
97	DermeinUser	900
98	Ze_BaronKrigler	862
99	FirsTimeGamingTV	857
100	SaucyDark	845
101	lordofthelight95	827
102	Vegvisir	812
103	Cocoamallows	807
104	Enigma0251	805
105	1442	792
106	rats_life	766
107	h2p_emrld	764
108	Kamflame10	737
109	CoffeeNoir	724
110	Nekomin0	715
111	_8man	690
112	pintsizedrogue	663
113	Tolhart	644
114	DarlaMeow	633
115	FlashMigma	630
116	6king6colt6	613
117	kinas45y5	612
118	NotSoJamie	581
119	strongman951753	575
120	Drlzyy	549
121	trexgb	528
122	scarletwarrior1	514
123	Guillemet	513
123	CaptainAvenger7	513
125	EfficientC52	506
126	Moetis	505
127	sp00ky_ghost977	501
128	Onennon	499
129	IforgotCS_Source	495
130	SammiWolfGirl	493
131	gcaisawesome	490
132	ShedJr_	484
133	bloodbiter	480
134	Ardennes	469
135	ninjacat027	466
136	Hpdinosaur	464
137	ItsAki_	462
138	fr_ser	460
139	TTNG	450
139	_Bguette_	450
141	drumine	444
142	oxfordschool	434
143	lcvezra	430
144	xof_on_microwave	425
145	TheOuterCore	422
146	jnp_gaming	419
147	zylanzagreat	418
147	Winston_Ingram	418
149	TheSecondLord	412
149	MustaLoordi	412
149	Warlord324	412
152	TheBiggestFeller	409
153	Nicky_H225	385
154	NoxxxxiS	384
155	ogoa	383
156	Zlatovlas	379
157	momis24	367
158	PortlyPete69	360
159	420BreadLizard	355
