rank	username	minecraft:picked_up/minecraft:stripped_birch_wood
1	PlasticOtari	327
2	noam464	247
3	Groundler	200
4	Mahoose	199
5	Smoke____	135
6	lcvezra	88
7	joethahobo	73
8	regulator75	72
9	Zythose	68
10	Maenara	42
11	MyNameIsJobo	32
12	Freak_Genius	27
13	PigDab	26
14	pintsizedrogue	25
15	Merv__	13
15	Luigipunch989	13
17	Sky_light_KING	7
18	claivin	6
18	ayamefag	6
18	sebastiensaborio	6
21	500am	3
21	EveryonesUncle	3
21	Legendosh	3
24	oreee	2
24	LotusProject	2
24	KeruNatsema	2
24	stavgod	2
28	eitanzaki	1
28	T045RTY	1
28	beeperbeeper5	1
28	Werbe	1
28	_naturell	1
28	chipklip	1
28	AssEatrAndLicker	1
28	jnp_gaming	1
28	The_SlideV5	1
