rank	username	minecraft:picked_up/minecraft:red_dye
1	thewindmillman	1081977
2	noam464	47303
3	Spacewardharpy7	10852
4	Hyp3rion_	3156
5	Lez_	655
6	Smoke____	617
7	FreakGenius	420
8	ConnorDanky_	415
9	YungMaki	391
10	PlasticOtari	380
11	Kakolbus	323
12	MousePlays	320
13	NameGenerat0r	303
14	HellsSponge	295
15	Huwulling	282
16	emrekn	269
16	fffMike	269
18	EcksD	262
19	Swexti	256
20	bladeefan2009	222
21	IamCL4SSY	218
22	bloodbiter	213
23	Kowcio_	201
24	Jimi7hits	192
24	BumbleBeever	192
26	Smashic	178
27	BlancoFlaco	153
27	SkateboardR6	153
29	lordpipe	152
30	GlitchyPlate810	148
31	Frozil20	145
32	pintsizedrogue	142
33	Mattesco	138
34	binman420	128
35	Hoid_the_Roamer	126
36	jnp_gaming	120
37	ayamefag	119
38	xzvu	117
39	rarrq	113
40	Quotary	88
41	thescout7	81
42	eitanzaki	73
43	Nycteus_	65
43	xolstoi	65
45	CadenSteele	64
45	gcaisawesome	64
45	Truckoss	64
45	sigmabich	64
45	Nicserso	64
50	r123moore	63
50	EveryonesUncle	63
50	Eczbek	63
53	wTXop	62
54	Onennon	61
55	Bumpy419	60
56	Ezekson	56
57	PhantomsGhost_	48
57	Arceus1975	48
59	PeteO1995	46
59	Jimb0nat0r	46
61	NoChumpChange	45
62	RoofTyler	42
62	MovingFish7	42
64	Akoot_	39
64	El_Jalapeno	39
66	The_SlideV5	38
67	joethahobo	37
68	Groovy_MoonBird	36
68	500am	36
70	XxCookiequeenxX	35
71	Bandito_Roamer	32
71	Ecplosive	32
71	imaginek1d	32
74	Yatitay	31
75	beeperbeeper5	27
75	RocketRidge	27
75	SaintJosie	27
78	kekhon	22
79	Crowman1	20
79	Jiminbub	20
81	SteveCraftBlocks	19
81	TheWildMateo	19
81	Toriankel	19
81	Legendosh	19
85	hcb238	18
85	RobotMinion101	18
87	TheDumbHuman	17
88	ImpavidArcher	16
88	DSYisDizzy	16
88	Jackattack53	16
88	Parcc	16
92	Biites	15
93	Nicky_H225	14
93	cedric72	14
93	starbits140	14
96	Batoser	13
96	livingdaydreams	13
96	Cambo5000	13
99	ROY4LE	12
99	vampgey	12
99	TheShyPig	12
99	iSammael	12
99	IAmTheWalrus910	12
104	The_slideV3	11
104	WyngGoy	11
104	Sheldor097	11
104	VentiHilton	11
108	Smussa	10
108	luseis	10
110	q_wq	8
110	Jokerman369	8
110	Z3braYTIL	8
110	xxPipperDipperxx	8
110	fluddd	8
115	6king6colt6	7
115	SaucyDark	7
115	RatatJuice	7
115	Inchef	7
115	Lord_Jord	7
120	KartivGal	6
120	PigDab	6
120	DarlaMeow	6
123	Blackberry1310	5
123	TheSecondLord	5
123	Kynigito	5
123	epiksk8erduck	5
123	Inbefour	5
123	djancak	5
129	BPTY4618	4
129	Hpdinosaur	4
129	Natty	4
129	shdesolt	4
129	Fullut	4
129	Kamflame10	4
129	XboxPanda	4
129	Snowflowe	4
129	CaptainDeadBread	4
129	SammiWolfGirl	4
129	CalebDHawk	4
129	KingMatthew506	4
141	dopplexd	3
141	m_be9	3
141	eclipseboi	3
141	Yirtle	3
141	eiC_	3
141	SeverianTheLame	3
141	Di_infiri	3
141	GoofyBread	3
141	_Karmaa	3
141	Majonezzon	3
141	stavgod	3
141	Eraxa	3
141	lcvezra	3
141	anbbang	3
155	k_ce	2
155	EMC_	2
155	Mahoose	2
155	oreee	2
155	TheFlfthHorseman	2
155	heckface	2
155	ProfessorBee	2
155	fr_ser	2
155	gabriels543	2
155	MyNameIsJobo	2
155	Fildyr	2
155	LordSpeed37	2
155	Hermanni__	2
155	xorompole	2
155	smogfrog	2
155	mountaingirl311	2
155	diggydog67	2
172	_Virify_	1
172	hollowww	1
172	diamondgolem35	1
172	LeDuctTape	1
172	Ryker	1
172	ZaneABrain	1
172	Euclidoris	1
172	Mimiir345	1
172	CliffEmAll	1
172	Secret_Canary	1
172	_Dean_123	1
172	SellyZ	1
172	shadowthemonkey	1
172	Marbz_	1
172	whoaluv	1
172	Chromary	1
172	Rumpletaezer	1
172	burbankbuilder28	1
172	ApophisNova	1
172	Luminad3	1
172	_Bguette_	1
172	Tyrannosplart	1
172	handsome_strong	1
172	Dooinfe	1
172	Shogunite	1
172	Blu3beast	1
172	Bloo2406	1
172	Typadopoulos	1
172	Dusk_95	1
172	sp00ky_ghost977	1
172	Optiprimus	1
172	PlzNoBM	1
172	MyNamaSheff	1
172	TechnoNinja64	1
