rank	username	minecraft:picked_up/minecraft:chainmail_helmet
1	pintsizedrogue	14
2	beeperbeeper5	13
3	thewindmillman	12
3	TheShyPig	12
3	Smoke____	12
6	joethahobo	10
6	RobotMinion101	10
6	Jiminie	10
9	Mahoose	9
9	Blackberry1310	9
9	mariominejedi	9
9	Freak_Genius	9
13	Drlzyy	8
13	ShedJr_	8
13	PigDab	8
16	Jovaphobic	7
16	Kakolbus	7
16	Enderslayerxz3	7
19	Wooptey	6
19	jacxhadow	6
19	500am	6
19	Smashic	6
19	thescout7	6
19	Di_infiri	6
19	fred870d	6
19	HellsSponge	6
19	Bonzaidalek	6
19	PlasticOtari	6
19	EcksDofficial	6
30	Bandito_Roamer	5
30	fanofbands101	5
30	RebelAndroid	5
30	Fullut	5
30	set67	5
30	Jackattack53	5
30	Hyp3rion_	5
30	fluddd	5
30	SingedBread	5
30	djancak	5
40	Groovy_MoonBird	4
40	Merv__	4
40	H72l9w	4
40	Historical_Sand	4
40	jushykins	4
40	Nicky_H225	4
40	Kamflame10	4
40	egglapras	4
40	Arceus1975	4
40	burbankbuilder28	4
40	ooga47	4
40	AlexxO_o	4
40	masskedman	4
40	EveryonesUncle	4
40	El_Jalapeno	4
40	censorsheep	4
40	Spacewardharpy7	4
40	YungMaki	4
40	Ezekson	4
40	HesDemonPants	4
40	TechnoNinja64	4
40	diggydog67	4
62	q_wq	3
62	I_Am_Mushkin	3
62	SyntheticSurgeon	3
62	rarrq	3
62	noam464	3
62	SuperPooch06	3
62	whoaluv	3
62	Bumpy419	3
62	MustardDrinker	3
62	Akoot_	3
62	Blaiku	3
62	sp00ky_ghost977	3
62	hdtpm	3
62	Kowcio_	3
62	Soplight	3
62	Spenduh	3
62	stahouo	3
62	Luigipunch989	3
62	obzii	3
62	anbbang	3
82	dudcreeper	2
82	KingFaenor	2
82	BlancoFlaco	2
82	youhjjhhhjj	2
82	Malorn_Aetherius	2
82	NieToksikpl	2
82	xPixelRainx	2
82	Chickenchaser2	2
82	m_be9	2
82	12Magner05	2
82	mwrty	2
82	xxPipperDipperxx	2
82	Touched_Bread	2
82	Kubelz	2
82	platinumzero	2
82	CollinMH06	2
82	loveseeker	2
82	MyNameIsJobo	2
82	Hoid_the_Roamer	2
82	Muffindrake	2
82	Mattesco	2
82	KliBeast21	2
82	Lord_Jord	2
82	NomadicRobin_	2
82	Katsuragi0243218	2
82	Deathkob	2
82	StinkyDiplomat	2
82	DanTheBuilderino	2
82	Nycteus_	2
82	Toriankel	2
82	SkateboardR6	2
82	Dusk_95	2
82	TheEnderman548	2
82	pixelviolin	2
82	Segotep999	2
82	tsitrawhy	2
82	PortlyPete69	2
82	fffMike	2
82	Njensen7	2
82	Miko_Fullbuster	2
82	Quotary	2
82	RadarHz	2
82	smogfrog	2
82	Nicserso	2
82	2blox	2
127	MunkaKris	1
127	PhantomsGhost_	1
127	Cowison	1
127	AuroraValkyrie	1
127	teslawolf38	1
127	Frozil20	1
127	Sleek_Storm_721	1
127	ImpavidArcher	1
127	Killercatty78	1
127	Tolhart	1
127	Incinere	1
127	Ryker	1
127	livingdaydreams	1
127	Alteriity	1
127	CoffeeNoir	1
127	NinjaKnifeKill	1
127	Simon_Lowell	1
127	SquadMonster	1
127	Alphanzt99	1
127	Ozixar	1
127	ZigzagLily43042	1
127	Cryptacity	1
127	TheSecondLord	1
127	Comma__	1
127	BobDeBouwer1337	1
127	bloodbiter	1
127	o0z	1
127	kekhon	1
127	MattieHD	1
127	Megarboh	1
127	zorin123	1
127	corvidpartyfor6	1
127	_Dean_123	1
127	TheDiamondCG	1
127	BilboBaggins23	1
127	AngalexikCZ	1
127	4774	1
127	Scathra	1
127	Awyrlas	1
127	Bobby808	1
127	himak1	1
127	orxngejuice	1
127	Inchef	1
127	SellyZ	1
127	gcaisawesome	1
127	TheDankPlatypus	1
127	M_Patata	1
127	_Gabae	1
127	Mouse74	1
127	Winklepicker279	1
127	ninjacat027	1
127	Sagaram	1
127	CarltheCuck	1
127	Chromary	1
127	Rumpletaezer	1
127	WET_WET_WET	1
127	Snowflowe	1
127	impossibleteapot	1
127	cwartzo	1
127	_Boipl_	1
127	MangoTheFish	1
127	Rebytre	1
