rank	username	minecraft:picked_up/minecraft:purple_dye
1	thewindmillman	877596
2	noam464	29444
3	Hyp3rion_	23283
4	hanaryheatwave	19712
5	jnp_gaming	236
6	bigstankyy	222
7	_Nuf	190
8	HellsSponge	135
9	lordpipe	134
10	XxCookiequeenxX	118
11	Manaateee	117
12	ROY4LE	113
13	Werbe	112
14	pintsizedrogue	79
15	pixelviolin	75
16	mwrty	74
17	Jimb0nat0r	65
18	Mr_Byzantine	64
18	emrekn	64
18	CornOnTheCobalt	64
18	WyngGoy	64
22	ZigzagLily43042	62
23	Alteriity	60
24	Sral7	56
25	Kakolbus	48
25	00000000-0000-0000-0009-01ff0c3e5e4f	48
27	TheSecondLord	45
28	Kowcio_	44
29	Steelynan	43
30	sxc_	40
31	Lez_	36
32	_i_ERROR_i_	34
33	burbankbuilder28	32
33	MakeHistory157	32
35	Inchef	30
36	YungMaki	24
37	Ezekson	21
38	Wolf_Mauler_73	18
38	eitanzaki	18
40	Merv__	12
40	LordSpeed37	12
42	AdmiralSmoke	11
43	ApophisNova	8
43	MyNamaSheff	8
45	stavgod	6
46	Groovy_MoonBird	4
46	Akoot_	4
46	El_Jalapeno	4
46	EcksD	4
50	MovingFish7	3
50	Zoeyfortnite	3
52	RatatJuice	2
52	MintyTuna	2
52	oreee	2
52	Saucepeh	2
52	kekhon	2
52	AJplaysMC_	2
52	Onennon	2
52	NomadicRobin_	2
52	little_dUki	2
52	Enderxz3	2
62	Jovaphobic	1
62	ImpavidArcher	1
62	Ryker	1
62	Mahoose	1
62	H72l9w	1
62	beeperbeeper5	1
62	Malorn_Aetherius	1
62	Fullut	1
62	Dali1465	1
62	xxPipperDipperxx	1
62	ARandomHedge	1
62	SeverianOfUrth	1
62	Ecplosive	1
62	Marbz_	1
62	yheece	1
62	Krowuss	1
62	Mattesco	1
62	luseis	1
62	StinkyDiplomat	1
62	lolpoottoot	1
62	mihimihimihi	1
62	Cliopatra	1
62	MineMaster0012	1
62	TheBananaKat	1
62	skrongus	1
