rank	username	minecraft:picked_up/minecraft:light_gray_stained_glass
1	thewindmillman	3146
2	Winklepicker279	2093
3	eitanzaki	1337
4	mwrty	1085
5	Mahoose	1080
6	noam464	716
7	Jackattack53	651
8	ProfessorBee	627
9	MixerDixer	624
10	Enderslayerxz3	576
11	ImpavidArcher	539
12	T045RTY	356
13	EcksDofficial	355
14	Historical_Sand	339
15	NotMeanttoChange	253
16	Inbefour	236
17	Cowison	234
17	fffMike	234
19	PlasticOtari	214
20	ZeroKraken	211
21	MilleGrug	196
22	thescout7	181
23	500am	179
24	Blaiku	177
25	Di_infiri	166
26	The_SlideV5	158
27	pintsizedrogue	148
28	Quotary	121
29	XxCookiequeenxX	120
30	Arceus1975	108
31	Eraxa	94
32	Frozil12	84
33	Legendosh	74
34	RobotMinion101	72
35	lordpipe	71
36	Kakolbus	64
36	Groundler	64
38	fr_ser	39
38	MyNameIsJobo	39
38	Spacewardharpy7	39
41	Blackberry1310	36
42	jnp_gaming	34
43	jacxhadow	33
44	Bandito_Roamer	28
44	Sky_light_KING	28
44	h2p_emrld	28
47	m_be9	27
48	Notta	26
49	TheSecondLord	25
50	chipklip	23
51	Rumpletaezer	20
52	burbankbuilder28	19
52	Jiminie	19
54	Wowful	18
55	The_slideV3	17
55	KG1999	17
57	Smoke____	16
58	joethahobo	15
59	OfficerAnvil	14
60	pappaberg	12
60	alderban107	12
62	PhantomsGhost_	11
62	Merv__	11
62	oreee	11
62	Hermanni__	11
62	EcksD	11
62	Zoeyfortnite	11
68	Lord_Jord	10
69	TheShyPig	8
69	Deathkob	8
69	El_Jalapeno	8
72	titanlax	7
72	sebastiensaborio	7
74	beeperbeeper5	6
74	M_Patata	6
74	MonitorLizards	6
74	MasterNueve	6
74	oxfordschool	6
79	_Dean_123	5
79	egglapras	5
79	CaptainDeadBread	5
79	lillips	5
83	JEWISHBadenBeele	4
83	KarlKaek	4
83	CliffEmAll	4
83	kekhon	4
83	PigDab	4
83	MakeHistory157	4
83	sp00ky_ghost977	4
83	lcvezra	4
91	AuroraValkyrie	3
91	Incinere	3
91	emrekn	3
91	Soplight	3
91	TechnoNinja64	3
96	_Virify_	2
96	EMC_	2
96	rarrq	2
96	MattieHD	2
96	Inchef	2
96	xxPipperDipperxx	2
96	FishyBoy3811	2
96	Maenara	2
96	fluddd	2
105	Menthas	1
105	hm947	1
105	MrExplorer	1
105	SteveCraftBlocks	1
105	Fullut	1
105	Marbz_	1
105	Chromary	1
105	King_Pancake1	1
105	yulgur1	1
105	The_Quack_Dealer	1
105	claivin	1
105	MAns_44	1
105	Freak_Genius	1
105	Hisiste	1
105	stahouo	1
105	MeetTheWollo	1
