rank	username	minecraft:picked_up/minecraft:dead_tube_coral_block
1	Legendosh	2176
2	Blu3beast	149
3	EcksD	118
4	Di_infiri	106
5	eitanzaki	70
6	diamondgolem35	68
7	Nagasaki_Riku	67
8	h2p_emrld	61
9	pintsizedrogue	40
10	djancak	38
11	1442	31
12	ImpavidArcher	27
12	hcb238	27
14	lcvezra	24
15	Ezekson	22
16	Blackberry1310	21
17	Lord_Jord	19
18	Xclax101	18
19	MattieHD	16
20	kekhon	14
21	hollowww	13
22	lillips	12
23	HellsSponge	11
24	Kouridragon	10
25	cytotoxaint	9
26	Akoot_	8
27	Inchef	7
27	SuperPooch06	7
29	BodaciousCake	6
29	M_Patata	6
29	MasterNueve	6
32	6king6colt6	5
32	_Dean_123	5
32	YungMaki	5
35	NotoriousNina	4
35	burbankbuilder28	4
35	Bumpy419	4
35	TheShyPig	4
35	TheSeismicDuck	4
35	DarlaMeow	4
35	sebastiensaborio	4
42	Ssor69	3
42	Ardennes	3
42	ApophisNova	3
42	DC_XII	3
42	Nicky19	3
42	sufjanlover	3
42	_Bguette_	3
42	censorsheep	3
42	monky_irl	3
42	Western_1	3
42	BreadBacon	3
42	MyNamaSheff	3
54	Ailmast	2
54	SaucyDark	2
54	tramizu	2
54	titanlax	2
54	Marbz_	2
54	Studyhallsaver	2
54	RobotMinion101	2
54	Onennon	2
54	jewbacaman	2
54	UnThinkable2110	2
54	_Karmaa	2
54	Typadopoulos	2
54	DarkLawD	2
54	SkateboardR6	2
54	BlankityMcBlank	2
54	GlitchyPlate810	2
54	TechnoNinja64	2
71	Paleshield	1
71	Seyaboy	1
71	beeperbeeper5	1
71	rarrq	1
71	Cryptacity	1
71	12Magner05	1
71	ProfessorBee	1
71	Kkanot	1
71	sandmire	1
71	eiC_	1
71	thewindmillman	1
71	kars0n	1
71	regulator75	1
71	Donutt	1
71	Voxin2K	1
71	parapluu	1
71	OtariCharlie	1
71	ChrisKyleST3	1
71	chipklip	1
71	Freak_Genius	1
71	DukBob	1
71	fluddd	1
71	ayamefag	1
71	Kyrum2169	1
71	SammiWolfGirl	1
71	_TCARREIRA_	1
71	Wolverine4302	1
71	Yahrto	1
