rank	username	minecraft:picked_up/minecraft:emerald_block
1	thewindmillman	6038505
2	noam464	128006
3	Spacewardharpy7	14724
4	pintsizedrogue	7027
5	Segotep999	2889
6	EcksD	2671
7	beeperbeeper5	1871
8	joethahobo	1547
9	GlitchyPlate810	1522
10	Smoke____	1520
11	SquadMonster	1201
12	EveryonesUncle	1130
13	eitanzaki	1088
14	Kowcio_	1075
15	TheSecondLord	1016
16	NoChumpChange	943
17	fw3xywashere	939
18	EMC_	916
19	12Magner05	907
20	Skylord_Luke	906
21	oxfordschool	743
22	Rebytre	740
23	Da_Boss_Rani	713
24	SteveCraftBlocks	707
25	RebelAndroid	698
26	Steven1282598	685
27	Smashic	667
28	YungMaki	653
29	fffMike	648
30	lordpipe	636
31	mariominejedi	625
32	Lutres_Torane	609
33	Drlzyy	604
34	Sral7	597
35	Steelynan	589
36	500am	587
37	Akoot_	577
38	diamondgolem35	571
39	kekhon	555
40	Arceus1975	540
41	SvenskaHugo	531
42	Flapjacker687	530
43	PlzNoBM	512
44	Nesquiczek	492
45	Di_infiri	467
46	Snowflowe	463
47	pixelviolin	431
48	chipklip	429
49	stahouo	410
50	Groovy_MoonBird	404
51	KingEgg1	402
52	Hyp3rion_	391
53	StinkyDiplomat	378
54	MSK__	371
55	Fullut	356
56	Freak_Genius	342
57	NomadicRobin_	320
58	Blaiku	318
59	MightyWertu	316
60	Werbe	312
61	NieToksikpl	301
62	Incinere	291
63	cwartzo	274
64	MilleGrug	266
65	Enderslayerxz3	248
66	dimondking777	246
67	Dogcorn69420	242
68	MakeHistory157	237
69	Ezekson	231
70	ROY4LE	229
71	Lord_Jord	218
72	HellsSponge	216
73	TheDumbHuman	213
74	Hoid_the_Roamer	194
75	MyNameIsDakar	192
76	TechnoNinja64	191
77	Wowful	184
78	Ryker	176
78	TheOuterCore	176
80	MinttyFressh	173
81	MissCeleste7	171
82	Sky_light_KING	162
83	Merv__	161
84	ImpavidArcher	160
85	Mahoose	155
86	El_Jalapeno	145
87	NameGenerat0r	136
88	Frozil12	134
89	501g	132
90	ProfessorBee	131
91	EcksDofficial	129
92	Krasnal1337	128
93	Comma__	113
94	TheEnderman548	112
95	KG1999	108
96	CalebDHawk	107
97	PlasticOtari	101
98	TheMilkerOfCats	99
99	AuroraValkyrie	98
100	awesomeoneme	96
101	xxPipperDipperxx	93
102	TJawesome09	89
103	burbankbuilder28	87
103	Inbefour	87
105	fluddd	85
105	Eraxa	85
107	fkGrim	84
107	Quotary	84
109	Soplight	82
110	Fuad_R	80
111	himak1	78
112	Flores991	77
113	SpaceGrenadier	75
114	egglapras	73
115	I_Am_Mushkin	72
115	Alteriity	72
115	_czarny	72
118	_3Stump_	71
119	FelixPSY375	66
120	Hermanni__	65
121	Huwulling	64
121	SvenskaAlvar	64
121	KnightmareD	64
121	Bonzaidalek	64
121	ediballbearings	64
126	stavgod	63
127	nataliecool	62
128	Hiryu27	61
129	ShedJr_	60
129	Godspirit249	60
131	Auseawesome	58
132	Nycteus_	56
133	Rich_Kat	55
134	KarlKaek	54
135	00000000-0000-0000-0009-01f898304150	52
136	little_dUki	48
137	Inchef	47
138	THExMuffinx	43
139	SoftSix	42
139	561cool	42
141	Sheldor097	41
142	Rumpletaezer	39
142	the_russell1611	39
142	h2p_emrld	39
145	Blackberry1310	38
145	TheShyPig	38
145	RodSerlingCringe	38
145	LexMakesHistory	38
149	PhantomsGhost_	37
149	PigDab	37
149	Deodorante	37
149	00000000-0000-0000-0009-01f532a65833	37
153	FishyBoy3811	36
154	Jiminie	35
155	paranoid_plant	34
155	RobotMinion101	34
157	AlexxO_o	33
158	Racengan	32
158	Yahir091	32
160	Historical_Sand	30
161	loveseeker	29
161	88Hazza88	29
163	TowenPL	27
163	Njensen7	27
165	geekbird	25
165	SammiWolfGirl	25
167	Blu3beast	24
167	Ze_BaronKrigler	24
169	fr_ser	23
170	Gryglu583	21
170	jnp_gaming	21
172	GreedyFern8581	20
173	thgrocks	19
173	Skippeh	19
173	Legendosh	19
176	Kubeusz2010	17
177	djancak	16
177	MeetTheWollo	16
179	Ironmine12	15
179	fr0stss	15
179	set67	15
179	4774	15
179	mwrty	15
179	thescout7	15
179	lillips	15
179	_TCARREIRA_	15
187	Chickenchaser2	14
187	sp00ky_ghost977	14
187	Spenduh	14
190	560cool	13
191	Chromary	12
191	ApophisNova	12
191	TheWildMateo	12
191	claivin	12
191	MyNamaSheff	12
191	_Dri_	12
197	lizardfightclub	11
198	crying_wolf_13	10
198	Marbz_	10
198	cichy096	10
201	titanlax	9
201	Awyrlas	9
201	XboxPanda	9
201	Jackattack53	9
201	Bumpy419	9
201	SSytex_X	9
207	Hpdinosaur	8
207	gabriels543	8
207	Rocco_Lane	8
207	Kim_Jong_eel	8
207	_Karmaa	8
207	Dusk_95	8
207	ItsDeltaMC	8
214	Wooptey	7
214	NotMeanttoChange	7
214	DemTechAlpha	7
214	DarlaMeow	7
214	Groundler	7
219	mimbo1211	6
219	Agent108	6
219	_Bguette_	6
219	Xclax101	6
223	rarrq	5
223	Kkanot	5
223	Cambo5000	5
223	ClemenPine	5
223	Maenara	5
228	T045RTY	4
228	Dragonfest	4
228	SlayerCrypto	4
228	monky_irl	4
228	AltnumberF4	4
233	Reamdin	3
233	H72l9w	3
233	_Dean_123	3
233	Kamflame10	3
233	BlueZabu	3
233	HAPPYfaceO1	3
233	SkateboardR6	3
233	IvarEXE	3
233	JayToe	3
233	FishisTTV	3
243	6king6colt6	2
243	TooManyDuck	2
243	ZaneABrain	2
243	FirsTimeGamingTV	2
243	Euclidoris	2
243	MattieHD	2
243	Hyperphoenix42	2
243	ProfessorDiaper	2
243	Nicserso	2
252	Bandito_Roamer	1
252	Mr_Byzantine	1
252	fanofbands101	1
252	JEWISHBadenBeele	1
252	q_wq	1
252	SaucyDark	1
252	oreee	1
252	Stynxy	1
252	CrookedKaptain	1
252	emrekn	1
252	tobinwilliams	1
252	wezzzi	1
252	avalan64	1
252	ItzWqlfy	1
252	Vicemaniac	1
252	WyngGoy	1
252	ElectricDragon81	1
252	Kyrum2169	1
252	jcool7	1
252	ZeroKraken	1
252	KingMatthew506	1
252	kinas45y5	1
