rank	username	minecraft:picked_up/minecraft:trapped_chest
1	El_Jalapeno	874
2	noam464	69
3	MattieHD	57
4	Di_infiri	30
5	Merv__	23
6	HellsSponge	19
7	beeperbeeper5	17
8	Legendosh	15
9	thescout7	14
10	bloodbiter	13
10	Eczbox	13
10	Eczbek	13
13	Shogunite	12
14	TheSecondLord	8
14	MyNameIsJobo	8
14	FreakGenius	8
17	EveryonesUncle	7
18	Jackattack53	6
18	TheShyPig	6
18	Fildyr	6
18	OfficerAnvil	6
22	oscminus	5
22	Maenara	5
22	Wowful	5
25	Incinere	4
25	Snowflowe	4
25	EcksD	4
28	Houstonion	3
28	Gregward_Smith	3
28	Zythose	3
28	Hisiste	3
28	__tomato	3
28	EngagedGrub41	3
34	CLG_Kata	2
34	eitanzaki	2
34	livingdaydreams	2
34	Malorn_Aetherius	2
34	m_be9	2
34	catandmoose	2
34	gcaisawesome	2
34	Cruncy_	2
34	PigDab	2
34	Airem_Core	2
34	IAmTheWalrus910	2
34	skitzxo	2
46	Mr_Byzantine	1
46	ImpavidArcher	1
46	Mahoose	1
46	ShedJr_	1
46	Ssor69	1
46	kekhon	1
46	500am	1
46	Tmb1	1
46	SellyZ	1
46	ougstur	1
46	NomadicRobin_	1
46	Jaka_Saurus_715	1
46	ReflexCode	1
46	YungMaki	1
46	Yamdalorian	1
