rank	username	minecraft:picked_up/minecraft:stonecutter
1	Frozil12	580
2	Freak_Genius	532
3	pintsizedrogue	512
4	HellsSponge	350
5	Mahoose	284
6	TheShyPig	268
7	Legendosh	215
8	Soplight	212
9	noam464	201
10	lordpipe	179
11	Onennon	173
12	PlasticOtari	169
13	beeperbeeper5	140
14	kekhon	130
14	Smoke____	130
16	joethahobo	126
17	Snowflowe	113
18	eitanzaki	112
19	Sral7	106
20	thescout7	98
21	rarrq	90
22	Megarboh	89
23	TheSecondLord	85
24	Ezekson	79
25	Fullut	77
26	Blackberry1310	70
26	BumbleBeever	70
28	emrekn	69
29	Merv__	64
30	500am	63
31	EcksDofficial	58
32	Di_infiri	57
32	Hisiste	57
34	thewindmillman	46
35	Cryptacity	44
35	Quotary	44
37	soundad	43
37	ImpavidArcher	43
37	Werbe	43
37	ogoa	43
37	Kowcio_	43
42	Rumpletaezer	41
43	Akoot_	40
43	YungMaki	40
45	T045RTY	39
46	Jiminie	38
46	sp00ky_ghost977	38
48	chipklip	36
48	Enderslayerxz3	36
50	RebelAndroid	35
50	Malorn_Aetherius	35
50	Skippeh	35
53	Deathkob	33
53	Eraxa	33
55	Arceus1975	32
56	MyNameIsJobo	31
56	Xclax101	31
58	2Stout	30
58	Lord_Jord	30
60	Historical_Sand	29
60	12Magner05	29
60	_Nuf	29
60	ApophisNova	29
60	EveryonesUncle	29
60	MyNamaSheff	29
66	oxfordschool	28
67	Blaiku	27
68	m_be9	26
69	Comma__	25
70	Ssor69	24
70	NomadicRobin_	24
70	DarkS0L	24
70	Kubeusz2010	24
74	Kakolbus	23
75	Paint	22
75	ROY4LE	22
75	Stiar	22
75	Hyp3rion_	22
79	mwrty	20
79	ooga47	20
79	PigDab	20
79	fluddd	20
79	__tomato	20
84	Groovy_MoonBird	19
84	_Bguette_	19
84	claivin	19
84	sebastiensaborio	19
88	Cowison	18
89	Kubelz	17
89	stahouo	17
91	jacxhadow	16
91	ProfessorBee	16
91	Maenara	16
91	stavgod	16
91	jnp_gaming	16
96	Jovaphobic	15
96	xxPipperDipperxx	15
96	gcaisawesome	15
96	M_Patata	15
96	SuperPooch06	15
101	6king6colt6	14
101	diamondgolem35	14
101	Marbz_	14
101	AlphaWolfPlaysMC	14
105	_stets	13
105	Xalithia	13
105	Kim_Jong_eel	13
105	ReyTheLegend	13
109	MixerDixer	12
109	redikul	12
109	pappaberg	12
109	Shogunite	12
109	MasterNueve	12
109	brofrickcheaters	12
109	jcool7	12
116	Bandito_Roamer	11
116	SaucyDark	11
116	CharlieButt	11
116	Rebytre	11
116	The_slideV3	11
121	_Virify_	10
121	fanofbands101	10
121	hm947	10
121	ShedJr_	10
121	RodSerlingCringe	10
121	Blu3beast	10
121	Spacewardharpy7	10
121	TechnoNinja64	10
129	Drlzyy	9
129	Chromary	9
129	LexMakesHistory	9
129	_Karmaa	9
129	NameGenerat0r	9
129	WyngGoy	9
129	Luigipunch989	9
136	TooManyDuck	8
136	Hpdinosaur	8
136	Jackster03	8
136	H72l9w	8
136	Stynxy	8
136	dopplexd	8
136	Parcc	8
136	Groundler	8
136	kyouma777	8
145	jimintyy	7
145	Natty	7
145	301851	7
145	NotMeanttoChange	7
145	Motsaro	7
145	PegLegPete93	7
145	BlueZabu	7
145	Zythose	7
145	Hoid_the_Roamer	7
145	FishyBoy3811	7
145	Airem_Core	7
145	Ze_BaronKrigler	7
145	Hermanni__	7
145	diggydog67	7
159	teslawolf38	6
