rank	username	minecraft:picked_up/minecraft:moss_carpet
1	thewindmillman	9997
2	Hyp3rion_	7287
3	EMC_	6225
4	noam464	6026
5	Yamdalorian	4415
6	Alteriity	4376
7	xxPipperDipperxx	3806
8	pintsizedrogue	3562
9	luseis	3223
10	Spaghettatron	3191
11	Enderxz3	2463
12	Jackattack53	2429
13	Manaateee	1854
14	Lez_	1826
15	Kowcio_	1799
16	Mahoose	1581
17	Mr_Byzantine	1367
18	Jimi7hits	1359
19	Kakolbus	1358
20	SpacesickPrism	1230
21	Iamthejo	1197
22	Marbz_	1015
23	k_ce	952
24	beeperbeeper5	910
25	PlasticOtari	907
26	Krowuss	860
27	corvidpartyfor6	852
28	Touched_Bread	846
29	SteveCraftBlocks	816
30	SvenskaHugo	806
31	Buuck_	708
32	Blackberry1310	691
33	TheSecondLord	649
34	Pumpkin_P_Patch	547
35	Mattesco	544
36	Gus2005	535
37	00000000-0000-0000-0009-01ff0c3e5e4f	495
38	PigDab	494
39	Jimb0nat0r	479
40	Inchef	469
41	NomadicRobin_	414
42	Flores991	409
43	TheWickedBird	407
44	PazinGaming	402
45	Skylord_Luke	391
46	DrowsyOracle	384
47	j5ylim	378
48	Legendosh	374
49	MattieHD	369
50	U_Mos_	366
50	Steelynan	366
52	shadowthemonkey	365
53	Huwulling	348
54	SammiWolfGirl	338
55	EveryonesUncle	336
56	Crowman1	318
57	DJzombiehunter	308
58	12Magner05	303
59	CacheOut	295
60	XxCookiequeenxX	294
61	Merv__	286
62	non089	279
63	joethahobo	274
64	Sleepy_Time_	273
65	craaaash	257
66	500am	250
67	skroobiez	243
67	EngagedGrub41	243
69	hanaryheatwave	234
69	11Brewer	234
71	Mr_Sun15	224
72	doublemaki	217
73	wwwwinnebagoooo	209
74	eitanzaki	194
75	Sleepy_Evelyn	189
76	Rebytre	182
77	AlexxO_o	178
78	_witch_craft_	170
78	pixelviolin	170
80	MAns_44	169
81	milltesco	167
82	_Huge_Male_	164
83	groofles	160
84	Ryker	154
85	bl1ss0	150
86	Soplight	146
87	Lutres_	144
88	TheKingK_	140
89	Moofyman	133
89	WYFYoyo	133
91	Jindong	132
92	Dakar_	125
93	SuperPooch06	113
94	Segotep999	110
95	EtherealEspresso	104
95	Ezekson	104
97	cutelilreno	103
98	Druid95	102
98	Moss_2006	102
100	ImpavidArcher	101
100	PaperCanvas	101
102	CattSoup	99
103	ECstardust	97
104	Lord_Doob	96
105	Quotary	94
106	Lorcout	92
106	Avocadogerms	92
108	lordpipe	85
109	Olib3ar	84
110	RebelAndroid	83
111	ShedJr_	82
111	Nicserso	82
113	CoffeeNoir	75
113	orxngejuice	75
115	hydrothebot	72
115	Reneedium	72
117	gamerlord1324	71
118	mihimihimihi	70
119	SvenskaSara	68
119	FiguraDei	68
121	ee_echo_oo	67
122	MSK__	66
123	_stets	65
123	Caribouse	65
123	lorywithay	65
126	StinkyDiplomat	64
127	oscminus	61
127	ApophisNova	61
129	RoskobiOne	60
129	Archsam	60
129	MyNamaSheff	60
132	Boipl	58
133	Apollo_993	57
133	hermmm_	57
135	MyMawgDonaldsGon	55
135	SyntheticSurgeon	55
137	Hoid_the_Roamer	54
138	Mekae	52
139	IgnoredBee	51
140	horrayhorray123	50
141	TJawesome09	48
142	knarian	47
142	GildedRemnant	47
144	TheDankPlatypus	46
145	kekhon	45
146	LovableFemboy	43
147	dartwaffle	42
147	2blox_	42
149	thebaddruid	39
149	IlkeCookes_	39
151	Deathkob	38
152	Tommhh	37
153	rachcl	36
153	tuckerdoodle	36
155	H0UNDFRMH3LL	35
155	SquadMonster	35
157	thatbeanyboi	34
157	_i_ERROR_i_	34
159	Groovy_MoonBird	33
159	Samificator	33
161	Thunder_bird4337	32
162	Gzrdy	31
163	squeezal	29
163	CheifJumbo	29
165	diamondgolem35	28
165	himak1	28
167	excelsionprime	27
167	HoltGrim	27
169	soundad	26
169	GooseWithin	26
169	Fuad_R	26
169	NATE_the_HALO	26
173	Prismyst	25
173	Werbe	25
175	LeEricc	24
175	robonya_	24
177	philandr	23
177	Gamergirl420628	23
177	FadedSpade82	23
177	Kekoo	23
181	hm947	21
181	royal_2	21
181	iSammael	21
184	benediktine1	20
184	WORLD_URIEL_EDEN	20
184	Toriankel	20
187	BINKENSTOCK	19
187	AstreaTSS	19
187	Paul_Katan	19
187	KamFurnace	19
191	PortlyPete69	18
191	coobert42	18
193	shineh10	17
193	2Stout	17
193	prizm_	17
193	Jonafrog99	17
193	OreTheBear	17
193	TruestTurnip	17
199	DinoDoctor_	16
199	T045RTY	16
199	Kondzik2008	16
199	Sorry_Arey07	16
199	Spenduh	16
204	Juansinmiedo18	15
205	CLG_Kata	14
205	CannedSam	14
205	TheALV	14
205	athereall	14
209	Niklas20114552	13
209	akap47	13
209	Crizma_	13
209	gcaisawesome	13
209	Dynamic_wolf_1	13
209	EdGalbraith	13
209	EcksD	13
216	Frigzy_	12
216	sapphyllia	12
216	nattybears	12
216	Valoth	12
216	Chickenchaser2	12
216	LordZacler	12
216	Lord_Zacler	12
223	Hahaa_0	11
223	weabis	11
223	MC_Skribble	11
223	00000000-0000-0000-0009-01fe065167f0	11
227	Killercatty78	10
227	Tersea_	10
227	Auseawesome	10
227	SlayerCrypto	10
227	_Karmaa	10
227	Pearlescents	10
233	Fullbit_	9
233	Arceus1975	9
233	Mr_Froxy	9
233	mobunni	9
233	calamariclam_I	9
238	EdaterPure	8
238	ActualPatbaf	8
238	NieToksikpl	8
238	I_Moose	8
238	lorpus	8
238	Rocco_Lane	8
238	Felenov	8
238	NameGenerat0r	8
238	blackeemperor	8
238	MrShojo	8
238	BungalowBeet	8
238	00000000-0000-0000-0009-01f26ea966c4	8
250	Akoot_	7
250	Human_Resource	7
250	TheEnderMan548	7
253	goldyx	6
253	zToasty69z	6
253	bobbydoodledot	6
253	BeardBois	6
257	q_wq	5
257	RatatJuice	5
257	Rani_R	5
257	MinttyFressh	5
257	olliebollie48	5
257	Di_infiri	5
257	Aakvaa	5
257	HyperCave	5
257	Dan_Scha	5
257	Cavetorch	5
257	sp00ky_ghost977	5
268	Lazy_geniusig	4
268	cyuar	4
268	Miroryk	4
268	SnowfallUwU	4
268	_Nat666	4
268	_HoneySlime_	4
268	4774	4
268	Egom_musk	4
268	Penguinllama517	4
268	Umprella	4
268	ConJaBz	4
268	kyouma777	4
268	CalebDHawk	4
268	00000000-0000-0000-0009-01fc3bb26159	4
282	BPTY4618	3
282	powercas_gamer	3
282	lpinfinity	3
282	Nach0Bear	3
282	podduszenie	3
282	JETrotter	3
282	Klerick	3
282	villainbrine69	3
282	QuesoCrusaderIII	3
282	Spacewardharpy7	3
292	xvphmura	2
292	GGabrielSauce	2
292	LagVibes	2
292	MrKrabOnCoke	2
292	Cyanide4Kitten	2
292	HUNTERmaun	2
292	CaracolCxnt	2
292	xPixelRainx	2
292	Hetti301	2
