rank	username	minecraft:picked_up/minecraft:cherry_button
1	StarCookiees_	17
2	Lez_	15
3	Kowcio_	10
4	pretty_pink_reno	4
4	skitzxo	4
6	OreTheBear	2
6	emreknugrlu	2
8	Archsam	1
8	Pumpkin_P_Patch	1
