rank	username	minecraft:picked_up/minecraft:redstone_torch
1	Hyp3rion_	434725
2	noam464	78410
3	joethahobo	28485
4	thewindmillman	26398
5	Spacewardharpy7	23002
6	Jackattack53	9475
7	lordpipe	3646
8	eitanzaki	3347
9	Awyrlas	3022
10	thescout7	2746
11	Elastiq	2216
12	HellsSponge	1979
13	AdmiralSmoke	1885
14	beeperbeeper5	1743
15	Di_infiri	1255
16	ProfessorBee	1080
17	Xclax101	994
18	kekhon	810
19	EMC_	791
20	Kakolbus	780
21	Eczbek	756
22	m_be9	746
23	pintsizedrogue	718
24	Akoot_	677
25	Werbe	654
26	fffMike	637
27	FreakGenius	621
28	Lez_	619
29	Blaiku	618
30	Soplight	604
31	EcksD	590
32	SteveCraftBlocks	570
33	El_Jalapeno	541
34	TechnoNinja64	540
35	MightyWertu	515
36	slkiey	511
37	Cowison	490
38	YungMaki	471
39	MyNameIsJobo	439
40	Racengan	416
41	Legendosh	409
42	Mahoose	393
43	Kowcio_	377
44	T045RTY	375
45	Eraxa	373
46	oscminus	371
47	PigDab	369
48	bigstankyy	365
49	MattieHD	341
49	Nicserso	341
51	Vorlice	313
52	TheShyPig	308
53	12Magner05	299
54	xolstoi	277
55	Zythose	264
56	Warlord324	262
56	Aryamanee	262
58	Manaateee	253
59	Deathkob	252
60	Eczbox	249
61	weabis	248
62	Skippeh	245
63	_Nuf	236
64	PhantomsGhost_	235
65	mihimihimihi	227
66	Jimb0nat0r	220
67	Segotep999	217
68	Jimi7hits	216
69	pixelviolin	213
70	non089	210
71	Ezekson	209
72	rarrq	204
72	Rainaldus	204
74	ApophisNova	201
74	MyNamaSheff	201
76	_Mythic____	196
77	catandmoose	193
77	Steelynan	193
79	Arceus1975	192
80	sp00ky_ghost977	188
81	NatalieTW	187
82	Ryan_GEMS	185
83	LilyNova	182
84	Inbefour	179
85	Mattesco	177
86	xxPipperDipperxx	168
87	TheSeismicDuck	165
87	HesDemonPants	165
89	domagawha	164
90	EngagedGrub41	163
91	Frozil20	162
92	ImpavidArcher	161
93	Blu3beast	157
94	The_Cruncy	152
95	WyngGoy	149
96	Maenara	147
97	SSytex_X	146
98	UCP_TheKingK	145
99	Archsam	142
100	burbankbuilder28	141
100	PortlyPete69	141
102	PlasticOtari	139
103	r123moore	137
104	CLG_Kata	136
104	Secret_Canary	136
106	Franco093	135
107	Hiryu27	134
107	AstreaTSS	134
109	ConnorDanky_	133
110	SaucyDark	132
110	Fuad_R	132
112	Fildyr	131
113	Jovaphobic	125
113	imcombxt	125
113	Tyrannosplart	125
116	acqw	124
117	Swexti	119
117	Druid95	119
119	TheThomas69	117
120	Comma__	116
121	Onennon	115
122	Historical_Sand	114
122	cedric72	114
124	Lord_Jord	113
125	luseis	112
126	WET_WET_WET	111
127	ediballbearings	110
128	masskedman	109
128	Enderxz3	109
130	Groundler	108
131	Apollo_993	107
132	DanTheBuilderino	106
133	starbits140	103
134	_Virify_	102
134	jessewegottacook	102
136	audiocracked	101
136	BumbleBeever	101
138	Alteriity	100
139	Spenduh	99
140	censorsheep	96
140	SpacesickPrism	96
142	Prismyst	95
143	Snowflowe	94
143	_Karmaa	94
143	OfficerAnvil	94
146	MilleGrug	92
146	jnp_gaming	92
148	ECstardust	91
149	Ssor69	89
149	SvenskaHugo	89
151	Bumpy419	88
152	ssleepless	86
153	ShedJr_	84
153	picardred	84
155	Fullut	82
156	seanitoo	79
156	lillips	79
158	Crowman1	78
158	Shogunite	78
160	Rasmanden	77
160	__tomato	77
162	wwwwinnebagoooo	76
163	TheSecondLord	75
163	AnnieBathory	75
163	sufjanlover	75
166	Hoid_the_Roamer	73
166	UltraZombie	73
166	jcool7	73
169	diamondgolem35	72
169	Wowful	72
171	RebelAndroid	70
171	Euclidoris	70
171	Kouridragon	70
174	Huwulling	69
175	500am	68
175	Rumpletaezer	68
175	The_slideV3	68
175	Powowowow	68
179	GingerNeutron	67
179	StarCookiees_	67
181	StinkyDiplomat	66
182	Blackberry1310	65
182	Quotary	65
184	q_wq	64
184	Nycteus_	64
186	lunathelemon	62
186	jacxhadow	62
186	Syropatathe	62
186	lcvezra	62
190	Motsaro	61
190	NoChumpChange	61
190	Strangemonkey71	61
190	Jordan_R	61
194	Doom_melon	60
194	OffWithTheirHead	60
196	MuffinManzz	59
196	soundad	59
196	07shiny	59
199	ROY4LE	58
199	prizm_	58
199	FreddyFart	58
202	Rich_Kat	57
202	mwrty	57
202	CrateOfBoxes	57
202	MAns_44	57
202	CalebDHawk	57
207	EveryonesUncle	56
207	NameGenerat0r	56
209	nattybears	55
209	lorywithay	55
211	Paintz	54
211	Skylord_Luke	54
211	ooga47	54
214	Incinere	53
214	CarltheCuck	53
214	_Bguette_	53
217	Ozixar	52
217	Smashic	52
217	mariominejedi	52
220	Houstonion	51
221	TheDankPlatypus	50
221	RobotMinion101	50
223	j5ylim	49
223	anbbang	49
223	vandmanden	49
226	FishyBoy3811	48
226	Lutres_	48
226	MineMaster0012	48
226	obzii	48
230	Arteriana	47
230	4774	47
230	Inchef	47
233	Groovy_MoonBird	45
233	andy_rex	45
233	djancak	45
233	skrongus	45
237	eviltunix	44
237	Covalents	44
237	Soap_Bender	44
237	Luigipunch989	44
241	Scathra	43
241	Cocoamallows	43
241	Conrad139	43
244	powercas_gamer	42
244	fluddd	42
244	_i_ERROR_i_	42
247	kyouma777	41
248	H0UNDFRMH3LL	40
248	claivin	40
250	SlayerCrypto	39
250	cichy096	39
252	chimpmunker	38
253	Barlycorn	37
253	tartanboy	37
255	M_Patata	35
255	Zoeyfortnite	35
257	Merv__	34
257	gcaisawesome	34
257	stellarjay	34
260	Tobinator_007	33
260	Ev0luti0nz	33
260	Prodiginus	33
260	theonlymagikarp	33
260	ese_wn_po	33
260	KingMatthew506	33
266	PazinGaming	32
266	Hisiste	32
266	NATE_the_HALO	32
266	Hermanni__	32
270	heckface	31
270	GooseWithin	31
270	BlankityMcBlank	31
270	alderban107	31
274	eiC_	30
274	legal_tax_evader	30
274	tsitrawhy	30
277	teslawolf38	29
277	The_SlideV5	29
279	6king6colt6	28
279	Tiberonus	28
279	excelsionprime	28
279	SharpDev	28
279	Winklepicker279	28
279	seramalen	28
279	AuroraSkies	28
286	Ryker	27
286	Leyna3	27
286	stavgod	27
286	2blox_	27
290	IamCL4SSY	26
290	BartekB19	26
292	ivorico	25
292	lorpus	25
292	Kubelz	25
292	F_Uhre	25
292	Karbl	25
297	abramgray	24
297	byFlixxx	24
299	RoskobiOne	23
299	Sleek_Storm_721	23
