rank	username	minecraft:picked_up/minecraft:dead_tube_coral_fan
1	Jackattack53	152
2	Spacewardharpy7	103
3	noam464	87
4	thewindmillman	64
5	Di_infiri	62
6	joethahobo	60
7	mihimihimihi	33
8	HellsSponge	32
9	PortlyPete69	9
10	PigDab	8
10	YungMaki	8
12	PlasticOtari	7
13	Apollo_993	6
14	pintsizedrogue	5
15	Werbe	4
15	NameGenerat0r	4
15	_Mythic____	4
15	EcksD	4
19	jessewegottacook	3
19	groofles	3
19	Factoroni	3
19	AdmiralSmoke	3
23	Mahoose	2
23	Hyp3rion_	2
23	Onennon	2
23	FreakGenius	2
23	FishisTTV	2
28	Lez_	1
28	12Magner05	1
28	ROY4LE	1
28	legal_tax_evader	1
28	KeruNatsema	1
28	luseis	1
28	Manaateee	1
28	SexcMf	1
