rank	username	minecraft:picked_up/minecraft:brick_wall
1	beeperbeeper5	292
2	_stets	107
3	PlasticOtari	105
4	burbankbuilder28	74
5	Merv__	47
5	ImpavidArcher	47
7	EcksDofficial	45
8	SaucyDark	43
8	thewindmillman	43
10	Mr_Byzantine	23
11	NameGenerat0r	22
12	fkGrim	18
13	__tomato	17
14	NotMeanttoChange	15
15	Quotary	13
16	kekhon	12
17	Ezekson	11
18	KarlKaek	10
18	rarrq	10
18	Soplight	10
21	Mahoose	9
21	titanlax	9
21	Onennon	9
24	Spacewardharpy7	8
24	Kowcio_	8
24	Smoke____	8
27	Tommhh	5
27	Skylord_Luke	5
27	YungMaki	5
27	Steelynan	5
31	500am	4
31	DarlaMeow	4
31	HellsSponge	4
31	MangoSalad316	4
35	420BreadLizard	3
35	xorompole	3
37	Jovaphobic	2
37	joethahobo	2
37	_Dean_123	2
37	Fullut	2
37	noam464	2
37	TechnoNinja64	2
43	Chromary	1
43	Werbe	1
43	TheShyPig	1
43	_naturell	1
43	EveryonesUncle	1
43	Blaiku	1
43	Eraxa	1
