rank	username	minecraft:picked_up/minecraft:scute
1	Hyp3rion_	1207
2	kekhon	528
3	Racengan	345
4	Mahoose	248
5	joethahobo	239
6	Yamdalorian	209
7	HellsSponge	180
7	Eraxa	180
9	eitanzaki	178
10	Napoleonpancake	125
11	SmashingPump	105
12	noam464	104
13	Jackster03	84
14	Moetis	79
15	500am	76
16	Blu3beast	59
17	excelsionprime	56
18	abdomera	49
19	Huic_ostiarius	48
20	legal_tax_evader	45
21	stevewithclout	39
22	bloodbiter	30
23	eiC_	29
24	TheOnlyRake	28
25	Comma__	27
26	Marbz_	26
26	Arceus1975	26
28	vandmanden	23
29	Bumpy419	22
30	oscminus	20
31	pintsizedrogue	19
32	_witch_craft_	18
33	claivin	17
34	SingedBread	15
35	xxPipperDipperxx	14
36	Kubeusz2010	13
37	SaucyDark	12
37	TheShyPig	12
37	miramyu	12
40	Akoot_	11
40	Kura2218	11
40	h2p_emrld	11
43	royal_2	10
43	aikabot	10
43	Nicky_H225	10
43	ROY4LE	10
43	Hoid_the_Roamer	10
43	Muffindrake	10
43	jambvds	10
43	SSytex_X	10
43	ConnorDanky_	10
52	Fullut	9
52	The_slideV3	9
52	Fizznut909	9
55	CollinMH06	8
56	Seyaboy	7
56	Werbe	7
56	JayToe	7
59	Apollo_993	6
59	Hyugo	6
59	beeperbeeper5	6
59	Blackberry1310	6
59	Tiberonus	6
59	Zenlou	6
59	Covalents	6
59	Wowful	6
67	hollowww	5
67	Gregward_Smith	5
67	rarrq	5
67	tortfeezy	5
67	lorpus	5
67	surfinggiraffejp	5
67	r123moore	5
67	Di_infiri	5
67	XxCookiequeenxX	5
67	Deathkob	5
67	__tomato	5
67	Luigipunch989	5
67	Skippeh	5
80	Groovy_MoonBird	4
80	T045RTY	4
80	Pickel_Lord	4
80	EcksD	4
80	TechnoNinja64	4
85	theofiel	3
85	Gryglu583	3
85	Fildyr	3
85	imaginek1d	3
89	Frozil20	2
89	KarlKaek	2
89	diamondgolem35	2
89	BodaciousCake	2
89	TheDiamondCG	2
89	valiSW	2
89	thewindmillman	2
89	Onennon	2
89	AuroraSkies	2
89	luseis	2
89	master9067	2
89	Manaateee	2
89	AssassinAshton	2
89	Warlord324	2
103	oreee	1
103	FirsTimeGamingTV	1
103	Saucepeh	1
103	TheSecondLord	1
103	MattieHD	1
103	mwrty	1
103	Inchef	1
103	TheDankPlatypus	1
103	The11thDoctor	1
103	F_Uhre	1
103	Jonte0599	1
103	Forcolp	1
103	Hail_the_wombat	1
103	Rasmanden	1
103	NameGenerat0r	1
103	Factoroni	1
103	SammiWolfGirl	1
103	Dreamdbr14	1
103	reaperface123	1
103	Ezekson	1
103	Quotary	1
103	cichy096	1
