rank	username	minecraft:picked_up/minecraft:cyan_dye
1	thewindmillman	455868
2	Smoke____	756
3	kekhon	294
4	ROY4LE	244
4	Akoot_	244
6	NinjaKnifeKill	212
7	Kakolbus	174
7	Frozil12	174
9	Swexti	160
10	jnp_gaming	154
11	Werbe	129
12	Hoid_the_Roamer	127
13	lordpipe	121
14	lillips	120
15	Wowful	110
16	Di_infiri	98
17	oxfordschool	86
18	pintsizedrogue	66
19	PhantomsGhost_	64
19	emrekn	64
19	gcaisawesome	64
19	Syropatathe	64
23	Blaiku	60
24	SammiWolfGirl	56
25	kinas45y5	53
26	mwrty	40
27	Hyp3rion_	38
28	Ezekson	36
29	Awyrlas	32
29	HolyVenom	32
29	YungMaki	32
29	Legendosh	32
33	Blackberry1310	31
34	eitanzaki	28
34	shyshyannne	28
36	teslawolf38	18
37	rarrq	17
38	The_SlideV5	16
39	Enderslayerxz3	13
40	ShedJr_	12
40	HellsSponge	12
42	Merv__	11
43	Quotary	9
44	marumochis	8
45	noam464	7
45	claivin	7
47	Wolf_Mauler_73	6
47	Xalithia	6
47	Jiminie	6
50	xxPipperDipperxx	5
51	Mahoose	3
51	RodSerlingCringe	3
51	NameGenerat0r	3
54	bra1nbrain	2
54	beeperbeeper5	2
54	MattieHD	2
54	Jiminbub	2
54	_Karmaa	2
54	El_Jalapeno	2
54	Kowcio_	2
61	Ryker	1
61	oreee	1
61	Ecplosive	1
61	Marbz_	1
61	gabriels543	1
61	ApophisNova	1
61	Freak_Genius	1
61	MightyWertu	1
61	Fildyr	1
61	Razzgriz	1
61	__tomato	1
61	lcvezra	1
61	erkada	1
61	MyNamaSheff	1
