rank	username	minecraft:picked_up/minecraft:sugar
1	Spacewardharpy7	8825
2	HellsSponge	5813
3	noam464	4573
4	KingMatthew506	3489
5	joethahobo	1965
6	thewindmillman	1557
7	Werbe	847
8	Akoot_	681
9	gabriels543	641
10	Sral7	624
11	PigDab	555
12	CliffEmAll	478
13	beeperbeeper5	458
14	kekhon	411
15	Mahoose	400
16	Doom_melon	320
17	ApophisNova	302
17	MyNamaSheff	302
19	Blaiku	268
20	PhantomsGhost_	262
21	Freak_Genius	225
22	SuperPooch06	206
23	Lord_Jord	200
24	Inchef	192
25	ThePoliteG	188
26	lordpipe	170
27	eitanzaki	166
28	EcksD	162
29	thescout7	135
29	Inbefour	135
31	Groundler	131
32	Arceus1975	130
33	Groovy_MoonBird	128
33	fffMike	128
33	Zoeyfortnite	128
36	Rumpletaezer	119
37	El_Jalapeno	113
38	YungMaki	111
39	Di_infiri	106
39	Frozil12	106
41	SammiWolfGirl	98
41	Smoke____	98
43	pintsizedrogue	95
44	xxPipperDipperxx	93
45	Kynigito	82
46	claivin	81
47	TheShyPig	80
48	lcvezra	78
49	Soplight	71
50	Nicserso	67
51	Auseawesome	66
51	bloodbiter	66
51	Spenduh	66
54	RocketRidge	64
54	KG1999	64
54	Dogcorn69420	64
57	sp00ky_ghost977	62
58	SteveWithClout	56
58	ProfessorBee	56
60	Fullut	52
61	starbits140	47
62	Lutres_Torane	46
63	Hiryu27	45
63	TechnoNinja64	45
65	_Dean_123	44
65	Kubelz	44
65	oxfordschool	44
68	rarrq	39
68	Blackberry1310	39
70	Blu3beast	38
71	MattieHD	36
71	MilleGrug	36
71	xorompole	36
74	Historical_Sand	35
75	teslawolf38	33
75	T045RTY	33
77	MSK__	32
78	Hyp3rion_	31
78	MakeHistory157	31
80	kinas45y5	28
81	Merv__	25
82	Mr_Byzantine	24
82	Incinere	24
82	DarlaMeow	24
85	TheSecondLord	22
85	RodSerlingCringe	22
85	AlphaWolfPlaysMC	22
88	_Bguette_	21
88	Ezekson	21
90	Eraxa	20
91	Maenara	19
91	Legendosh	19
93	BreadBacon	18
94	Chromary	17
94	Luigipunch989	17
96	Winklepicker279	16
97	CalebDHawk	15
98	12Magner05	14
99	Bandito_Roamer	13
99	mobunni	13
101	ImpavidArcher	12
101	ROY4LE	12
101	HoldThatPee	12
101	Skippeh	12
105	Awyrlas	11
105	gcaisawesome	11
107	ILoveCarrot	10
107	TheTrueClipse	10
107	chipklip	10
107	MineMaster0012	10
111	Vizzoid	9
111	m_be9	9
111	LAVA129	9
111	sebastiensaborio	9
111	vandmanden	9
116	MyNameIsJobo	8
116	SpookyDraggin	8
116	Quaintster	8
116	tartanboy	8
116	UrbanPlanner1978	8
121	BlancoFlaco	7
121	Natofthese	7
121	Ardennes	7
121	r123moore	7
