rank	username	minecraft:picked_up/minecraft:deepslate_bricks
1	thewindmillman	25459
2	Hyp3rion_	22938
3	Segotep999	7589
4	mihimihimihi	6456
5	Mattesco	3815
6	pintsizedrogue	3119
7	weabis	2235
8	Huwulling	1814
9	TheSecondLord	1745
10	CattSoup	1715
11	TheWickedBird	1670
12	TheBananaKat	1064
13	Marbz_	886
14	Kowcio_	804
15	Manaateee	736
16	Lutres_	688
17	Lez_	661
18	Elastiq	586
19	luseis	552
20	MAns_44	505
21	RoskobiOne	485
22	groofles	482
23	12Magner05	451
24	LeEricc	398
25	Mr_Byzantine	393
26	00000000-0000-0000-0009-01ff0c3e5e4f	385
27	Yamdalorian	374
28	Ryker	355
29	crashomon	353
29	YungMaki	353
31	shrimp_flips	336
32	Napoleonpancake	335
33	U_Mos_	332
34	rarrq	319
35	fffMike	300
36	diamondgolem35	283
37	bobbydoodledot	270
38	PazinGaming	266
39	ZoomieZoomie	259
40	Jimi7hits	257
41	k_ce	253
41	Megarboh	253
43	Crowman1	246
44	TheWildMateo	240
45	_Huge_Male_	239
46	Jimb0nat0r	214
47	lorywithay	199
47	Morgf	199
49	skroobiez	198
50	PaperCanvas	175
51	beeperbeeper5	163
52	ECstardust	157
53	ScootOfBoot	155
54	thebaddruid	153
55	breadbowlgamer	150
56	Apollo_993	147
57	Nicserso	146
58	tsitrawhy	133
59	Fuad_R	128
59	Spacewardharpy7	128
61	Winklepicker279	122
62	ItsDeltaMC	112
63	sp00ky_ghost977	107
64	prizm_	105
64	Moofyman	105
66	SquadMonster	102
67	Masssonnn	94
68	HUNTERmaun	91
69	CaracolCxnt	81
69	HoltGrim	81
71	nattybears	78
72	Luminad3	77
73	Sleepy_Time_	74
73	pixelviolin	74
75	Mookle96	72
76	Enderxz3	66
77	Iamthejo	65
78	SvenskaHugo	64
79	Samificator	61
80	Smashic	53
80	StinkyDiplomat	53
80	EngagedGrub41	53
83	Tiktola01	52
83	SpacesickPrism	52
85	TooPure2	46
86	Hahaa_0	44
86	FormulaNewt3627	44
88	Arceus1975	43
89	Krowuss	40
90	IronArshXS	39
90	MSK__	39
92	CoffeeNoir	38
93	Inchef	37
93	Wowful	37
95	RebelAndroid	36
96	olliebollie48	35
97	Touched_Bread	34
98	joethahobo	32
99	NameGenerat0r	29
99	kyouma777	29
101	hm947	25
101	IdeallyGrey	25
101	Pumpkin_P_Patch	25
104	ImpavidArcher	21
104	lizardfightclub	21
106	Boipl	19
106	Dakar_	19
106	Ezekson	19
109	QuiCreans	18
109	floodjon	18
109	ATurtle4936	18
112	Jackattack53	17
113	Ev0luti0nz	16
113	TAKrules	16
113	MrKrabOnCoke	16
113	Dblikstad	16
117	PlasticOtari	14
118	Jonafrog99	13
118	FreakGenius	13
120	WolfRRN	12
120	Legendosh	12
122	EMC_	11
122	fade_emerge78823	11
122	Methalox1	11
125	teslawolf38	10
125	500am	10
125	Solar_Power	10
125	BeardBois	10
129	BiggieDawg	9
130	Cellcorgi649	8
131	powercas_gamer	7
131	benediktine1	7
131	fragrantmonke444	7
131	Nadhorion	7
131	Ze_BaronKrigler	7
136	SmashingPump	6
136	SOA1RR	6
136	non089	6
139	H0UNDFRMH3LL	5
139	Roenfire	5
139	drunkeeez	5
139	corpsecity	5
139	Olib3ar	5
139	fluddd	5
145	Merv__	4
145	Hydro___________	4
145	KGTV	4
145	hanaryheatwave	4
145	JETrotter	4
145	Lord_Jord	4
145	emreknugrlu	4
145	Gus2005	4
145	iSammael	4
145	Spenduh	4
155	DinoDoctor_	3
155	77Holly7	3
155	SyntheticSurgeon	3
155	Alteriity	3
155	SteveCraftBlocks	3
155	Galactic_Badger	3
155	lordpipe	3
155	hermmm_	3
163	Admiral_Fizzy	2
163	noam464	2
163	shadowthemonkey	2
163	Strats__	2
163	Skylord_Luke	2
163	videogames_	2
163	NumbaOneMunch	2
163	AltnumberF4	2
171	CLG_Kata	1
171	BPTY4618	1
171	myaccountwasgone	1
171	Mahoose	1
171	Da_Boss_Rani	1
171	arvous	1
171	Blackberry1310	1
171	_Nat666	1
171	catandmoose	1
171	corvidpartyfor6	1
171	tazdeviltron	1
171	ApophisNova	1
171	Toasty_Tom	1
171	Racengan	1
171	MrShojo	1
171	MyNamaSheff	1
