rank	username	minecraft:picked_up/minecraft:yellow_concrete_powder
1	thewindmillman	1749
2	Snowflowe	1448
3	lillips	1115
4	Akoot_	939
5	MousePlays	899
6	Spacewardharpy7	699
7	mwrty	684
8	Legendosh	432
9	noam464	244
10	Rebytre	208
11	eitanzaki	202
12	sp00ky_ghost977	196
13	dezxalo	192
14	ROY4LE	134
15	h2p_emrld	131
16	anbbang	130
17	EMC_	128
18	Soplight	124
19	HellsSponge	123
20	YungMaki	97
21	Winston_Ingram	82
22	PlasticOtari	75
23	Nicserso	67
24	Fullut	65
25	Deathkob	56
26	KingMatthew506	55
27	Swexti	50
27	Steelynan	50
29	Blaiku	37
30	Smoke____	31
31	The_SlideV5	28
32	The_slideV3	24
33	Optiprimus	23
34	Weepingbiel	17
35	Truckoss	14
36	pintsizedrogue	12
37	Ze_BaronKrigler	11
38	Jackattack53	7
38	IAmTheWalrus910	7
40	ExtraDumb	6
40	beeperbeeper5	6
40	Spenduh	6
40	jnp_gaming	6
44	Mattesco	5
44	LordSpeed37	5
44	stavgod	5
44	stellarjay	5
48	ImpavidArcher	4
48	Frozil12	4
48	alderban107	4
51	Notta	3
51	Hiryu27	3
51	Kim_Jong_eel	3
54	StanceTB	2
54	kekhon	2
54	LeauVox4921	2
54	Onennon	2
54	Gryglu583	2
54	Kowcio_	2
54	__tomato	2
54	obzii	2
62	dabloons	1
62	Merv__	1
62	livingdaydreams	1
62	Mahoose	1
62	rarrq	1
62	Upstro10	1
62	TheSecondLord	1
62	500am	1
62	Sky_light_KING	1
62	claivin	1
62	Sheldor097	1
62	fffMike	1
62	oxfordschool	1
