rank	username	minecraft:picked_up/minecraft:raw_copper
1	pintsizedrogue	70816
2	thewindmillman	62686
3	Mattesco	25595
4	Smoke____	23059
5	Enderxz3	21512
6	luseis	20229
7	PlasticOtari	19920
8	500am	16963
9	gcaisawesome	16679
10	EMC_	11197
11	12Magner05	9357
12	Marbz_	9242
13	TheSecondLord	9026
14	Jimi7hits	8986
15	Snowflowe	8791
16	Soplight	7821
17	pixelviolin	7440
18	00000000-0000-0000-0009-01ff0c3e5e4f	7099
19	corvidpartyfor6	7002
20	shrimp_flips	6013
21	calamariclam_I	5819
22	LeauVox4921	5723
23	Steelynan	5668
24	Hyp3rion_	5584
25	non089	5564
26	Jimb0nat0r	5118
27	QuiCreans	4959
28	RoofTyler	4877
29	Jonafrog99	4648
30	Kowcio_	4101
31	TheDankPlatypus	3948
32	beeperbeeper5	3809
33	groofles	3252
34	Heisenbberrg	3109
35	Mahoose	3069
36	Touched_Bread	2895
37	yulgur1	2870
38	NLKBuilder	2763
39	MinttyFressh	2273
40	Mr_Byzantine	2122
41	mihimihimihi	2079
42	Flores991	2003
43	SpacesickPrism	1885
44	jessewegottacook	1842
45	Physics_Breaker	1750
46	Solar_Power	1692
47	underscore_2	1619
48	Kakolbus	1601
49	RebelAndroid	1509
50	weabis	1506
51	MilleGrug	1464
52	StinkyDiplomat	1372
52	wwwwinnebagoooo	1372
54	Iamthejo	1371
55	SvenskaHugo	1332
56	shineh10	1191
57	prizm_	1158
58	Winklepicker279	1121
58	Silvo614	1121
60	Huwulling	1118
61	Crowman1	1077
62	SuperPooch06	1070
63	Lez_	1032
64	Moofyman	1031
65	Apollo_993	987
66	dartwaffle	955
67	shadowthemonkey	922
68	RoskobiOne	911
68	sp00ky_ghost977	911
70	Merv__	892
71	Toriankel	858
72	Lord_Doob	842
73	Enigma0251	837
74	Valoth	835
74	EveryonesUncle	835
76	Vegvisir	823
77	Ryker	822
78	binman420	817
79	Kubelz	807
80	Sleepy_Time_	805
81	ApophisNova	794
81	MyNamaSheff	794
83	MAns_44	767
84	Rebytre	761
85	ZeroAbyssTTV	731
86	JitteryJared2	692
87	Cavetorch	644
88	hanaryheatwave	576
89	Khelvoryk	572
90	arvous	568
91	Timfinity4	545
92	BPTY4618	517
93	00000000-0000-0000-0009-01f570995a20	515
94	_Razaria	497
95	GlitchyPlate810	496
96	EngagedGrub41	492
97	Ithaca19	474
98	H0UNDFRMH3LL	463
98	xPixelRainx	463
100	Lord_Zacler	455
101	AuroraSkies	452
102	NotRemets	448
103	iElijah	445
104	Mookle96	422
104	Nycteus_	422
106	tsitrawhy	413
106	Legendosh	413
108	catandmoose	411
109	coobert42	409
110	mobunni	402
111	WYFYoyo	401
112	_Boipl_	376
113	kyouma777	374
114	YungMaki	359
115	Creativebuilder2	344
115	Ze_BaronKrigler	344
117	SingedBread	336
118	Smashic	332
119	Ghemmah	327
120	Fuad_R	318
121	Myszoaz	316
122	PazinGaming	312
123	MNMann44	310
124	JohnnyMines	309
125	IdeallyGrey	308
126	iSammael	290
127	MyNameIsDakar	277
128	Lumien_	271
129	fffMike	269
130	_Dri_	268
131	LitoDelvito	267
132	q_wq	260
133	zToasty69z	259
134	Jackattack53	247
135	FazeObama69	246
136	FreakGenius	243
137	fade_emerge78823	236
137	bearlystraight	236
139	ImpavidArcher	231
140	thebaddruid	229
141	Prismyst	221
141	Megarboh	221
143	Alteriity	213
144	Jeteight	211
145	Da_Boss_Rani	208
146	Tiktola01	204
147	Lord_Jord	200
148	Saltymart	199
149	k_ce	193
150	joethahobo	192
151	Dennid	189
152	rarrq	185
153	Methalox1	182
154	Billious	178
155	nattybears	167
156	Secret_Canary	162
157	RealGroot	161
158	RadarHz	159
159	Njensen7	158
160	Joestra	151
161	hcb238	149
162	crying_wolf_13	146
162	AltnumberF4	146
164	Base_Tempest	145
165	EricAurum	140
166	lizardfightclub	139
166	Vicemaniac	139
166	ZoomieZoomie	139
169	KeruNatsema	138
170	00000000-0000-0000-0009-01fc3bb26159	136
171	Inchef	135
171	lordpipe	135
173	KGTV	131
173	verynothing	131
175	starbits140	128
176	Aryamanee	127
177	00000000-0000-0000-0009-01f9013b764e	126
178	KaptainKornhole	125
179	olliebollie48	123
179	_Karmaa	123
179	ItsDeltaMC	123
179	Sheldor097	123
183	AlexxO_o	121
184	Frozil20	120
184	SquadMonster	120
184	shyshyannne	120
187	Pofen	115
188	MogusBussy69	107
188	I_Moose	107
190	breadbowlgamer	106
191	Gemstuff	105
192	Nicky_H225	104
193	RatatJuice	102
194	GoofySilly	100
195	Btabtab	98
196	Toasty_Tom	97
197	noam464	96
198	EtherealEspresso	95
199	infiniteQuery	93
200	ChampPog_	92
201	ITDV	91
201	Rocco_Lane	91
203	ThreeAmMan	89
204	Hail_the_wombat	88
205	H_O_M_H	84
206	Meeerkat	82
207	Killercatty78	81
207	LeEricc	81
209	rachcl	80
210	MineMaster0012	78
210	gusstationwerker	78
212	hm947	77
213	aFrogThatExists	76
214	tuckerdoodle	73
214	SteveCraftBlocks	73
214	Weepingbiel	73
217	ShedJr_	72
217	TheWildMateo	72
219	RedcatVII	71
220	MrKrabOnCoke	70
220	Yahir091	70
222	orxngejuice	69
222	fluddd	69
224	Fuxs_V	68
224	NameGenerat0r	68
226	The_Fulgurator	67
227	kekhon	64
227	benediktine1	64
229	TerraVl	62
230	CattSoup	61
231	corpsecity	58
231	TheALV	58
233	MuffinManzz	57
234	CollinMH06	56
234	Jonte0599	56
236	91stCataclysm	54
236	censorsheep	54
236	Bonzaidalek	54
239	Deathkob	52
239	PortlyPete69	52
241	_themselves	48
242	Xalithia	46
243	KarlKaek	44
244	ChronoSounds	43
245	CharlieButt	42
245	Eraxa	42
247	Bucscw24	40
248	SvenskaSara	39
249	viKtorr__	38
250	Ossem	37
251	PhantomBionic	36
251	NomadicRobin_	36
253	IcyUzi	35
254	nut_e	34
254	JoeSaysBingBong	34
256	ItsGrayWolf	33
256	lorpus	33
258	athereall	31
259	Spacewardharpy7	30
260	soundad	29
260	Lutres_Torane	29
260	DarkS0L	29
260	DubDoesGams	29
260	Eczbek	29
265	WigglyMustard	27
266	BurgerKnight	26
266	00000000-0000-0000-0009-01f16526f034	26
268	tlal002	25
268	Otarichi	25
270	MrPenderweed	24
270	NATE_the_HALO	24
272	floodjon	23
272	00000000-0000-0000-0009-01f073f37a91	23
274	MinuteMira	22
274	BiggieDawg	22
276	Scags	21
276	LazySupport00	21
276	00000000-0000-0000-0009-01f26ea966c4	21
279	HoltGrim	19
280	dimitri0s	18
280	Yazzny	18
280	Veillax135	18
280	CalebDHawk	18
284	Blackberry1310	17
284	4774	17
284	Momomia1997	17
287	Masssonnn	16
288	kidel03	15
288	_HoneySlime_	15
288	SpaggeDR	15
288	UCP_TheKingK	15
292	_Huge_Male_	14
292	DoktorZelenka	14
292	NoobyandApple	14
295	Akoot_	13
296	CloroxBleach385	12
296	Myrosia	12
296	FishisTTV	12
299	eitanzaki	11
299	TAKrules	11
