rank	username	minecraft:picked_up/minecraft:quartz_block
1	ImpavidArcher	11286
2	joethahobo	11191
3	Di_infiri	8292
4	lordpipe	5560
5	noam464	4649
6	Freak_Genius	4426
7	Hyp3rion_	3576
8	himak1	3414
9	EcksD	3405
10	Smoke____	2764
11	EcksDofficial	2562
12	beeperbeeper5	2068
13	thewindmillman	2028
14	oxfordschool	1981
15	Spacewardharpy7	1892
16	Lord_Jord	1673
17	Sral7	1587
18	HellsSponge	1542
19	Zoeyfortnite	1452
20	_Karmaa	1440
21	fffMike	1437
22	Whiterooster001	1313
23	SammiWolfGirl	1297
24	Winklepicker279	1231
25	Xclax101	1097
26	Frozil12	1096
27	rarrq	1092
28	eitanzaki	1075
29	set67	1073
30	Groundler	1024
31	Mahoose	1015
32	NinjaKnifeKill	998
33	pintsizedrogue	996
34	AJplaysMC_	975
35	chipklip	971
36	Akoot_	947
37	m_be9	940
38	SaucyDark	936
39	thescout7	916
40	Truckoss	909
41	Skylord_Luke	877
42	trexgb	856
43	mwrty	836
44	Inbefour	826
45	FishyBoy3811	822
46	TheOuterCore	818
47	Legendosh	795
48	cedric72	769
49	PlasticOtari	764
50	NameGenerat0r	748
51	The_slideV3	738
52	Rumpletaezer	734
53	Blaiku	720
54	Optiprimus	714
55	lillips	692
56	SlinkyPinky	649
57	Spenduh	637
58	teslawolf38	627
59	Wooptey	623
60	CoffeeNoir	616
61	jnp_gaming	612
62	500am	605
63	Merv__	598
64	NomadicRobin_	576
65	CliffEmAll	568
66	TheWildMateo	549
67	El_Jalapeno	544
68	stahouo	509
69	kekhon	503
70	Soplight	500
71	xxPipperDipperxx	494
72	ROY4LE	467
73	Incinere	465
74	Hermanni__	464
75	nocturne78	458
76	Blu3beast	421
77	marumochis	419
78	StinkyDiplomat	417
79	Ezekson	409
80	KarlKaek	385
81	TheShyPig	377
82	MilleGrug	347
83	Werbe	342
84	ProfessorBee	336
85	JEWISHBadenBeele	334
86	XboxPanda	333
87	DarlaMeow	321
88	Kouridragon	315
89	Swexti	311
90	MovingFish7	307
91	Eraxa	305
92	Cowison	302
93	Blackberry1310	300
94	Fuad_R	282
95	titanlax	278
96	alderban107	276
97	RebelAndroid	275
98	fade_emerge78823	271
99	KingMatthew506	268
100	EMC_	267
101	Smashic	257
102	Syropatathe	251
103	Maenara	248
104	Comma__	245
105	Inchef	234
106	KliBeast21	229
107	PhantomsGhost_	224
108	iSammael	220
109	Snowflowe	216
110	Historical_Sand	208
111	Strangemonkey71	207
112	andy_rex	205
113	SexcMf	195
113	TechnoNinja64	195
115	Dusk_95	193
116	Marbz_	189
117	kinas45y5	187
118	The_SlideV5	183
119	RobotMinion101	181
120	SuperPooch06	180
121	MightyWertu	175
122	PigDab	170
123	Toriankel	166
124	EveryonesUncle	164
125	sp00ky_ghost977	152
126	DebbieBrunswick	150
127	Barlycorn	147
128	MSK__	146
129	fw3xywashere	138
130	Jackattack53	133
131	soundad	132
132	Nycteus_	129
133	zylanzagreat	128
134	Zaridey	125
135	Yatitay	124
135	paranoid_plant	124
135	MyNameIsDakar	124
138	SyntheticSurgeon	121
138	MakeHistory157	121
140	Jackster03	119
141	GlitchyPlate810	116
142	SSytex_X	111
143	Leyna3	108
144	Jovaphobic	107
145	Steelynan	106
145	Nicserso	106
147	Reamdin	96
147	Factoroni	96
149	Groovy_MoonBird	95
149	Menthas	95
151	gaziter10	92
152	YungMaki	91
153	Shogunite	90
154	MeetTheWollo	89
155	Fullut	88
156	Blamphe	84
157	claivin	83
158	Rasmanden	80
159	lizardfightclub	77
159	Jiminie	77
161	KnightmareD	76
162	UltraZombie	74
163	Froste131	73
163	Vorlice	73
165	I_Am_Mushkin	71
165	Malorn_Aetherius	71
165	Winston_Ingram	71
168	emrekn	70
168	00000000-0000-0000-0009-01ff0c3e5e4f	70
170	Quotary	69
171	_Boipl_	66
172	trixterrx	65
173	fanofbands101	64
173	q_wq	64
173	jedi_george	64
173	Arceus1975	64
177	Enderslayerxz3	61
178	Huwulling	60
178	MattieHD	60
178	fallingemma	60
181	Bazongoman	59
182	_Nuf	58
182	Razzgriz	58
184	Lez_	57
184	Mookle96	57
184	Touched_Bread	57
187	Hpdinosaur	54
187	iHuntWeeaboos	54
189	r123moore	53
189	_Bguette_	53
191	NotMeanttoChange	51
191	FetteMutter	51
191	Sheldor097	51
191	Skippeh	51
195	WyngGoy	49
196	wiqor	48
197	wobn	47
198	diamondgolem35	45
199	ShedJr_	44
200	tsitrawhy	43
201	jcool7	42
202	Nesquiczek	40
202	Batman922	40
202	Cortexia	40
205	2blox	39
206	jimintyy	38
207	Awyrlas	37
207	Wowful	37
