rank	username	minecraft:picked_up/minecraft:beef
1	Njensen7	4449
2	Blaiku	3512
3	Mahoose	2243
4	youhjjhhhjj	2015
5	500am	2000
6	MightyWertu	1709
7	lordpipe	1629
8	Xclax101	1598
9	El_Jalapeno	1596
10	Comma__	1472
11	Bumpy419	1453
12	Snowflowe	1412
13	HellsSponge	1398
14	Kateesaur	1287
15	Di_infiri	1279
16	Groovy_MoonBird	1237
17	TechnoNinja64	1187
18	Sral7	1087
19	Blackberry1310	963
20	GingerNeutron	911
21	pappaberg	882
22	joethahobo	852
23	PlzNoBM	828
24	SaucyDark	775
25	loveseeker	762
26	ediballbearings	761
27	Akoot_	697
28	KarlKaek	683
29	Razzgriz	680
30	__tomato	675
31	Harotio	673
32	djancak	646
33	wobn	631
34	Spacewardharpy7	621
35	kekhon	614
35	TheShyPig	614
37	Fuhrer_Teemo	601
38	Werbe	587
38	AssEatrAndLicker	587
40	Windo_licker	582
40	Frozil12	582
42	Hyugo	575
43	Lowjinx	564
44	Kowcio_	553
45	pintsizedrogue	549
46	intropass	484
47	Jovaphobic	447
48	fluddd	436
49	Fildyr	423
50	Skippeh	409
51	MyNameIsJobo	407
52	Lord_Jord	406
53	eitanzaki	397
54	mariominejedi	391
55	Froste131	390
56	UrbanPlanner1978	389
57	CharlieButt	384
58	Xalithia	382
59	SSytex_X	381
60	selectrix	380
61	_Dean_123	374
62	_Nuf	366
63	jacxhadow	347
64	m_be9	340
65	_TCARREIRA_	335
66	anbbang	332
67	thescout7	331
68	Malorn_Aetherius	327
69	_Cloverbelle_	326
70	soundad	323
70	Zaridey	323
70	burbankbuilder28	323
73	Fullut	322
74	Freak_Genius	321
75	BumbleBeever	313
76	AnnieBathory	312
77	Kouridragon	310
78	Noah_Bez	307
79	MyNameIsDakar	306
80	noam464	301
80	KingMatthew506	301
82	CruncyIsTaken	296
83	Russiancat1	294
84	YungMaki	287
85	SvenskaHugo	284
86	q_wq	282
86	Powowowow	282
88	beeperbeeper5	280
88	hcb238	280
90	Guillemet	279
90	diggydog67	279
92	starbits140	273
93	TheOnlyRake	264
94	Lord_Zacler	262
95	Legendosh	260
96	Rumpletaezer	258
97	Oxygen16	257
98	NomadicRobin_	256
99	DarkS0L	247
100	fallingemma	246
101	I_Am_Mushkin	243
102	Vizzoid	239
103	DanTheBuilderino	236
104	TrollerYT	234
105	SLASHZEERA	233
106	GravitySaint	231
106	SUN_DREAM	231
108	censorsheep	228
109	Skomo	226
109	wezzzi	226
111	DennyKai	222
112	_Karmaa	221
113	xxPipperDipperxx	220
114	Kim_Jong_eel	219
114	Deodorante	219
114	ori0le	219
117	eiC_	218
117	DTwenty	218
119	BreadBacon	216
120	Meatlaugh	215
120	jaimshae	215
122	set67	212
123	Barlycorn	210
124	sufjanlover	209
125	RedcatVII	207
125	VentiHilton	207
127	ItsAki_	206
128	sp00ky_ghost977	205
129	PegLegPete93	204
130	6king6colt6	203
130	GlitchyPlate810	203
132	leaf26	199
133	BlancoFlaco	197
133	Vetral1	197
135	Dogcorn69420	196
135	_3Stump_	196
137	titanlax	192
138	IWorkAtIkea	180
139	eviltunix	179
140	Prodiginus	178
140	MattieHD	178
142	mwrty	171
143	TheSeismicDuck	170
144	RodSerlingCringe	169
145	Natofthese	166
146	Decaying_Lotus	163
147	Wolverine4302	162
148	ivorico	161
148	SingedBread	161
150	GLLogan2	159
151	SyK7	158
152	Merv__	156
152	LeeMcGee30	156
154	Enigma0251	155
155	trixterrx	153
156	Cowison	152
157	ProfessorBee	149
158	picardred	148
159	ratglock	146
159	laron58	146
161	EMC_	145
162	vandmanden	142
