rank	username	minecraft:picked_up/minecraft:fire_coral_fan
1	Kouridragon	895
2	Legendosh	442
3	ImpavidArcher	343
4	pintsizedrogue	293
5	thewindmillman	231
6	TheShyPig	199
7	500am	175
8	Di_infiri	158
9	12Magner05	146
10	Hyp3rion_	140
11	El_Jalapeno	134
12	Fullut	99
13	RoskobiOne	97
14	HellsSponge	89
15	Mahoose	84
16	_Dean_123	76
17	ApophisNova	68
17	MyNamaSheff	68
19	kekhon	66
19	Enderslayerxz3	66
21	Mewar	63
22	AuroraValkyrie	62
22	lordpipe	62
24	EcksD	61
25	livingdaydreams	60
25	Quaintster	60
27	YungMaki	56
28	noam464	50
29	eitanzaki	49
30	Vetral1	46
31	Merv__	41
32	Werbe	40
33	Onennon	39
34	Nagasaki_Riku	37
35	Maenara	36
36	Jovaphobic	35
36	MyNameIsJobo	35
38	__tomato	32
39	IdeallyGrey	31
40	Ssor69	30
40	Xalithia	30
42	Inbefour	29
43	tsohomie	28
44	beeperbeeper5	25
44	eiC_	25
46	KingMatthew506	24
47	Xclax101	23
48	Blackberry1310	21
48	djancak	21
50	SaucyDark	20
50	Jiminie	20
52	Snowflowe	19
52	FreddyFart	19
54	surfinggiraffejp	18
54	hoticelandman	18
54	diggydog67	18
57	T045RTY	17
57	Rumpletaezer	17
57	TheSeismicDuck	17
60	Steelynan	16
60	Smoke____	16
62	Arceus1975	15
62	Dusk_95	15
62	Luigipunch989	15
65	Iagoku	14
65	urbeans	14
65	Kakolbus	14
65	Nicserso	14
69	aec9	13
69	XxCookiequeenxX	13
71	TechnoNinja64	12
72	ZeroKraken	11
73	Bandito_Roamer	10
73	SuperPooch06	10
73	Deathkob	10
73	Quotary	10
73	Powowowow	10
73	h2p_emrld	10
79	joethahobo	9
79	Voxin2K	9
79	HolyVenom	9
79	Blaiku	9
79	stellarjay	9
79	PortlyPete69	9
85	Noah_Bez	8
85	Kynigito	8
85	PigDab	8
85	SpookyDraggin	8
85	Freak_Genius	8
85	ZoharGoldMine	8
85	pixelviolin	8
85	lcvezra	8
85	GlitchyPlate810	8
94	ShedJr_	7
94	ratglock	7
94	TheDankPlatypus	7
94	Marbz_	7
94	loveseeker	7
94	Bumpy419	7
94	Hiryu27	7
94	Jiminbub	7
94	Karbl	7
94	Blu3beast	7
94	Typadopoulos	7
94	Fizznut909	7
106	titanlax	6
106	TheSecondLord	6
106	KeruNatsema	6
106	YungWali	6
110	Groovy_MoonBird	5
110	Inchef	5
110	r123moore	5
110	burbankbuilder28	5
110	_Cloverbelle_	5
110	censorsheep	5
110	Spacewardharpy7	5
110	Factoroni	5
110	AvaRosey	5
110	WyngGoy	5
110	SammiWolfGirl	5
110	YoshikageBites	5
122	BodaciousCake	4
122	Covalents	4
122	domagawha	4
122	Rebytre	4
122	RobotMinion101	4
122	Akoot_	4
122	fkGrim	4
122	NameGenerat0r	4
122	laron58	4
122	HesDemonPants	4
122	Sral7	4
133	ItsColin11	3
133	gcaisawesome	3
133	_Karmaa	3
133	monky_irl	3
133	sp00ky_ghost977	3
133	SexcMf	3
133	erkada	3
140	tuckerdoodle	2
140	shyshyannne	2
140	emrekn	2
140	CollinMH06	2
140	Jackattack53	2
140	Donutt	2
140	The_Quack_Dealer	2
140	CookTheChef3	2
140	claivin	2
140	MakeHistory157	2
140	Eraxa	2
140	MilleGrug	2
152	dudcreeper	1
152	abramgray	1
152	6king6colt6	1
152	KarlKaek	1
152	Hpdinosaur	1
152	CoffeeNoir	1
152	Historical_Sand	1
152	IWorkAtIkea	1
152	Stynxy	1
152	MattieHD	1
152	UncreativeArtist	1
152	Winklepicker279	1
152	Eerini	1
152	ChrisKyleST3	1
152	balin55	1
152	MightyWertu	1
152	Omar_Alone	1
152	LordSpeed37	1
152	Soplight	1
152	stahouo	1
152	CalebDHawk	1
152	fffMike	1
152	jcool7	1
152	Ezekson	1
152	oxfordschool	1
152	FishisTTV	1
