rank	username	minecraft:picked_up/minecraft:music_disc_relic
1	j5ylim	20
2	pintsizedrogue	16
3	Enderxz3	13
4	oscminus	11
5	k_ce	10
6	Pumpkin_P_Patch	9
7	beeperbeeper5	7
7	SteveCraftBlocks	7
9	Mr_Byzantine	6
9	Merv__	6
9	Archsam	6
12	Jimb0nat0r	5
13	Kowcio_	4
14	Tarnished_Knight	3
14	pixelviolin	3
16	Manaateee	2
16	Buuck_	2
16	Steelynan	2
16	skitzxo	2
20	PazinGaming	1
20	Leyraxos	1
20	Lez_	1
20	Zerosene	1
20	bl1ss0	1
20	hanaryheatwave	1
20	Hyp3rion_	1
20	bubbLyPrototype	1
20	StarCookiees_	1
20	Legendosh	1
