rank	username	minecraft:picked_up/minecraft:bamboo_hanging_sign
1	Yamdalorian	24
2	Jimb0nat0r	13
3	_Duckery	8
4	milltesco	6
5	Merv__	4
5	Huwulling	4
5	_witch_craft_	4
8	lordpipe	2
9	Mr_Byzantine	1
