rank	username	minecraft:picked_up/minecraft:lime_stained_glass_pane
1	Werbe	723
2	El_Jalapeno	162
3	Groundler	158
4	Hyp3rion_	148
5	Inbefour	113
5	DTwenty	113
5	jnp_gaming	113
8	lordpipe	64
9	Fullut	43
10	ROY4LE	41
11	Groovy_MoonBird	38
12	Rumpletaezer	36
13	Dusk_95	34
14	EveryonesUncle	25
15	NameGenerat0r	12
16	TheSecondLord	6
16	PlasticOtari	6
18	pintsizedrogue	5
18	noam464	5
18	Snowflowe	5
18	Eraxa	5
18	laron58	5
23	ProbablyNick	4
23	Blaiku	4
23	Soplight	4
26	beeperbeeper5	3
26	titanlax	3
26	MrExplorer	3
26	Di_infiri	3
30	Mahoose	2
30	rarrq	2
30	Blackberry1310	2
30	kekhon	2
30	Akoot_	2
30	OverallConcept	2
30	Spacewardharpy7	2
30	EcksDofficial	2
38	_Virify_	1
38	jushykins	1
38	Nach0Bear	1
38	mwrty	1
38	__Fanda__	1
38	WET_WET_WET	1
38	SonicRainBow_	1
38	Deathkob	1
38	Shogunite	1
38	SammiWolfGirl	1
38	PlzNoBM	1
38	CalebDHawk	1
38	Ezekson	1
38	aubergined	1
