rank	username	minecraft:picked_up/minecraft:stone_brick_slab
1	HellsSponge	6362
2	PigDab	6277
3	Ezekson	4183
4	Blu3beast	3546
5	burbankbuilder28	3374
6	EveryonesUncle	3181
7	Legendosh	2910
8	Werbe	2865
9	Akoot_	2845
10	pappaberg	2788
11	Smoke____	2771
12	Mahoose	2704
13	Onennon	2560
14	Freak_Genius	2533
15	EcksDofficial	2514
16	TheShyPig	2415
17	beeperbeeper5	2267
18	pintsizedrogue	2157
19	obzii	2037
20	Di_infiri	2013
21	Warlord324	2003
22	Ssor69	1868
23	Arceus1975	1816
24	Xalithia	1792
25	lcvezra	1761
26	Frozil12	1755
27	TechnoNinja64	1727
28	Kakolbus	1667
29	Eraxa	1532
30	ApophisNova	1525
30	MyNamaSheff	1525
32	thescout7	1477
33	kekhon	1459
34	mwrty	1458
35	Groundler	1429
36	El_Jalapeno	1380
37	DarlaMeow	1332
38	set67	1277
39	Bumpy419	1253
40	Soplight	1217
41	jcool7	1196
42	Zythose	1176
43	diamondgolem35	1162
44	Jackattack53	1129
45	_Virify_	1043
46	Chromary	984
47	WET_WET_WET	957
48	EcksD	950
49	_Nuf	928
50	TheSecondLord	927
51	Fullut	925
52	noam464	892
53	MixerDixer	887
54	WyngGoy	873
55	Mewar	862
56	YungMaki	852
57	Skylord_Luke	841
58	Steelynan	811
59	Blackberry1310	776
60	Hisiste	744
61	Cowison	692
62	livingdaydreams	679
63	FelixPSY375	675
64	Rebytre	660
65	CollinMH06	646
66	whoaluv	635
67	joethahobo	632
68	Slapface522	600
69	claivin	590
70	Sky_light_KING	586
71	SquadMonster	571
72	eitanzaki	568
73	m_be9	558
74	DTwenty	544
75	12Magner05	543
76	Historical_Sand	528
77	Kyrum2169	507
78	Dedalus36	502
79	__tomato	494
80	rarrq	465
81	Hiryu27	459
82	MyNameIsDakar	456
83	Mr_Byzantine	453
84	_Dean_123	451
85	Kowcio_	441
86	Merv__	440
87	MyNameIsJobo	436
88	Ryker	420
89	awesomeoneme	419
90	M_Patata	418
91	_Karmaa	410
92	Shogunite	408
93	NoChumpChange	401
94	bigstankyy	400
95	Kubelz	390
96	Masssonnn	388
96	wobn	388
98	Stiar	378
98	cog	378
100	JESS_THE_RERE	373
101	H72l9w	371
102	ImpavidArcher	369
103	MovingFish7	366
104	07shiny	360
105	valkam13	343
106	MattieHD	337
106	Donutt	337
108	500am	327
108	Snowflowe	327
110	PortlyPete69	312
111	loveseeker	311
111	Racengan	311
113	jushykins	307
113	censorsheep	307
115	Lord_Jord	303
116	Maenara	301
117	Leyna3	297
118	The_slideV3	291
119	Fildyr	282
120	PhantomsGhost_	276
121	TheSeismicDuck	270
122	Wolverine4302	268
123	Reamdin	266
124	OG_Songsee	264
125	ProfessorBee	258
125	xorompole	258
127	felincaus	255
128	Tolhart	254
129	Rumpletaezer	252
130	Inchef	250
131	SkateboardR6	248
132	Spenduh	244
133	impossibleteapot	242
134	FishyBoy3811	241
135	AuroraSkies	235
136	KartivGal	234
137	Jorrdi	230
137	eviltunix	230
137	SvenskaHugo	230
140	ImDisconnected_	223
141	Jiminie	220
142	MasterNueve	219
143	Fuhrer_Teemo	210
144	ROY4LE	208
145	BlueZabu	207
146	Ninzyyy	204
147	Crowvens	201
147	_NieToksikpl_	201
149	Malorn_Aetherius	200
150	_stets	198
150	XxCookiequeenxX	198
152	NotMeanttoChange	191
153	Kkanot	185
154	Sral7	183
155	VentiHilton	182
156	Deathkob	181
157	dudcreeper	177
