rank	username	minecraft:picked_up/minecraft:glow_item_frame
1	Marbz_	155
2	Hyp3rion_	128
3	thewindmillman	108
4	Legendosh	99
5	beeperbeeper5	35
6	Spacewardharpy7	14
7	MSK__	12
7	Smashic	12
9	Segotep999	11
10	PlasticOtari	10
11	Enderslayerxz3	9
12	KartivGal	7
13	joethahobo	6
13	Jiminie	6
13	YungMaki	6
16	pintsizedrogue	5
16	iHuntWeeaboos	5
18	12Magner05	3
18	Nycteus_	3
18	Kowcio_	3
21	Ryker	2
21	Da_Boss_Rani	2
21	Jackattack53	2
21	fw3xywashere	2
21	MAns_44	2
21	UCP_TheKingK	2
27	Drlzyy	1
27	Mahoose	1
27	Myszoaz	1
27	Kkanot	1
27	egglapras	1
27	Arceus1975	1
27	TheWildMateo	1
27	EveryonesUncle	1
27	Fuad_R	1
27	Vicemaniac	1
27	CheifJumbo	1
27	tsitrawhy	1
27	Steelynan	1
27	EcksD	1
