rank	username	minecraft:picked_up/minecraft:pink_carpet
1	thewindmillman	4332
2	jnp_gaming	738
3	joethahobo	560
4	lordpipe	198
5	HellsSponge	160
6	Hermanni__	115
7	Spacewardharpy7	92
8	YungMaki	88
9	beeperbeeper5	86
10	RebelAndroid	84
11	MilleGrug	68
12	Cocoamallows	64
13	Ezekson	63
13	Enderxz3	63
15	wrinkledpiglet	58
16	djancak	55
17	500am	52
18	noam464	49
19	Quotary	48
20	xxPipperDipperxx	46
21	Segotep999	43
22	00000000-0000-0000-0009-01ff0c3e5e4f	39
23	queenalina123	37
24	EveryonesUncle	36
24	Kowcio_	36
26	Lez_	35
27	CattSoup	33
28	KingMatthew506	31
29	Crowvens	29
29	Manaateee	29
29	lcvezra	29
32	monky_irl	28
32	AdmiralSmoke	28
34	Rumpletaezer	27
35	Crowman1	26
36	KeruNatsema	20
37	kekhon	19
38	_Boipl_	15
38	PlzNoBM	15
40	audiocracked	14
40	FreakGenius	14
42	ShedJr_	13
42	roxycherry	13
44	Blackberry1310	12
44	_Dean_123	12
44	seramalen	12
44	TheShyPig	12
44	MakeHistory157	12
49	UCP_TheKingK	11
50	Di_infiri	9
50	El_Jalapeno	9
50	__tomato	9
53	SyntheticSurgeon	8
53	TechnoNinja64	8
55	Sleek_Storm_721	7
55	LilLizardWizard	7
55	Kura2218	7
58	Arceus1975	6
58	Maenara	6
58	tompup	6
61	LexMakesHistory	5
62	PeteO1995	4
62	__Auspicious	4
62	_Tilariel_	4
62	EcksD	4
62	Zoeyfortnite	4
67	T045RTY	3
67	Huwulling	3
67	Swexti	3
67	eviltunix	3
67	Kyrum2169	3
67	LeeMcGee30	3
67	ZoomieZoomie	3
74	SoosAmongus	2
74	ImNotYuqii	2
74	Sparky_KT	2
74	Smashic	2
74	Voxin2K	2
74	AlexxO_o	2
74	obzii	2
81	diamondgolem35	1
81	Killercatty78	1
81	Mahoose	1
81	rarrq	1
81	heckface	1
81	Ozixar	1
81	Mercadies	1
81	Comma__	1
81	jushykins	1
81	Jakobo1337	1
81	catandmoose	1
81	pr33tu	1
81	Fullut	1
81	Motsaro	1
81	SellyZ	1
81	cedric72	1
81	Akoot_	1
81	luseis	1
81	_Bguette_	1
81	NameGenerat0r	1
81	Nycteus_	1
81	MightyWertu	1
81	xzvu	1
81	Deguns123	1
81	Steelynan	1
81	MelodyGaysharks	1
