rank	username	minecraft:picked_up/minecraft:exposed_copper
1	Kakolbus	268
2	Mr_Byzantine	129
3	Manaateee	85
4	EMC_	67
5	YungMaki	65
6	bearlystraight	41
7	Nicserso	39
8	luseis	23
9	PlasticOtari	18
10	pintsizedrogue	15
11	500am	11
12	jessewegottacook	10
13	Dakar_	7
14	_Huge_Male_	5
14	Kowcio_	5
14	MineMaster0012	5
17	Marbz_	4
17	Mattesco	4
19	TheBananaKat	3
19	Enderxz3	3
21	Apollo_993	2
21	mihimihimihi	2
21	Jimb0nat0r	2
24	Ryker	1
24	beeperbeeper5	1
24	thewindmillman	1
24	Mr_Sun15	1
24	Deathkob	1
24	shrimp_flips	1
24	weabis	1
24	Eraxa	1
24	ZoomieZoomie	1
24	Iamthejo	1
24	EcksD	1
24	00000000-0000-0000-0009-01ff0c3e5e4f	1
