rank	username	minecraft:picked_up/minecraft:breeze_rod
1	thewindmillman	1846
2	00000000-0000-0000-0009-01fe065167f0	744
3	oscminus	623
4	CLG_Kata	460
5	MyMawgDonaldsGon	456
6	pixelviolin	302
7	Secret_Canary	299
8	k_ce	254
8	Spaghettatron	254
10	Enderxz3	240
11	Buuck_	234
12	MattieHD	228
13	net_flex	208
14	beeperbeeper5	200
15	TheKingK_	199
16	Yamdalorian	183
17	MAns_44	142
18	_Mythic____	137
19	lpinfinity	119
20	cutelilreno	72
21	Mr_Byzantine	48
22	Soplight	42
23	Merv__	33
24	Werbe	20
25	Steelynan	17
26	nev_s	12
27	Pumpkin_P_Patch	7
27	KamFurnace	7
