rank	username	minecraft:picked_up/minecraft:gray_banner
1	Eraxa	111
2	noam464	51
3	beeperbeeper5	31
3	EcksD	31
5	Incinere	17
6	Awyrlas	14
6	KingMatthew506	14
8	DAD_1996	11
9	Mahoose	9
9	jnp_gaming	9
11	Blackberry1310	7
11	Onennon	7
13	Chromary	6
14	Merv__	4
14	H72l9w	4
14	TheShyPig	4
14	claivin	4
14	SammiWolfGirl	4
14	Steelynan	4
20	rarrq	3
20	kekhon	3
20	Snowflowe	3
20	Ender_Souls	3
20	Akoot_	3
20	Toasty_Tom	3
20	oxfordschool	3
27	teslawolf38	2
27	_Dean_123	2
27	emrekn	2
30	eitanzaki	1
30	LionelHutzESQ	1
30	ShedJr_	1
30	titanlax	1
30	TheSecondLord	1
30	NotTrixi	1
30	r123moore	1
30	ApophisNova	1
30	HellsSponge	1
30	MAns_44	1
30	Blaiku	1
30	Aezekial	1
30	Spacewardharpy7	1
30	Razzgriz	1
30	starbits140	1
30	MyNamaSheff	1
30	Smoke____	1
30	h2p_emrld	1
