rank	username	minecraft:picked_up/minecraft:light_blue_stained_glass
1	Hyp3rion_	7552
2	Ezekson	2363
3	Snowflowe	2335
4	T045RTY	1234
5	Hiryu27	1056
6	12Magner05	782
7	MyNameIsJobo	580
8	joethahobo	570
9	The_slideV3	546
10	eitanzaki	535
11	gcaisawesome	517
12	TheTrueClipse	456
13	YungJakobo	450
14	Legendosh	446
15	thewindmillman	383
16	beeperbeeper5	365
17	lordpipe	327
18	EcksDofficial	249
19	Crowvens	177
20	Cowison	175
21	XboxPanda	167
22	claivin	139
23	Enderslayerxz3	136
24	sebastiensaborio	126
25	Marbz_	115
26	_Karmaa	110
27	00000000-0000-0000-0009-01f532a65833	108
28	sp00ky_ghost977	107
29	Freak_Genius	104
30	rarrq	91
31	TheSecondLord	86
32	Xclax101	85
33	El_Jalapeno	84
34	Eraxa	71
35	extralargenose	66
36	Ssor69	64
37	Chromary	56
37	TheShyPig	56
37	NomadicRobin_	56
40	Drlzyy	54
40	Blu3beast	54
40	Spacewardharpy7	54
43	Groovy_MoonBird	53
43	TechnoNinja64	53
45	Arceus1975	51
46	ProfessorBee	47
47	titanlax	42
47	Groundler	42
49	Di_infiri	39
50	Paintz	38
51	Zaridey	37
52	pintsizedrogue	36
52	jimintyy	36
54	RebelAndroid	34
54	Blaiku	34
56	Miko_Fullbuster	31
57	kekhon	30
57	RodSerlingCringe	30
59	Mahoose	28
59	NotMeanttoChange	28
61	Akoot_	25
62	Jorrdi	23
63	xxPipperDipperxx	22
63	MakeHistory157	22
65	Rumpletaezer	21
65	seramalen	21
65	Inbefour	21
68	dabloons	18
68	Iagoku	18
68	2Stout	18
71	Merv__	16
71	ApophisNova	16
71	MyNamaSheff	16
71	Smoke____	16
75	LexMakesHistory	15
76	Hoid_the_Roamer	14
77	ROY4LE	13
78	BobDeBouwer1337	11
79	MinttyFressh	10
79	mwrty	10
79	KingMatthew506	10
82	oxfordschool	9
83	Mr_Byzantine	8
83	hm947	8
83	Jackattack53	8
83	Onennon	8
83	Optiprimus	8
88	HellsSponge	7
88	Soplight	7
90	Blackberry1310	6
90	thescout7	6
90	Zythose	6
93	_Virify_	5
93	SellyZ	5
93	noam464	5
93	Maenara	5
93	Jiminbub	5
93	EveryonesUncle	5
99	CliffEmAll	4
99	ooga47	4
99	PortlyPete69	4
99	UrbanPlanner1978	4
99	diggydog67	4
104	6king6colt6	3
104	Franco093	3
104	Werbe	3
104	fred870d	3
104	AssEatrAndLicker	3
104	Frozil12	3
104	stahouo	3
104	Earlesstrain4	3
112	ssleepless	2
112	SaucyDark	2
112	Hpdinosaur	2
112	MSK__	2
112	eclipseboi	2
112	audiocracked	2
112	DarlaMeow	2
112	fluddd	2
112	OG_Songsee	2
112	camando92	2
122	MixerDixer	1
122	Swexti	1
122	m_be9	1
122	MattieHD	1
122	SuperPooch06	1
122	CruncyIsTaken	1
122	Nycteus_	1
122	lcvezra	1
122	jcool7	1
122	Skippeh	1
122	aao001	1
