rank	username	minecraft:picked_up/minecraft:oak_boat
1	Freak_Genius	833
2	Rebytre	758
3	noam464	586
4	beeperbeeper5	571
5	Mahoose	567
6	joethahobo	504
7	RebelAndroid	461
8	TheSecondLord	296
9	T045RTY	282
10	rarrq	272
11	Frozil12	268
12	_Dean_123	266
13	Menthas	264
14	Akoot_	260
15	Hisiste	249
16	Lord_Zacler	239
17	Fullut	238
18	Hermanni__	237
19	eitanzaki	233
20	Sral7	230
21	himak1	192
22	HellsSponge	183
23	Soplight	179
24	PlasticOtari	177
25	thescout7	175
26	pintsizedrogue	166
27	Kouridragon	163
28	Vorlice	159
29	Spacewardharpy7	158
30	kekhon	157
31	EcksD	155
32	CalebDHawk	151
33	Werbe	147
34	Legendosh	141
35	NomadicRobin_	140
36	TheShyPig	138
37	Blaiku	137
38	Blackberry1310	133
39	claivin	132
40	ROY4LE	131
41	Di_infiri	130
42	Enderslayerxz3	129
42	Smoke____	129
44	SteveCraftBlocks	126
45	SammiWolfGirl	124
46	Historical_Sand	121
46	lordpipe	121
46	TechnoNinja64	121
49	Lord_Jord	117
49	Ezekson	117
51	Groovy_MoonBird	116
52	Hyp3rion_	115
52	jnp_gaming	115
54	YungMaki	111
55	Eraxa	109
56	_Nuf	108
57	Merv__	105
57	fred870d	105
57	Dogcorn69420	105
60	Onennon	101
61	PortlyPete69	100
62	Jackattack53	98
63	mwrty	97
63	EveryonesUncle	97
65	Winklepicker279	96
66	LordSpeed37	95
67	xxPipperDipperxx	94
68	BumbleBeever	92
69	SuperPooch06	91
70	Jiminie	90
71	Arceus1975	88
72	youhjjhhhjj	85
72	lizardfightclub	85
74	Blu3beast	83
75	Hpdinosaur	82
76	ewsophie	79
77	ClemenPine	77
77	Leyna3	77
79	500am	76
79	Chromary	76
79	Racengan	76
82	Smashic	74
83	sufjanlover	73
84	Luigipunch989	70
84	oxfordschool	70
86	Wowful	68
86	masskedman	68
88	bloodbiter	67
88	m_be9	67
90	ExtraDumb	66
90	Decaying_Lotus	66
92	MattieHD	64
92	Quaintster	64
94	PhantomsGhost_	63
94	Drlzyy	63
94	6king6colt6	63
94	Hyugo	63
94	Ryker	63
94	Xalithia	63
100	I_Am_Mushkin	62
100	censorsheep	62
100	Xclax101	62
103	egglapras	61
103	chipklip	61
103	_TCARREIRA_	61
106	Snowflowe	60
106	NATE_the_HALO	60
108	EMC_	59
108	Rumpletaezer	59
108	Spenduh	59
111	kinas45y5	58
112	NameGenerat0r	56
112	LordAurum	56
112	EcksDofficial	56
115	q_wq	55
115	301851	55
115	Parcc	55
115	Sky_light_KING	55
115	fluddd	55
120	slkiey	53
120	Groundler	53
122	jacxhadow	52
122	r123moore	52
124	Natty	50
125	Dedalus36	49
125	Zaridey	49
127	Warlord324	48
128	crying_wolf_13	47
128	benediktine1	47
128	SingedBread	47
128	Segotep999	47
128	PlzNoBM	47
133	Kkanot	46
133	Kubeusz2010	46
135	ImpavidArcher	45
136	ToxicHauntling	44
136	Megarboh	44
136	GravitySaint	44
136	Optiprimus	44
136	SvenskaHugo	44
136	Steelynan	44
136	RadarHz	44
143	awesomeoneme	43
143	Myszoaz	43
143	__tomato	43
143	Eczbek	43
143	Skippeh	43
148	Skylord_Luke	42
148	420BreadLizard	42
148	MAns_44	42
151	ItsColin11	41
151	xXTheWolfmanXx	41
151	Koffeeinz	41
151	Nach0Bear	41
151	Covalents	41
151	ooga47	41
151	spencersolberg	41
151	lcvezra	41
159	HyperCave	40
159	Powowowow	40
161	PigDab	39
161	_Bguette_	39
161	djancak	39
161	MelodyGaysharks	39
165	ShedJr_	38
165	Inchef	38
165	WET_WET_WET	38
165	BlankityMcBlank	38
165	Zoeyfortnite	38
170	KingFaenor	37
170	set67	37
170	Gryglu583	37
173	thewindmillman	36
173	Deerfoot	36
175	H72l9w	35
175	prizm_	35
175	_naturell	35
175	fw3xywashere	35
175	KG1999	35
180	AJplaysMC_	34
180	Quincannon	34
182	shrimp_flips	33
182	TheEnderman548	33
184	KarlKaek	32
184	bigstankyy	32
184	Zythose	32
184	RefluxRatio	32
184	Vetral1	32
184	gaming4Naming	32
184	JayToe	32
191	Mr_Byzantine	31
191	Iagoku	31
191	CharlieButt	31
191	AlexChristian	31
191	QueenShuvi	31
196	_Razar	30
196	Frxnkz	30
196	Nyxiom_	30
196	CruncyIsTaken	30
196	audiocracked	30
196	KlausVonStiglitz	30
196	MakeHistory157	30
196	coobert42	30
204	Alteriity	29
204	Jokerman369	29
204	valiSW	29
204	HAIRYCLOUD626	29
204	lillips	29
204	The_slideV3	29
204	EfficientC52	29
204	SkateboardR6	29
204	fffMike	29
213	Incinere	28
213	Cruciatur	28
213	MyNameIsJobo	28
213	ApophisNova	28
213	The11thDoctor	28
213	KliBeast21	28
213	WyngGoy	28
213	jcool7	28
213	MyNamaSheff	28
222	Zippyzam	27
222	CoffeeNoir	27
222	loveseeker	27
222	wezzzi	27
222	El_Jalapeno	27
222	MightyWertu	27
222	cog	27
222	33sudo	27
222	stavgod	27
222	_AAZAR	27
232	Gary_	26
232	CarbonatedCola	26
232	fr_ser	26
232	Ajax6	26
