rank	username	minecraft:picked_up/minecraft:lime_carpet
1	noam464	514
2	_Virify_	455
3	eitanzaki	373
4	Racengan	368
5	Spacewardharpy7	357
6	Werbe	273
7	beeperbeeper5	251
8	AdmiralSmoke	203
9	mwrty	198
10	Xclax101	180
11	Quotary	159
12	FishyBoy3811	153
13	500am	115
14	LexMakesHistory	102
15	Blaiku	98
16	CJPerson	97
17	HellsSponge	89
18	joethahobo	83
19	Legendosh	80
20	TheShyPig	71
21	Kakolbus	70
21	Inbefour	70
23	Di_infiri	69
24	Hyp3rion_	64
25	Huwulling	61
26	YungMaki	55
27	Njensen7	53
28	legal_tax_evader	46
29	kekhon	45
29	stavgod	45
31	Warlord324	42
31	ZeroKraken	42
31	KingMatthew506	42
34	CattSoup	40
35	Swexti	34
36	AlexxO_o	33
37	jnp_gaming	30
38	Akoot_	26
39	heckface	25
39	Ezekson	25
41	Mahoose	24
42	AuroraSkies	22
42	Nicserso	22
44	lordpipe	18
45	Lez_	17
46	RoskobiOne	14
46	RebelAndroid	14
46	Skylord_Luke	14
49	Deu_Stew	13
49	Jackattack53	13
49	Kowcio_	13
52	CoffeeNoir	12
52	_Dean_123	12
52	PigDab	12
52	HolyVenom	12
56	xxPipperDipperxx	11
57	pintsizedrogue	10
58	Fullut	9
58	ConnorDanky_	9
58	xolstoi	9
61	Pofen	8
61	TechnoNinja64	8
63	Alteriity	7
63	GhostRecon8014	7
63	Enderxz3	7
66	SaucyDark	6
66	HollieDaNugget	6
66	Rebytre	6
66	Eraxa	6
70	LAVA129	5
70	The_slideV3	5
70	Quaintster	5
70	FreakGenius	5
74	NotMeanttoChange	4
74	NomadicRobin_	4
74	WyngGoy	4
74	pixelviolin	4
74	Sral7	4
79	k_ce	3
79	Napoleonpancake	3
79	Blackberry1310	3
79	BumbleBeever	3
79	Kyrum2169	3
79	Hermanni__	3
85	Howertt	2
85	pr33tu	2
85	SteveCraftBlocks	2
85	paranoid_plant	2
85	Groundler	2
85	calamariclam_I	2
91	PhantomsGhost_	1
91	PazinGaming	1
91	Ailmast	1
91	teslawolf38	1
91	Sleek_Storm_721	1
91	CaracolCxnt	1
91	TheSecondLord	1
91	MattieHD	1
91	mimbo1211	1
91	Zorin_Blitz	1
91	RobotMinion101	1
91	420BreadLizard	1
91	natajimi	1
91	NameGenerat0r	1
91	Universz	1
91	GravitySaint	1
91	Burge_r	1
91	lcvezra	1
91	ZoomieZoomie	1
91	Skippeh	1
91	Iamthejo	1
91	RoboTramp7865	1
