rank	username	minecraft:picked_up/minecraft:map
1	Hyp3rion_	2830
2	pintsizedrogue	1249
3	Mattesco	539
4	Huwulling	429
5	MattieHD	286
6	Kowcio_	233
7	Spaghettatron	231
8	thewindmillman	222
9	luseis	212
10	kekhon	201
11	EMC_	184
12	FreakGenius	173
13	Werbe	127
14	beeperbeeper5	115
15	EcksD	114
16	thescout7	110
17	ConnorDanky_	103
18	HellsSponge	101
19	PhantomsGhost_	96
20	Legendosh	94
21	Steelynan	87
22	Quaintster	80
23	hanaryheatwave	79
24	Soplight	75
25	Jackattack53	70
25	mihimihimihi	70
27	Mr_Byzantine	69
28	Alteriity	66
29	Fuad_R	64
30	SpacesickPrism	63
30	jnp_gaming	63
32	El_Jalapeno	57
33	Shogunite	54
34	xxPipperDipperxx	53
34	doublemaki	53
36	Mahoose	51
37	NameGenerat0r	48
38	ApophisNova	46
38	MyNamaSheff	46
40	Lez_	44
41	knarian	41
42	TheKingK_	37
43	MyMawgDonaldsGon	36
44	Di_infiri	35
45	Caribouse	33
46	cutelilreno	32
47	CalebDHawk	26
48	Merv__	24
48	net_flex	24
50	LordZacler	23
50	Lord_Zacler	23
52	oscminus	22
52	claivin	22
54	joethahobo	21
55	Frozil20	19
55	Ezekson	19
57	rarrq	16
58	craaaash	14
59	diamondgolem35	13
59	Hoid_the_Roamer	13
59	TheShyPig	13
59	Xclax101	13
63	EveryonesUncle	11
64	k_ce	10
64	Touched_Bread	10
64	hoaimi	10
64	TechnoNinja64	10
64	Jimb0nat0r	10
64	PlasticOtari	10
64	Yamdalorian	10
71	robertsnose	9
71	Motsaro	9
71	Inchef	9
71	Akoot_	9
71	robonya_	9
71	Enderxz3	9
77	skroobiez	8
77	Koffeeinz	8
77	emreknugrlu	8
77	SingedBread	8
81	QuiCreans	7
81	NomadicRobin_	7
83	fanofbands101	6
83	301851	6
83	_Dean_123	6
83	Sral7	6
87	DarlaMeow	5
87	Blaiku	5
87	Racengan	5
90	seanitoo	4
90	bigstankyy	4
90	Secret_Canary	4
90	NotMeanttoChange	4
90	XboxPanda	4
90	Reneedium	4
90	lordpipe	4
90	Eraxa	4
90	TheWickedBird	4
99	Iagoku	3
99	royal_2	3
99	Vizzoid	3
99	ROY4LE	3
99	theonlymagikarp	3
99	Elastiq	3
99	__tomato	3
99	KingMatthew506	3
107	Zee_zey	2
107	EdaterPure	2
107	abdomera	2
107	bloodbiter	2
107	mwrty	2
107	Paintz	2
107	noam464	2
107	bl1ss0	2
107	ImDisconnected_	2
107	Chromary	2
107	Rumpletaezer	2
107	Krowuss	2
107	F_Uhre	2
107	Luminad3	2
107	wezzzi	2
107	stuy9	2
107	AuroraSkies	2
107	Groundler	2
107	IlkeCookes_	2
107	Fizznut909	2
107	Pearlescents	2
107	trexgb	2
129	Jovaphobic	1
129	j5ylim	1
129	CLG_Kata	1
129	Apollo_993	1
129	Hyugo	1
129	Tolhart	1
129	_Razaria	1
129	Incinere	1
129	spaece	1
129	Gregward_Smith	1
129	Blackberry1310	1
129	Crowman1	1
129	Comma__	1
129	jacxhadow	1
129	12Magner05	1
129	Fullut	1
129	philandr	1
129	_witch_craft_	1
129	ARandomHedge	1
129	Zaridey	1
129	__Fanda__	1
129	legal_tax_evader	1
129	SuperPooch06	1
129	WET_WET_WET	1
129	U_Mos_	1
129	Bumpy419	1
129	Skylord_Luke	1
129	Onennon	1
129	Kynigito	1
129	KliBeast21	1
129	Maenara	1
129	Vanni9	1
129	Manaateee	1
129	MovingFish7	1
129	Vetomo8000	1
129	SexcMf	1
129	pixelviolin	1
129	Pumpkin_P_Patch	1
129	SSytex_X	1
129	taengoos	1
129	11Brewer	1
129	KamFurnace	1
129	Nicserso	1
129	HesDemonPants	1
129	TwinTowerV2	1
129	00000000-0000-0000-0009-01fe065167f0	1
