rank	username	minecraft:picked_up/minecraft:repeater
1	noam464	8033
2	eitanzaki	3790
3	thescout7	3090
4	Di_infiri	2662
5	thewindmillman	2660
6	HellsSponge	2047
7	beeperbeeper5	1365
8	PigDab	1166
9	Werbe	960
10	Blaiku	835
11	Akoot_	812
12	Jackattack53	777
13	Spacewardharpy7	667
14	ProfessorBee	633
15	Awyrlas	611
16	EMC_	606
17	Sral7	539
18	Smoke____	458
19	m_be9	454
20	El_Jalapeno	450
21	Fullut	417
22	Blu3beast	385
23	Legendosh	365
24	Arceus1975	363
25	Freak_Genius	358
26	Hyp3rion_	340
27	Hiryu27	304
28	fffMike	289
29	Soplight	288
30	TechnoNinja64	287
31	ssleepless	262
32	kekhon	260
33	Zythose	255
34	Snowflowe	246
35	MyNameIsJobo	232
35	Maenara	232
37	Frozil12	230
38	MightyWertu	219
39	MangoTheFish	213
40	Warlord324	199
41	WyngGoy	197
42	sp00ky_ghost977	192
43	Kakolbus	191
44	PhantomsGhost_	188
45	r123moore	187
46	obzii	174
47	YungMaki	169
48	lillips	155
49	Inbefour	154
50	Onennon	144
51	T045RTY	142
51	Ezekson	142
53	Nicserso	140
54	jnp_gaming	137
55	EcksD	136
56	oxfordschool	135
57	Historical_Sand	132
58	Swexti	131
58	starbits140	131
60	Xclax101	130
61	pintsizedrogue	129
62	TheThomas69	126
63	Mahoose	125
64	Enderslayerxz3	118
65	Xalithia	114
65	Deathkob	114
67	xxPipperDipperxx	110
68	slkiey	108
69	NoChumpChange	100
70	eiC_	98
71	Groundler	96
71	Eczbek	96
73	Zoeyfortnite	95
74	Rumpletaezer	92
74	ese_wn_po	92
76	Racengan	91
77	Bumpy419	90
77	erkada	90
79	Vorlice	88
79	KG1999	88
81	Blackberry1310	87
82	masskedman	82
82	Fildyr	82
84	FreddyFart	79
85	eviltunix	78
85	jcool7	78
87	domagawha	75
87	MilleGrug	75
89	egglapras	74
90	ApophisNova	73
90	MyNamaSheff	73
92	SteveCraftBlocks	70
93	lordpipe	69
94	Shogunite	67
95	500am	66
95	TheShyPig	66
97	mwrty	64
97	Covalents	64
99	Incinere	61
99	TheSecondLord	61
99	Marbz_	61
99	07shiny	61
103	RebelAndroid	60
103	BlankityMcBlank	60
105	Winston_Ingram	59
105	Hermanni__	59
107	PlasticOtari	58
108	diamondgolem35	56
108	CrateOfBoxes	56
108	Quotary	56
111	KnightmareD	55
111	claivin	55
111	Spenduh	55
114	Eraxa	54
