rank	username	minecraft:picked_up/minecraft:horn_coral
1	El_Jalapeno	642
2	thewindmillman	316
3	Legendosh	166
4	Kouridragon	138
5	Di_infiri	135
6	Enderxz3	92
7	Jackattack53	72
8	pintsizedrogue	63
9	ImpavidArcher	51
10	beeperbeeper5	33
11	12Magner05	32
12	500am	29
12	TheShyPig	29
14	jessewegottacook	25
14	Fullut	25
14	YungMaki	25
17	livingdaydreams	24
17	Hyp3rion_	24
19	HellsSponge	22
20	Kowcio_	21
21	_Dean_123	19
22	Merv__	17
23	RoskobiOne	16
24	Lez_	14
24	lordpipe	14
26	Mahoose	13
27	Archsam	12
27	ApophisNova	12
27	MyNamaSheff	12
30	AlexxO_o	11
31	tsohomie	10
31	Blackberry1310	10
31	kekhon	10
31	Skylord_Luke	10
31	luseis	10
31	Nicserso	10
37	Ssor69	9
38	IdeallyGrey	8
38	Luigipunch989	8
40	AuroraValkyrie	7
40	Inbefour	7
40	Kura2218	7
40	lcvezra	7
44	Jovaphobic	6
44	urbeans	6
44	titanlax	6
44	Xalithia	6
44	Steelynan	6
44	Quotary	6
50	Mewar	5
50	Vetral1	5
50	Maenara	5
50	Blaiku	5
50	__tomato	5
50	KingMatthew506	5
56	TheDankPlatypus	4
56	Kakolbus	4
56	Marbz_	4
56	Onennon	4
56	KlausVonStiglitz	4
56	djancak	4
56	Fizznut909	4
56	TechnoNinja64	4
56	PlasticOtari	4
65	Rumpletaezer	3
65	Deathkob	3
65	Karbl	3
65	Factoroni	3
65	iSammael	3
65	AdmiralSmoke	3
71	Bandito_Roamer	2
71	Iagoku	2
71	SaucyDark	2
71	T045RTY	2
71	Alteriity	2
71	Huwulling	2
71	_Nat666	2
71	bloodbiter	2
71	eclipseboi	2
71	xxPipperDipperxx	2
71	noam464	2
71	eiC_	2
71	legal_tax_evader	2
71	Krowuss	2
71	Bumpy419	2
71	Rebytre	2
71	Jimi7hits	2
71	LeonelSalamanca	2
71	TheSeismicDuck	2
71	Jiminbub	2
71	Manaateee	2
71	_Karmaa	2
71	NameGenerat0r	2
71	Blu3beast	2
71	Spacewardharpy7	2
71	mihimihimihi	2
71	monky_irl	2
71	Soplight	2
71	SammiWolfGirl	2
71	_i_ERROR_i_	2
71	fffMike	2
71	Jimb0nat0r	2
71	h2p_emrld	2
104	Apollo_993	1
104	6king6colt6	1
104	KarlKaek	1
104	eitanzaki	1
104	Prismyst	1
104	Historical_Sand	1
104	TheSecondLord	1
104	MattieHD	1
104	Inchef	1
104	surfinggiraffejp	1
104	Noah_Bez	1
104	MyNameIsJobo	1
104	hanaryheatwave	1
104	Snowflowe	1
104	burbankbuilder28	1
104	_Cloverbelle_	1
104	aec9	1
104	GooseWithin	1
104	ChrisKyleST3	1
104	fw3xy74	1
104	audiocracked	1
104	FreddyFart	1
104	XxCookiequeenxX	1
104	YungWali	1
104	AstreaTSS	1
104	MAns_44	1
104	Xclax101	1
104	Druid95	1
104	ZoharGoldMine	1
104	PortlyPete69	1
104	ZeroKraken	1
104	EcksD	1
104	Biites	1
104	diggydog67	1
