rank	username	minecraft:picked_up/minecraft:brown_concrete
1	Spacewardharpy7	34411
2	TheSecondLord	4023
3	Jackattack53	3488
4	skitzxo	1345
5	Yamdalorian	1023
6	Kowcio_	689
7	Manaateee	530
8	joethahobo	517
9	YungMaki	497
10	PazinGaming	404
11	diamondgolem35	398
12	burbankbuilder28	373
13	500am	340
14	Fullut	315
15	Snowflowe	256
15	ConnorDanky_	256
17	beeperbeeper5	221
18	ShedJr_	208
19	EveryonesUncle	205
20	noodlepack	193
21	LexMakesHistory	181
22	ItsGrayWolf	152
23	groofles	145
24	Sheldor097	130
25	lordpipe	128
26	heckface	126
27	Mahoose	91
28	Mattesco	88
29	xxPipperDipperxx	79
30	noam464	65
31	Blackberry1310	58
32	ApophisNova	40
32	MyNamaSheff	40
34	luseis	38
35	Lez_	36
36	Kim_Jong_eel	32
36	HellsSponge	32
38	fluddd	26
39	lorywithay	23
40	thewindmillman	16
41	Merv__	15
42	pintsizedrogue	14
43	Deathkob	13
44	pretty_pink_reno	10
45	77Holly7	9
46	Jimb0nat0r	8
47	bpmm	7
48	Niklas20114552	4
48	goldyx	4
50	Blaiku	3
50	starbits140	3
50	PlasticOtari	3
53	Tommhh	2
53	QuiCreans	2
53	pixelviolin	2
53	Zoeyfortnite	2
57	crashomon	1
57	Hyp3rion_	1
57	MousePlays	1
57	EdGalbraith	1
57	Cache3	1
57	EcksD	1
57	smogfrog	1
