rank	username	minecraft:picked_up/minecraft:deepslate_coal_ore
1	thewindmillman	706
2	SingedBread	464
3	pintsizedrogue	347
4	Mahoose	325
5	500am	297
6	Hyp3rion_	294
7	beeperbeeper5	268
8	PlasticOtari	205
9	Enderslayerxz3	136
10	Kowcio_	128
11	MSK__	117
12	RebelAndroid	97
13	Steelynan	65
14	Segotep999	64
15	ImpavidArcher	54
16	Kakolbus	46
16	Deathkob	46
18	Smoke____	43
19	GlitchyPlate810	42
20	Inchef	23
20	ApophisNova	23
20	MyNamaSheff	23
23	verynothing	21
24	diamondgolem35	19
25	Flores991	18
26	MilleGrug	16
26	TheOuterCore	16
28	Drlzyy	15
28	MinttyFressh	15
28	WYFYoyo	15
31	gcaisawesome	14
31	YungMaki	14
33	Winklepicker279	13
34	EMC_	12
35	hcb238	9
35	Akoot_	9
37	BronkerBrum	8
38	rarrq	7
38	TheSecondLord	7
40	Jiminie	6
40	Shogunite	6
42	Freak_Genius	5
43	CoffeeNoir	3
43	Spacewardharpy7	3
43	jcool7	3
46	Xalithia	2
46	noam464	2
46	ItsDeltaMC	2
49	4383	1
49	_Boipl_	1
49	dartwaffle	1
49	EveryonesUncle	1
49	Ezekson	1
