rank	username	minecraft:picked_up/minecraft:orange_dye
1	thewindmillman	820859
2	noam464	28294
3	Hyp3rion_	25405
4	hanaryheatwave	17280
5	Spacewardharpy7	1408
6	pintsizedrogue	606
7	PlasticOtari	384
8	NameGenerat0r	372
9	Hoid_the_Roamer	308
10	Werbe	231
11	_i_ERROR_i_	224
12	HellsSponge	209
13	Steelynan	194
14	YungMaki	188
15	lillips	165
16	Huwulling	147
17	Lez_	145
18	lordpipe	128
18	fffMike	128
20	beeperbeeper5	92
21	xolstoi	86
22	AdmiralSmoke	80
23	jnp_gaming	71
24	jessewegottacook	70
24	Jimb0nat0r	70
26	Manaateee	67
26	SkateboardR6	67
28	Spenduh	66
29	6king6colt6	64
29	gcaisawesome	64
29	drunkeeez	64
29	weabis	64
33	Mattesco	59
34	The_SlideV5	43
35	Kakolbus	42
36	walll	31
37	MattieHD	30
37	Truckoss	30
37	TheShyPig	30
40	BPTY4618	26
40	Mahoose	26
40	Di_infiri	26
43	ROY4LE	24
44	thescout7	23
45	Jackattack53	21
46	lcvezra	19
47	Inbefour	17
47	luseis	17
49	eitanzaki	16
50	Akoot_	13
51	xxPipperDipperxx	12
52	Frozil20	11
52	NotMeanttoChange	11
52	PeteO1995	11
52	TechnoNinja64	11
56	rarrq	10
56	Arceus1975	10
58	oscminus	9
58	Onennon	9
58	claivin	9
58	ConnorDanky_	9
62	Hiryu27	8
63	SaucyDark	7
63	El_Jalapeno	7
63	babyjimmyneutron	7
66	JayToe	6
67	TheSecondLord	5
68	CoffeeNoir	4
68	kekhon	4
68	FreakGenius	4
68	stavgod	4
72	SugarMyNuggets	3
72	Mr_Byzantine	3
72	Blackberry1310	3
72	Fullut	3
72	SuperPooch06	3
72	SaintJosie	3
78	hollowww	2
78	Zippyzam	2
78	oreee	2
78	SellyZ	2
78	Chromary	2
78	DarlaMeow	2
78	lolpoottoot	2
78	SvenskaHugo	2
78	Kowcio_	2
78	Kyrum2169	2
78	BlankityMcBlank	2
78	Dogcorn69420	2
78	2blox_	2
91	Groovy_MoonBird	1
91	Apollo_993	1
91	KarlKaek	1
91	Killercatty78	1
91	RatatJuice	1
91	Ryker	1
91	TheFlfthHorseman	1
91	emrekn	1
91	Kubelz	1
91	Marbz_	1
91	yheece	1
91	The_Cruncy	1
91	IamCL4SSY	1
91	_Bguette_	1
91	MangoSalad316	1
91	Blu3beast	1
91	MightyWertu	1
91	Airem_Core	1
91	MineMaster0012	1
91	UCP_TheKingK	1
91	Segotep999	1
91	Soplight	1
91	SammiWolfGirl	1
91	PortlyPete69	1
91	KingMatthew506	1
91	Hermanni__	1
91	laron58	1
91	Nicserso	1
91	FelixPSY375	1
91	Enderxz3	1
91	Legendosh	1
91	HesDemonPants	1
