rank	username	minecraft:picked_up/minecraft:cherry_door
1	Lez_	27
2	MattieHD	21
3	cuddlyMonster	13
3	LuvLuvLove	13
5	KamFurnace	11
6	OreTheBear	9
7	Merv__	8
7	RatatJuice	8
7	Reneedium	8
10	Tersea_	7
10	Moofyman	7
10	StarCookiees_	7
13	bl1ss0	6
14	Mr_Byzantine	5
14	Napoleonpancake	5
14	TheSecondLord	5
14	craaaash	5
18	shineh10	4
18	MisfitsMike	4
20	mymayowasgone	3
20	Werbe	3
20	Steelynan	3
23	emreknugrlu	2
23	Cache3	2
23	Kowcio_	2
26	CLG_Kata	1
26	Krowuss	1
26	Soplight	1
26	robonya_	1
26	Enderxz3	1
