rank	username	minecraft:picked_up/minecraft:glowstone_dust
1	thewindmillman	782945
2	Hyp3rion_	644910
3	noam464	56440
4	EcksD	51498
5	Fuad_R	13111
6	HellsSponge	7989
7	beeperbeeper5	7339
8	Da_Boss_Rani	4096
9	lordpipe	3277
10	EtherealSilveon	2803
11	lillips	2460
12	ROY4LE	2293
13	Di_infiri	2272
14	El_Jalapeno	2077
15	m_be9	1621
16	OfficerAnvil	1616
17	Lez_	1531
17	bloodbiter	1531
19	YungMaki	1457
20	Awyrlas	1437
21	EMC_	1333
22	Deerfoot	1314
23	Onennon	1289
24	Ryan_GEMS	1157
25	AJplaysMC_	1128
26	Werbe	1118
27	kekhon	1092
28	pintsizedrogue	1020
29	Groovy_MoonBird	987
30	Spacewardharpy7	980
31	Wolverine4302	944
32	_Karmaa	938
33	WET_WET_WET	898
34	6king6colt6	874
35	WyngGoy	831
36	Typadopoulos	830
37	ProfessorBee	807
38	diamondgolem35	803
39	AdmiralSmoke	801
40	MustardDrinker	774
41	FreakGenius	716
42	RadarHz	708
43	Kakolbus	703
44	xzvu	687
45	DarlaMeow	654
46	Darkgon	640
47	eitanzaki	624
48	eiC_	608
49	Alteriity	607
50	Nicserso	602
51	Akoot_	600
51	_i_ERROR_i_	600
53	eviltunix	599
54	fanofbands101	596
55	PigDab	591
56	Franco093	577
57	fffMike	574
58	Bandito_Roamer	557
59	Lutres_	556
60	Maenara	553
61	Blaiku	544
62	Kowcio_	520
63	Sral7	512
64	Mewar	510
65	SammiWolfGirl	502
66	_Nuf	495
66	1442	495
68	mwrty	489
69	SSytex_X	485
70	KarlKaek	481
70	Fullut	481
72	StinkyDiplomat	462
73	ougstur	447
74	Froste131	435
74	jewbacaman	435
76	Fuhrer_Teemo	431
77	NebulousBadger	427
78	Inchef	422
79	roxycherry	408
80	lcvezra	397
81	chipklip	387
82	luseis	386
83	Parcc	381
84	_Meow_Mix	379
85	tobinwilliams	377
86	LeonelSalamanca	376
87	Razzgriz	369
88	rarrq	364
89	AlphaWolfPlaysMC	355
90	seramalen	354
