rank	username	minecraft:picked_up/minecraft:dead_bubble_coral_block
1	Legendosh	2244
2	Di_infiri	78
3	Zoeyfortnite	61
4	ImpavidArcher	59
5	Jiminie	34
6	Lord_Jord	33
7	thewindmillman	28
8	eitanzaki	26
9	pintsizedrogue	25
10	hollowww	24
11	ZoharGoldMine	20
12	1442	17
13	PortlyPete69	14
14	Skylord_Luke	11
15	AuroraValkyrie	10
15	BodaciousCake	10
15	_Bguette_	10
15	djancak	10
19	kekhon	9
19	lillips	9
19	oxfordschool	9
22	RodSerlingCringe	8
22	DarkLawD	8
22	__tomato	8
25	Irko	7
25	Jackattack53	7
27	Bumpy419	6
27	Factoroni	6
29	nataliecool	5
29	TheShyPig	5
29	_naturell	5
29	HellsSponge	5
29	YungMaki	5
34	thescout7	4
34	Paintz	4
34	Doom_melon	4
34	RobotMinion101	4
34	Nicky19	4
34	sufjanlover	4
34	MustaLoordi	4
34	Western_1	4
34	Skippeh	4
43	BilboBaggins23	3
43	_Karmaa	3
43	ItsDeltaMC	3
46	Bandito_Roamer	2
46	RebelAndroid	2
46	fr0stss	2
46	oreee	2
46	titanlax	2
46	TheSecondLord	2
46	MattieHD	2
46	Z3braYTIL	2
46	surfinggiraffejp	2
46	eiC_	2
46	501g	2
46	ItzWqlfy	2
46	silverpopcorn	2
46	Hisiste	2
46	BlankityMcBlank	2
46	Enderslayerxz3	2
46	TechnoNinja64	2
46	PlasticOtari	2
64	Groovy_MoonBird	1
64	dudcreeper	1
64	KarlKaek	1
64	Incinere	1
64	Mahoose	1
64	SteveWithClout	1
64	Historical_Sand	1
64	beeperbeeper5	1
64	Cryptacity	1
64	ProfessorBee	1
64	_Dean_123	1
64	Fullut	1
64	redikul	1
64	DermeinUser	1
64	SuperPooch06	1
64	burbankbuilder28	1
64	ApophisNova	1
64	Inbefour	1
64	Jaka_Saurus_715	1
64	QueenShuvi	1
64	censorsheep	1
64	Eraxa	1
64	SSytex_X	1
64	Spenduh	1
64	Fizznut909	1
64	Ezekson	1
64	MyNamaSheff	1
64	Wolverine4302	1
