rank	username	minecraft:picked_up/minecraft:oxidized_cut_copper_stairs
1	pintsizedrogue	78
2	ImpavidArcher	51
3	Marbz_	42
4	Mattesco	35
5	Apollo_993	25
6	luseis	22
7	Kowcio_	14
8	Manaateee	12
9	skroobiez	9
9	skitzxo	9
11	MattieHD	8
12	Mr_Byzantine	6
12	_Huge_Male_	6
12	weabis	6
12	SpacesickPrism	6
16	Jimb0nat0r	5
16	PlasticOtari	5
18	Juansinmiedo18	4
19	PaperCanvas	3
19	Enderxz3	3
21	EMC_	2
21	beeperbeeper5	2
21	pixelviolin	2
21	Steelynan	2
25	KarlKaek	1
25	Lez_	1
25	SuperPooch06	1
25	JETrotter	1
25	fluddd	1
25	TheWickedBird	1
