rank	username	minecraft:picked_up/minecraft:birch_fence_gate
1	HellsSponge	247
2	500am	177
3	Yamdalorian	158
4	TheShyPig	114
5	Di_infiri	106
6	Lez_	88
7	Mr_Byzantine	84
8	pintsizedrogue	73
9	Akoot_	69
10	IamCL4SSY	66
11	joethahobo	57
11	Spacewardharpy7	57
13	beeperbeeper5	56
14	kekhon	45
15	Alteriity	40
16	EcksD	37
17	luseis	36
18	IAmTheWalrus910	34
19	eitanzaki	32
20	Soplight	30
21	Kynigito	29
21	sp00ky_ghost977	29
23	Legendosh	28
24	lordpipe	27
25	mihimihimihi	24
25	_Mythic____	24
27	Ezekson	21
27	Sral7	21
29	noam464	19
29	Buuck_	19
31	Mahoose	18
31	Bumpy419	18
33	shineh10	17
33	Jackattack53	17
33	LuvLuvLove	17
36	Cocoamallows	16
37	SaucyDark	15
38	Comma__	14
38	Ravenbie	14
38	Werbe	14
41	jimintyy	12
41	_Cloverbelle_	12
43	Merv__	11
43	whoaluv	11
43	Arceus1975	11
43	Meatlaugh	11
43	Steelynan	11
48	teslawolf38	10
48	milltesco	10
48	RoboTramp7865	10
51	PortlyPete69	9
52	MSK__	8
52	thescout7	8
52	djancak	8
52	FelixPSY375	8
56	skroobiez	7
56	TheDankPlatypus	7
56	Nicserso	7
59	Hyp3rion_	6
59	Zythose	6
59	creatineshakes	6
59	MightyWertu	6
59	Kowcio_	6
59	cichy096	6
65	UncreativeArtist	5
65	bl1ss0	5
65	legal_tax_evader	5
65	Mattesco	5
65	07shiny	5
70	Krasnal1337	4
70	KarlKaek	4
70	tuckerdoodle	4
70	301851	4
70	oscminus	4
70	Zielo2017PL	4
70	jewbacaman	4
70	Tyrannosplart	4
70	claivin	4
70	E775	4
70	doublemaki	4
70	CalebDHawk	4
70	TheWickedBird	4
83	AtlanticRobin	3
83	InfernalMound	3
83	titanlax	3
83	_witch_craft_	3
83	eviltunix	3
83	RustyKedel	3
83	thewindmillman	3
83	Onennon	3
83	Lord_Jord	3
83	cuddlyMonster	3
83	UrbanPlanningEx	3
83	PlasticOtari	3
83	diggydog67	3
96	rarrq	2
96	SoftSix	2
96	mwrty	2
96	intropass	2
96	Koalander	2
96	craaaash	2
96	Winklepicker279	2
96	dj1121	2
96	AJplaysMC_	2
96	PigDab	2
96	Blamphe	2
96	Fuad_R	2
96	Blaiku	2
96	SingedBread	2
96	jcool7	2
96	Eczbek	2
96	OfficerAnvil	2
96	Quotary	2
96	BreadBacon	2
96	AltnumberF4	2
96	TwinTowerV2	2
117	SpartanNamor	1
117	PizzaJake	1
117	EMC_	1
117	I_Am_Mushkin	1
117	Ryan_GEMS	1
117	TheSecondLord	1
117	catandmoose	1
117	MattieHD	1
117	GingerNeutron	1
117	NotMeanttoChange	1
117	Motsaro	1
117	Stiar	1
117	Bolete	1
117	Giannism	1
117	burbankbuilder28	1
117	killmeiamtraitor	1
117	SirPiccardo	1
117	belly0_0	1
117	wx4z	1
117	RobotMinion101	1
117	epiksk8erduck	1
117	LilLizardWizard	1
117	DemTechAlpha	1
117	Manaateee	1
117	MAns_44	1
117	ReflexCode	1
117	FreakGenius	1
117	monky_irl	1
117	radioactv_jelly	1
117	JosephCW	1
117	TheKingK_	1
117	brofrickcheaters	1
117	ediballbearings	1
117	y0shik	1
117	Jimb0nat0r	1
