rank	username	minecraft:picked_up/minecraft:birch_chest_boat
1	Luminad3	8
2	Spacewardharpy7	6
3	Ezekson	5
4	Mr_Sun15	4
5	pintsizedrogue	3
5	Segotep999	3
7	Huwulling	2
7	Da_Boss_Rani	2
7	Crowman1	2
7	Reneedium	2
11	joethahobo	1
11	Soplight	1
11	Enderxz3	1
